ABD,ABS,ACV,ADM,APOL,ARM,ATU,ATVI,AVP,AXL,BC,BDK,BF,BG,BGG,BID,BTH,BUD,BWA,BZH,CAG,CASY,CCE,CD,CECO,CG,CHB,CHD,CHE,CL,CLX,COCO,COH,CPB,CPO,CQB,CRI,CROX,CTAS,CTB,CTX,DCN,DF,DHI,DL,DLM,DOL,DRYR,DV,EBAY,EDMC,EK,EL,ELY,ENR,ERTS,ESI,ETH,EXPE,F,FBN,FLE,FLM,FLO,FO,FOSL,G,GAP,GIS,GKSR,GKSRA,GM,GNTX,GPC,GRMN,GT,HAIN,HANS,HAR,HAS,HBI,HDI,HLF,HNI,HNZ,HOG,HOV,HRB,HRL,HSY,IACI,IBC,IFSIA,IMC,JAH,JAKK,JCI,JNY,K,KBH,KCP,KFT,KKD,KMB,KO,KR,KWD,LANC,LEA,LEG,LEN,LEXR,LIZ,LTRE,LZB,MAT,MATK,MDC,MHK,MKC,MLHR,MNC,MO,MOD,MOND,MTH,MVL,MYG,NBTY,NKE,NLS,NTY,NUS,NVR,NWL,OATS,OO,PAS,PBG,PCLN,PEP,PFGC,PG,PHM,PII,PLB,PLI,PNR,POOL,PPC,PPD,PVH,RAH,RAI,RCII,RGIS,RGS,RJR,RKY,RL,RML,RRR,RYL,SCS,SCSS,SFD,SJM,SLE,SLVN,SMG,SNA,SPC,SPF,SRR,SRV,STEI,STMP,STZ,SUP,SVM,SVU,SWK,SWY,SXT,SYY,TAP,TBL,THO,THQI,THS,TMCS,TOL,TOM,TPX,TR,TSN,TTWO,TUP,UA,URI,UST,UVV,VC,VFC,WBC,WCI,WDFC,WFMI,WGO,WHR,WIN,WTW,WWW,WWY,YCC,ZQK
20021031,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,
20030430,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,
20031031,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,
20051031,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20060228,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
20060531,,,,,,,,1018754.0,,,,,,,,,,,,559140.0,,,,,,,,,,,,,,,,,,,1762473.0,,,,,,,,,,,,,,,250857.0,,3660679.0,,343149.0,,,293059.0,,,,,256387.0,,,,214689.0,,,,,,,269766.0,816016.0,,,,,,,,,,,,2810387.0,,,,,,151749.0,,,,,,,,,,,,301082.0,,,,202481.0,1206156.0,,221842.0,,230178.0,,1137928.0,,573530.0,,,,,,,,,,,,,,,,,,,,,,51197732.0,,,,,,654847.0,,,,353504.0,,,,,,,,148537.0,,,,,,693087.0,,,,,,,,,,,,,,,,,,,,440726.0,,,,,,,,,,330785.0,305053.0,,,,,,,,,148174.0,,,,,,,,,432325.0
20060630,,,,,,,,827053.0,,,,,,,,,,,,475167.0,,,,,,,,,,,,,,,,,,,1523882.0,,,,,,,,,,,,,,,235548.0,,3450259.0,,303584.0,,,261500.0,,,,,233302.0,,,,184808.0,,,,,,,259455.0,881223.0,,,,,,,,,,,,2405843.0,,,,,417043.0,144166.0,,,,,,,,,,,,270567.0,,,,,1027896.0,,191226.0,,242312.0,,1010296.0,,456696.0,,,,,,,,,,,,,,,,,,,,,,48355654.0,,,,,,609598.0,,,,331096.0,,,,,,,,157829.0,,,,325255.0,,688246.0,,,,,,,,,,,,,,,,,,,,341310.0,,,,,,,,,,199406.0,279244.0,,,,,,,,,140826.0,,,,,,,,,389358.0
20060731,,,,,,,,868478.0,,,,,,,,,,,,431867.0,,,,,,,,,,,,,,,,,,,1352943.0,,,,,,,,,,,,,,,229382.0,,3787408.0,,309980.0,,,251713.0,,,,,235245.0,,,,191485.0,,,,,,,217555.0,861853.0,,,,,,,,,,,,2411479.0,,,,,397047.0,118332.0,,,,,,,,,,,,262684.0,,,,,980468.0,,174152.0,,233774.0,,1000997.0,,503482.0,,,,,,,,,,,,,,,,,,,,,,48971444.0,,,,,,543930.0,,,,324479.0,,,,,,,,156525.0,,,,285324.0,,687168.0,,,,,,,,,,,,,,,,,,,,336733.0,,,,,,,,,,200341.0,244781.0,,,,,,,,,136799.0,,,,,,,,,413973.0
20060831,,,,,,,,961553.0,,,,,,,,,,,,428228.0,,,,,,1683788.0,,,,,,,,,,,,,1455686.0,,,,1444624.0,,,,,,,,,1656359.0,,249399.0,,4202782.0,,287516.0,,,246441.0,122849.0,,,,250061.0,,,5239215.0,193240.0,,,602991.0,1935980.0,,,243272.0,528934.0,,,,,,,,,,,,2427876.0,,,,,411858.0,120246.0,3798048.0,,,937342.0,,1972477.0,,,,,,310392.0,372934.0,,1536398.0,,1063064.0,,195440.0,1994365.0,258181.0,,1054340.0,,513262.0,,,,,,371512.0,,,,,525913.0,,,,,114870.0,,,,,,55405266.0,,426606.0,,,,545505.0,,,,395067.0,,,,,,,,,,,,288282.0,,768014.0,,,,,83102.0,,,,,,,,,,,,,,,381063.0,,,,,,,,,,234069.0,261955.0,,,2329487.0,,,,,,149529.0,,,1714887.0,,536015.0,,,,459004.0
20060930,,,,,,,,1177256.0,,,,,,,,,,,901285.0,404181.0,,,,,,,,,,,,,,,664727.0,,,,1602006.0,,,,,,,573360.0,,,,,,1788147.0,,247884.0,1080786.0,4702844.0,,300190.0,,,239047.0,119572.0,,,,290984.0,,,5522179.0,215738.0,,,583406.0,2077960.0,,,268431.0,648658.0,,,,,,,,,,,745074.0,2431815.0,,,,,470845.0,133386.0,,,,966272.0,,2047597.0,,,,,,320034.0,385869.0,,1588456.0,,,,198846.0,2043796.0,187782.0,,1135809.0,,621904.0,,,,,,425250.0,,,,,491238.0,,,,,121038.0,389306.0,,,,,54730757.0,,468410.0,,,,560830.0,,,,360616.0,,,,,,,1124053.0,,,,,323058.0,802089.0,759912.0,,,,,89582.0,,,,,,,,,,,,,,,409340.0,444760.0,,,,,,,,,288038.0,324807.0,,,2473162.0,,,,,,156056.0,,,1827206.0,,,,,,404984.0
