ABS,ACV,ADM,AVP,BF,BUD,CAG,CCE,CL,CLX,COST,CPB,CVS,DF,EL,G,GIS,HNZ,HSY,K,KFT,KMB,KO,KR,MKC,MO,PBG,PEP,PG,RAI,RJR,RKY,SLE,STZ,SVU,SWY,SYY,TAP,TSN,UST,WAG,WFMI,WIN,WMT,WWY
20030331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0
20030930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
20040331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
20040930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
20050331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
20060531,12793808.0,6221271.0,31951076.0,17309722.0,9309439.0,38713674.0,14853669.0,8767927.0,34414497.0,12589217.0,28209414.0,9694986.0,25906433.0,4891257.0,4954518.0,,21519094.0,17750621.0,13052650.0,14845732.0,,30977374.0,53955771.0,17654368.0,7578759.0,153248442.0,7146398.0,51097467.0,181098652.0,12633205.0,,,15492931.0,7460265.0,6372831.0,13371393.0,21778556.0,6392490.0,6579486.0,10164242.0,44164396.0,9190480.0,,122847882.0,12539739.0
20060630,,6782798.0,32883111.0,17492804.0,9046785.0,39826695.0,15079595.0,9435567.0,35302365.0,12547260.0,31370940.0,10557869.0,29542487.0,5301732.0,4841445.0,,22145402.0,17861244.0,12909730.0,15272110.0,,32511951.0,54189111.0,19787781.0,7678085.0,160854436.0,7512105.0,52288055.0,191389767.0,13687032.0,,,15119708.0,7848175.0,10424107.0,15302014.0,22481372.0,6932992.0,6309571.0,10662987.0,50298239.0,9440413.0,,126351741.0,12855750.0
20060731,,7937553.0,41064672.0,19127660.0,10868397.0,49319467.0,17144745.0,11619496.0,40990773.0,14531794.0,33976807.0,12299281.0,36899424.0,6255575.0,5463237.0,,26090701.0,21257889.0,15072554.0,17765481.0,,37726458.0,65712839.0,24269892.0,9378059.0,205304582.0,9086128.0,64711107.0,226728391.0,17591612.0,,,18647105.0,9084224.0,10850750.0,19322747.0,23812700.0,8532130.0,7022942.0,13946442.0,61507373.0,9931114.0,,136798029.0,15195161.0
20060831,,8474945.0,40159894.0,19898556.0,11905034.0,52866030.0,19838204.0,12620217.0,43232269.0,15156093.0,31494770.0,13166782.0,39544781.0,6902993.0,5640280.0,,28492767.0,22225450.0,15548034.0,19648075.0,,41015158.0,69256185.0,26461815.0,10182049.0,224432246.0,10000957.0,69755401.0,261362846.0,18986385.0,,,19179512.0,10591768.0,11946734.0,22334336.0,28305713.0,8774846.0,7641350.0,15328819.0,68068682.0,9677767.0,,143886063.0,16076731.0
20060930,,8866403.0,36893188.0,21052996.0,11182928.0,50424976.0,20027969.0,10695143.0,44851290.0,15819111.0,33127469.0,15804391.0,37865947.0,7249837.0,6668041.0,,29460300.0,21921926.0,15138483.0,19547871.0,,41930205.0,68413525.0,25481444.0,10518751.0,205309626.0,10260636.0,69253651.0,252226866.0,17917076.0,,,18492070.0,11772114.0,12768268.0,21532536.0,30053554.0,6844871.0,8162272.0,15753317.0,60683927.0,10748688.0,,155454273.0,15735432.0
20061031,,9385115.0,39659505.0,22007839.0,11100728.0,53221742.0,22550766.0,10839615.0,48860478.0,17267734.0,37518293.0,17179698.0,39132303.0,7615351.0,7039290.0,,31171338.0,23234755.0,15795540.0,20934192.0,,45123177.0,75569974.0,26273043.0,10918893.0,230572339.0,9633223.0,71185326.0,272557983.0,19397194.0,,,20741684.0,11852341.0,15161696.0,21956612.0,33249714.0,7452546.0,7935492.0,16221878.0,63140532.0,12169692.0,,164163014.0,18706572.0
20061130,,,33203512.0,21718395.0,9835440.0,48970837.0,20415720.0,10186002.0,45628347.0,15704320.0,33802865.0,16046810.0,32942743.0,7110946.0,6635097.0,,28200255.0,22565531.0,14566114.0,19095011.0,,41409215.0,69574769.0,23009712.0,10428884.0,219347682.0,8790522.0,63865600.0,248059430.0,18097436.0,,,18528946.0,11124484.0,14337091.0,21223807.0,31282961.0,6835621.0,7990461.0,15615341.0,53753269.0,8571037.0,,141091355.0,17396446.0
