ABV,ACV,ADM,AVP,BF,BUD,CAG,CCE,CL,CLX,COST,COT,CPB,CVS,DF,DYS,EL,GIS,HNZ,HSY,K,KFT,KMB,KO,KR,MKC,MO,PBG,PEP,PG,RAI,SLE,STZ,SVU,SWY,SYY,TAP,TSN,UST,WAG,WFMI,WMT,WWY
20060930,108912.0,46037.0,297358.0,165564.0,76650.0,440418.0,152510.0,75821.0,383778.0,114030.0,280692.0,14723.0,81030.0,315418.0,68493.0,10982.0,57672.0,241682.0,168559.0,113849.0,145094.0,,360787.0,1099128.0,200855.0,60388.0,1918343.0,57155.0,1294106.0,2440772.0,127658.0,146558.0,68784.0,59300.0,163890.0,248199.0,47541.0,47958.0,106370.0,538007.0,99842.0,1479600.0,122520.0
20061031,104784.0,46237.0,302225.0,164214.0,72190.0,439583.0,162915.0,72909.0,395335.0,116854.0,301597.0,12603.0,82984.0,308152.0,68281.0,11942.0,57758.0,242621.0,169483.0,112698.0,147408.0,,367190.0,1149312.0,195213.0,59466.0,2038130.0,50908.0,1258015.0,2496298.0,130110.0,,65701.0,66800.0,158544.0,259552.0,49114.0,43639.0,103906.0,529402.0,107251.0,1478400.0,138187.0
20061231,,,,,,,168210.0,65957.0,,,,,,303536.0,68916.0,,,,,94620.0,146676.0,,,,,61310.0,,47911.0,,2530953.0,,,69358.0,85800.0,186624.0,,52744.0,49679.0,112908.0,556187.0,,,137575.0
20070131,,,,,53128.0,,160173.0,66280.0,,,,,,333808.0,72128.0,,,,,96976.0,144361.0,,,,,62074.0,,49027.0,,2554581.0,129645.0,,59129.0,94950.0,194562.0,,55752.0,53605.0,111434.0,549036.0,,,137043.0
20070228,118023.0,,,,53055.0,,157183.0,64891.0,,,,,,311587.0,73415.0,,,,,100472.0,146266.0,,,,,60881.0,,48050.0,,2500236.0,122711.0,,56069.0,92400.0,186678.0,,58264.0,55115.0,112636.0,541885.0,,,132468.0
20070331,152349.0,,,,,,166872.0,76181.0,,,,,,694715.0,76186.0,13254.0,,,,125663.0,168588.0,,,,,61247.0,,56828.0,,2659541.0,143481.0,,,109396.0,216432.0,,65288.0,65121.0,125005.0,615339.0,,,145100.0
20070430,235549.0,,490406.0,343235.0,,730373.0,239508.0,120056.0,678484.0,196947.0,472273.0,,168286.0,1084663.0,90346.0,21864.0,118472.0,404145.0,300326.0,183786.0,260053.0,1071140.0,631990.0,2045013.0,407474.0,94136.0,2815244.0,85044.0,2105363.0,3949148.0,214885.0,,,186813.0,311890.0,394452.0,94280.0,102285.0,177748.0,856226.0,48802.0,2292493.0,249828.0
20070531,273370.0,,444027.0,,56178.0,791992.0,248472.0,127771.0,670671.0,,497840.0,15466.0,170869.0,1153502.0,81245.0,28867.0,108979.0,,,176262.0,265312.0,1082982.0,,,,94567.0,2904293.0,90694.0,2176720.0,3902478.0,217494.0,,80506.0,193895.0,296252.0,399030.0,91570.0,108775.0,167431.0,880216.0,105380.0,2277184.0,248640.0
20070630,282240.0,,425140.0,313992.0,116928.0,779479.0,261724.0,131328.0,652650.0,187294.0,514976.0,20463.0,163933.0,1106914.0,84137.0,29751.0,104855.0,399768.0,305327.0,169273.0,257707.0,1112208.0,600405.0,2067291.0,393370.0,96519.0,2902113.0,85682.0,2077275.0,3789864.0,218029.0,,90904.0,188522.0,297286.0,402742.0,84324.0,112435.0,168435.0,857564.0,105402.0,2293885.0,234680.0
20070731,310716.0,,485654.0,351962.0,119592.0,819921.0,277887.0,139495.0,747252.0,205080.0,592020.0,19463.0,175016.0,1202231.0,85447.0,33315.0,116692.0,428107.0,316647.0,173428.0,290032.0,1162494.0,679292.0,2321240.0,408403.0,97151.0,3100028.0,95763.0,2369341.0,4318075.0,230122.0,,92369.0,190765.0,313218.0,437840.0,91252.0,122305.0,188924.0,978940.0,114676.0,2470548.0,275307.0
20070831,317384.0,,487100.0,335737.0,128808.0,836737.0,286924.0,146636.0,755650.0,202842.0,616883.0,17759.0,184145.0,1296999.0,79774.0,30972.0,107801.0,430108.0,326271.0,179955.0,307498.0,1142907.0,650013.0,2402675.0,418157.0,101929.0,3247139.0,98997.0,2464999.0,4573006.0,253504.0,,101846.0,192963.0,311842.0,458441.0,91786.0,123740.0,173860.0,1003529.0,137029.0,2355235.0,278027.0
20070930,423861.0,,617174.0,468712.0,186076.0,1081934.0,372614.0,197756.0,1038348.0,239874.0,772096.0,16091.0,238280.0,1684434.0,97076.0,40521.0,140628.0,551037.0,427165.0,229497.0,425040.0,1562061.0,854362.0,3287341.0,573309.0,130715.0,4201072.0,149609.0,3397139.0,6303730.0,311527.0,351041.0,130298.0,235074.0,415795.0,624569.0,194855.0,140819.0,223597.0,1344025.0,193686.0,3010846.0,398868.0
