ABC	ACI	ACV	ADM	BEAM	BF	BG	BUFF	BYND	CAG	CASY	CCE	CEDC	CHD	CL	CLX	CPB	CPO	CTVA	CVS	DF	DG	DLM	DPS	ENR	EPC	FLO	GIS	GMCR	GNC	GO	HAIN	HANS	HLF	HNZ	HRL	HSH	HSY	INGR	K	KDP	KFT	KHC	KMB	KO	KR	KRFTV	LO	LP4009	LW	MCK	MDLZ	MJN	MKC	MNST	MO	NTY	NUS	PEP	PF	PG	PM	POST	PPC	RAD	RAH	RAI	REYN	SAM	SFD	SFM	SJM	SPB	STZ	SVU	SWY	SYY	TAP	TFM	THS	TSN	USFD	WBA	WFM	WFMI	WWAV
20100707			454295.0			211730.0	700044.0			611484.0				409817.0			222542.0						864238.0		526823.0		649167.0	440274.0	997304.0				197500.0	1251023.0	415501.0	634025.0	887563.0	490551.0						633631.0	200314.0	199395.0		419859.0					633424.0				888118.0				623598.0					708849.0	211122.0			899696.0		876531.0			569945.0			1261738.0					157904.0		1247981.0	
20100722				783021.0								1171114.0				213183.0				703096.0				466482.0																		608683.0																																			424337.0									
20100806				718818.0			399508.0			683451.0		1255415.0	241449.0			413441.0					901086.0		654746.0	1135581.0	485053.0		785100.0	653807.0					211516.0	853811.0	407150.0		830657.0	1109174.0										209978.0					718869.0				1254312.0				201473.0					1204749.0						403067.0			823885.0			1201975.0								
20100820														418719.0																												206644.0																																			857983.0									
20100907						749274.0											396468.0			1184185.0																419526.0								209493.0		212745.0								703027.0		218999.0																											846445.0		1192369.0	
20100921				870533.0		782266.0	459684.0			676376.0		1339878.0	227647.0	415616.0		443744.0	443137.0			1120767.0	865613.0		661954.0	1198363.0	534047.0		900967.0	743681.0					245623.0	1028611.0	456046.0	454359.0	872506.0	1179486.0				227620.0		226039.0		213475.0		224897.0					759981.0	766782.0		236967.0	1365660.0				211168.0					1325413.0						413913.0			764095.0		819747.0	1252199.0					857697.0		1175689.0	
20101007						815387.0				711418.0			230311.0			474599.0	440738.0			1352713.0	894888.0		688969.0		590872.0		897100.0						262901.0	1156753.0	483109.0	485628.0	840739.0					243452.0						245716.0					858656.0	837324.0												1345443.0									938646.0			1405078.0					1107361.0			
20101021												1511046.0																										1251924.0						236100.0		242992.0										264425.0																													1299046.0	
20101105				935449.0			530594.0							457765.0										1197573.0				778197.0																																	221259.0											443020.0					881149.0									
20101119			1490726.0	1570908.0			1528508.0			539876.0		1165791.0						1195741.0		1440285.0	1073177.0		1152035.0		586401.0		539884.0		1113981.0				1157184.0	1592243.0	545434.0	542339.0	281158.0	274035.0				275774.0		512911.0		916804.0		278609.0					544084.0	949695.0		1114651.0			259166.0		278751.0	943690.0				1118312.0	288737.0			898528.0		958749.0			1408353.0		271561.0	1053643.0			511145.0		913058.0		966927.0	
20101207			1487916.0				1549120.0			516178.0								1212811.0			750687.0		1506107.0		551827.0		555828.0		1252937.0				1203981.0	1712908.0	537504.0	579504.0	294223.0	259070.0				258442.0		501033.0		982639.0		262281.0						946338.0		1053637.0			256438.0		267716.0	917470.0				1115488.0	274237.0			945533.0		945155.0			1181064.0		268362.0	1064251.0			520714.0		940061.0		1149837.0	
20101221				1368251.0								1173044.0								1483948.0																																	550872.0																																	
20110111			1474625.0				1660693.0			539803.0								1286647.0		1656875.0	908695.0		1504741.0		569256.0		568392.0		1105250.0				1176200.0		547672.0	603694.0	341827.0	259538.0				268238.0				928831.0		267869.0						996207.0					257163.0		282049.0	940313.0				1167168.0	288126.0			1102569.0		974862.0			1252170.0		270035.0						1046095.0			
20110124																																		1697921.0										508402.0									573749.0			1075502.0																						1114723.0			563766.0				1225606.0	
20110207				1413169.0								1210363.0																																																																										
20110221			725556.0	1959618.0			1874841.0			936617.0		952052.0				314734.0	709229.0	950007.0		1419720.0	1657625.0		955682.0	317627.0	945426.0		888389.0	704993.0	737493.0				1025743.0	1724105.0		695426.0	1399151.0					305976.0		971827.0		1381469.0		660976.0					294286.0	300768.0					310263.0		709149.0	309128.0				1359514.0	308080.0			1741906.0		1367412.0						1685806.0			1724072.0		1498213.0		1844996.0	
20110307			745353.0				2042552.0			998204.0								1033115.0		1410221.0			980469.0		892552.0		962444.0	773580.0	920306.0				1070948.0			792706.0	1450421.0					327471.0		1016662.0															314403.0		727771.0	348392.0					341550.0			2081193.0		1556098.0											1649906.0			
20110320				2291603.0								1022618.0				348452.0	718530.0				1772115.0			332185.0										2126329.0												1519045.0		693005.0					312204.0	333181.0												1480301.0												1690136.0			2006366.0				2146988.0	
20110407			1160493.0	3448479.0			3179775.0			1590755.0		1649653.0					1097714.0	1703507.0		2275660.0	2606922.0			532751.0	1474504.0		1531051.0	1183106.0	2265074.0				1743861.0	3426393.0		1251968.0	2325481.0					502285.0		1564465.0		2469984.0		1335523.0					470413.0	516971.0					497784.0			566020.0				2425820.0	549177.0			3359126.0		2506763.0						2691612.0			3210100.0		2373830.0		3753312.0	
20110421																557223.0																																													1103924.0																									
20110508				3573306.0			3626613.0			1879376.0								1478891.0						642147.0	2950436.0		2048661.0	1468163.0	3602868.0				2004702.0				661704.0	1476223.0				651638.0		1406793.0	1857388.0			684423.0											651062.0		1921841.0	643135.0								3405208.0		1920293.0				2871846.0		2893347.0			3605927.0		1943316.0		3309660.0	
20110523												1448087.0		633992.0			1411598.0			2936325.0	3112689.0													3835167.0		1928949.0										2821302.0								625150.0												3161654.0								1534822.0												
