000729	000858	001800	002511	002714	0151	0291	033780	1044	1717	1876	2579	2580	2914	2992	300498	600519	600887	603737	9618	ABEV	ABI	ABV	ACI	ADM	ADV	AEFES	AHLN	AKO	AMZN	ANFI	ARMK	ATDb	AVO	AVP	BARE	BETR	BF	BG	BGS	BJ	BNNY	BRBR	BRFS	BRFS3	BTI	BUFF	BVIC	CAG	CARLb	CARR	CBY	CCE	CCEP	CCH	CCL	CCOLA	CCU	CDSCY	CEQ	CHBT	CHEF	CL	CLSJ	CLX	COKE	COST	COT	COTY	CPAA	CPB	CPG	CPO	CRESY	CRON	CRUZ3	CVGW	CVS	CZZ	DANO	DAR	DEO	DF	DG	DGE	DLTR	DMND	DPLO	DPS	DPZ	DROG3	EL	ENR	ENZY	EPC	ESSITY	FACE	FARM	FEVR	FMX	FO	FRLD	FRPT	FRUT	GCC	GIS	GMCR	GO	GURU	HAIN	HANS	HLF	HSY	HYPE3	IMT	INGR	ITC	JBSS3	JDEP	JNJ	K	KDP	KFT	KHC	KMB	KO	KOF	KR	KTII	LISN	LNCE	LO	LP4020	LSF	LW	MATK	MDLZ	MGNTq	MJN	MNST	MO	MRFG3	NATU3	NESN	NOMD	NSRGY	NUS	NWL	OCDO	ONTEX	OREP	PBG	PEP	PERP	PFGC	PG	PGPDQ	PM	POST	PPC	PRGO	PRMW	PTRY	RAD	RADL3	RADL3F	RAH	RAI	RB	RCOP	REYN	SAB	SAFM	SAM	SBUX	SCAb	SDA	SEED	SFD	SFM	SJM	SLCE3	SMBL	SMPL	SNMX	SODA	SONC	SPB	STKL	STZ	SUSS	SVU	SWMA	SWY	SYY	TAP	TBEV	TEA	TFM	THS	TSN	TUP	TWE	UL	ULKER	ULVR	UN	UNFI	UNIA	UNc	USFD	VT	VT/	WAG	WBA	WBD	WFM	WFMI	WMT	WWAV
20080930																							3653409.0		7263165.0				3019494.5						29211239.0	1268583.35		71810.0	8011224.0							25513000.0									5171022.4								31458625.0					556200.0					1081380.0					39806316.0				11237952.0										1222795.0	2416500.0				802655.0			2223562.0												3438240.0								5701744.0	5610.0		4260775.0		18965700.0	79748328.0	6665766.0	12552864.0				2013545.0									16596160.0					35308193.8							72859321.0			135142638.93		10115430.0																	2078826.0		831119.0								911889.0					7384386.0		2170.0		11335788.0	6576039.0	13986665.0					1673988.0						19658833.92	1721811.0					1649085.78	17771040.0		1292200.0			5084661.0	
20081031																							3653409.0		7499793.0				3321094.5						29710079.0	1725123.35		71810.0	8782020.0							29000500.0						1265986.72			5324478.4								30953780.0					577800.0					952260.0					41529708.0				11616682.0										4991.0	4977990.0				802655.0			1689602.0												2311920.0								4205296.0	5610.0		6258525.0		23595276.0	81059752.0	7094676.0	8436360.0				2006430.0									14989120.0					35548926.6							71975573.0			134306358.93		6835010.0																	1974736.0		967921.0								911889.0					6845740.0		1885730.0		11169748.0	5956356.0	15197490.0					1984428.0						21120337.92	1721811.0					1823177.2	19263312.0		1924100.0		1432145.0	21272928.0	
20081130																							3221500.0		7580961.0				2845670.85						17092972.0	723578.9		56750.0	6472085.0							27237078.0						31702.92			3708441.0								21325848.0					1526400.0					1135744.0					42683190.0				11349675.0										3604.0	2286648.0				736054.42			1385892.0												1236158.0								5686218.0	5042.0		11969636.0		27562113.0	72848804.0	2569488.0	6648066.0				3694746.0									15332810.0					30294920.1							57260844.0			127014526.38	109000.0	11406528.0																	13130.0		810222.0		1272920.0						290750.0					5191560.0		1294416.0		8201712.0	6534280.0	13176124.8					3007434.0						18612583.6	1539226.0					1308084.88	16508264.0		1344564.0		10720.0	34942641.0	
20081231																							3684996.0		10949204.0				2885699.7						17707609.0	907568.7		48393.0	8731008.0							29042890.8						1325508.02	5303298.0		4706055.6								18070272.0					1081200.0					1632820.0					44463058.0				11135272.0										2783.0	1749333.0				687864.12			1808569.0												1577904.0								4807386.0	4285.0		16740864.0		23166116.0	80281080.0	4250790.0	10047349.0				3822944.0									13003500.0					28742370.45							56226400.0			134753248.53	31500.0	10084824.0																	5760.0		1035660.0		896980.0											12343800.0		1690260.0		9103148.0	6350652.0	20330020.0					4033170.0						22697181.44	527220.0					1529793.66	22387792.0		1026348.0		10620.0	46548772.0	
20090131																							3894849.0		13296396.0				4039753.5						28730268.0	1045503.15		48915.5	10933824.0							34552303.8						2055427.12	8357241.0		4320792.6								37498234.0					2035200.0					1710805.0					47679660.0				12647346.0										3096.0	2425472.0				697260.06			2027749.0												2640624.0								6503521.0			17949225.0		7146270.0	88824267.0	5543174.0	9050707.0				4051565.0									15194034.0												72433325.0			133753566.54	378.0	15746269.0																	5676.0		1499400.0		557172.0											22508521.0		2467400.0		14271508.0	6998994.0	23001205.6					10108164.0						26450464.6	474012.0					2369420.82	30748688.0		989256.0		9440.0	50313850.0	
20090228																							4495058.0		14371762.0				4207777.41						24989900.0	725655.15		43139.5	8871404.0							40684738.0						2055427.12	6864899.0		4207325.4								33352512.0					1287600.0					1595035.0					51727872.0				13606736.0										2625.0	2286240.0				1149722.4			1894495.0												2424282.0								7095870.0			21848145.0		1261015.0	93667872.0	4182246.0	11020500.0				4929234.0									14133430.0												73682387.0			128042136.5		19912400.0									2996532.0								5664.0		1814510.0		1149016.0											20204580.0		3051960.0		15393169.0	4823556.0	18704609.6					10526190.0						26041304.64	413364.0					2670141.55	28955924.0		911800.0		10250.0	48034128.0	
20090430																							6100316.0		14077716.0				4740746.58						27671061.76	1851120.3			8094582.02							36245237.6						2368697.12	11621272.0		3128160.0								19570300.0					2772248.0					1751870.0					68104540.0				12723315.0							3224547.0								971317.2			2188363.0	3522176.0											661988.0								11173624.0			3524040.0		11695320.0	92746920.0	4571308.0	14094078.0	79615.8			3333264.0							2262825.0		14354070.0											7914437.0	83233552.0			139826059.68		19262020.0			2698272.0						3378156.0										2456700.0		1025568.0											18393330.0		2364210.0		16347075.0		24299460.0					12387662.0						28052562.48	605948.0					2254633.45	33564097.0		1679592.0			60253200.0	
20090531																							3743632.0		13782276.0				4633086.58						25671846.12				7512220.72							40805793.6						2400024.12	23039530.0										16915300.0					2772248.0					1751870.0					70678720.0				12723315.0							6975128.0											2547900.0	3699071.0					5888150.4														13095236.0			10978110.0		3320881.2	83004705.0	5149606.0	13222792.0											2412550.0		18234078.0							3844680.4				3562372.21	80247952.0			136251547.68		19262020.0			2625696.0																2456700.0													24143476.7				21338532.0		31264785.0					8474992.66						28311811.48						2352024.24	30260804.0					58176720.0	
20090630																							3863868.0		14918144.67				5175320.38						16605851.86				10023913.0							47719044.0						2400024.12	17409240.0										30492406.26					3645696.0					1963707.0					74193806.18				14661725.0							8205297.75											2520845.6						31654829.26														17064594.4			7750239.0		52482.43	83364148.85	4826436.0	12762540.0											3888648.0		25005403.5							2953441.92				4961722.32	78026712.0			133213152.1		21190596.0			3272484.0																3090140.0													28917120.4				27100838.73		36164000.55					8538041.85						35320016.16						2686433.89	22737960.0					54407808.0	
20090731																							3662895.0		14971684.67				5183910.38						30036922.5				9692538.0							47852964.0						2781618.31	16580070.0										52343992.26					1216548.0					5263618.83					76853644.51				15245675.0							8224368.75				4973248.0							2414453.6						26354945.12														20614083.2					52482.43	76165648.85	4722124.0	14822715.6											5130855.0		20970185.5							2309062.92				10064794.32	61808290.8			125124022.1		23585246.76			2458530.0																2511748.0													28175885.64				30023933.73		32007194.55					9042441.85						33356600.16						2686433.89	12739020.0					51985808.0	
