ACV,ADM,ADNT,ALV,APTV,ATVI,AVP,BC,BEAM,BF,BG,BGG,BGS,BLD,BTI,BWA,BYND,CAA,CAG,CCE,CEDC,CHD,CL,CLX,COH,COLM,COTY,CPB,CPO,CPRI,CQB,CRI,CROX,CTB,DAN,DAR,DECK,DF,DHI,DLM,DLPH,DMND,DPS,EA,EK,EL,ELY,ENR,EPC,ERTS,F,FDP,FIZZ,FLO,FOSL,GIII,GIS,GM,GMCR,GNTX,GPC,GPRO,GRMN,GT,GTX,HAIN,HANS,HAR,HAS,HBI,HELE,HLF,HNI,HNZ,HOG,HRL,HSH,HSY,HYH,ICON,INGR,JAH,JCI,JEF,JNY,K,KATE,KBH,KDP,KFT,KHC,KMB,KO,KORS,KRFTV,KTB,LANC,LEA,LEG,LEN,LEVI,LKQ,LKQX,LNCE,LO,LP4018,LUK,LULU,LW,MAT,MATK,MDC,MDLZ,MHK,MIDD,MJN,MKC,MLHR,MNST,MO,MON,NKE,NTY,NUS,NVR,NWL,PEP,PF,PFGC,PG,PHM,PII,PM,POOL,POST,PPC,PTON,PVH,RAH,RAI,REYN,RL,ROKU,RYL,SAM,SEB,SFD,SHOO,SJM,SKX,SMG,SNA,SPB,STZ,SWK,TAP,TBL,TEN,THO,THS,TIVO,TOL,TPR,TPX,TR,TRW,TSLA,TSN,TTWO,TUP,UA,UAA,USFD,UVV,VC,VFC,VNE,VSTO,WBC,WDFC,WHR,WRC,WWAV,WWW,ZNGA
20100806,559408.5,3556214.42,,,,1368074.33,2699263.5,259165.5,,732700.17,1661293.87,202129.52,,,,1032413.66,,,2445638.36,1981832.82,319010.98,,9091660.6,2015413.68,2613690.5,,,1769249.57,527644.2,,127040.4,366686.25,,,327800.0,145851.71,432181.75,428538.92,639215.41,671667.64,,,2154337.02,,256871.58,1583289.3,92110.0,814737.12,,1100044.8,,200335.52,,526881.81,386835.6,,5224139.52,,701018.9,576205.06,1470617.1,,808110.92,561838.62,,194842.2,650712.18,487505.9,,531509.46,,653863.95,237991.34,3178701.34,1209978.9,680509.28,2066411.4,1742303.43,,241990.8,,583213.35,4227779.54,,326906.25,3038069.7,,198275.0,,,,5903482.47,25025066.36,,,,258849.36,727869.0,700334.72,504501.79,,,634389.12,,2596966.42,,,,,1790855.44,186123.5,227808.35,,594742.72,,2403805.32,980506.8,249008.52,,9787375.68,5863284.32,4344748.45,460121.29,301079.61,944553.26,955201.44,23053606.1,,,40513491.0,650758.32,418607.68,20052845.52,256727.04,,,,565002.97,698974.0,2064681.68,,1122635.52,,163072.56,,,542225.9,,1662373.1,310018.28,470079.85,553103.2,,718285.7,1890711.0,1561347.24,161338.5,,195462.5,375279.54,196654.86,520231.64,,489386.25,131423.05,537945.84,,,176832.0,587030.35,272063.56,,,,,1450434.86,,,473805.48,119939.4,1541416.64,377337.74,,294821.8,
20100820,,,,,,,,,,,,,,,,,,,,,,1027691.48,,,,,,,,,,,,278538.0,,,,,,,,,,,,,,,,,7885362.24,,,,,,,,,,,,,,,,,,1261646.7,,,,,,,,,,,,,,,,,,,,,10513608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180883.11,,,,,,229588.48,,,,,,,,,,,
20100907,562071.81,3512257.92,,,,1448872.92,2948820.38,328061.88,,,1559357.55,209485.71,,,,1127772.18,,,2290004.4,2045592.5,361799.46,1009954.8,,1956456.4,2466083.85,,,1655851.6,539974.64,,142704.28,314853.36,,287045.63,362149.92,147394.08,429511.6,453518.04,666456.54,602489.16,,,2012154.3,,218520.71,1652613.0,95721.75,927106.4,,1131730.92,9303455.8,191832.2,,485932.65,410572.8,,4684750.2,,781019.14,574380.89,1492497.01,,734275.05,560900.56,,189139.86,648289.64,461289.29,1203298.2,514627.2,,655496.2,207340.16,3042520.96,1387259.58,,2023331.16,1595838.0,,,,584384.7,4223430.76,,334551.52,2818315.5,,190785.7,,10214795.42,,,25628244.18,,,,234107.28,799288.25,676653.96,498162.56,,,605287.78,,2558004.48,,,,,1672698.0,151016.31,228824.96,,591416.91,,2370097.14,952336.62,211078.4,,10079254.4,6835473.36,4413392.48,678151.76,319830.4,842016.0,940571.0,22866429.89,,,38475633.68,641747.76,425362.5,20795176.16,241062.09,,,,589314.73,700332.8,2130204.44,,1138297.07,,156459.84,,,482262.75,,1584525.42,292788.46,474924.75,561725.25,,,2027740.98,1542762.76,163689.8,,213143.04,364590.05,212655.3,513387.28,,453977.34,130312.95,636778.23,,1173257.55,187298.25,539721.78,286883.28,,,238603.0,,1511315.83,,,541326.6,121406.04,1359456.0,405712.01,,310801.89,
20100921,,,,,,,,,,752330.5800000001,,,,,,,,,,,,,8490823.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678479.36,,,,257829.44,,,,,,,,,,,,5814273.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737469.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101007,621838.35,,,,,1359800.07,2885701.5,257008.91,,762184.065,,,,,,1170562.05,,,2203583.35,,331165.12,,,2047339.7,,,,1792504.08,576523.96,,127370.96,302684.66,,224312.45,,141669.28,382709.88,422273.94,647170.02,590386.0,,,,,200364.39,1552466.16,92431.25,998775.05,,1136218.2,8597255.97,210933.97,,540546.96,513461.88,,,,815435.56,553279.3,1524029.71,,721583.37,506610.72,,,726945.6,493140.57,1201759.36,,,765503.34,195560.16,3309489.28,,711457.2,2060414.72,,,248878.96,,567194.76,,,,2917706.4,,180270.35,,10946725.0,,,27177287.76,,,,,785583.9,649192.05,463320.6,,,593656.2,,2669927.26,,,,,1730625.5,166072.02,,,558616.17,,2436281.39,1006876.98,210176.0,,,6504065.1,4385570.0,715126.76,299526.98,,957359.78,23628829.7,,,,612175.08,396401.89,21903409.2,209610.45,,,,,746102.2,,,1138144.98,,161083.89,,,569372.87,,1573228.96,209719.98,484910.41,540731.45,,751166.08,1955338.92,1564457.4,,,,,203204.58,,,413738.4,127234.29,657902.52,,,158554.24,562168.6,285740.42,,,,,,,,514619.7,,1268951.76,424202.52,,286536.53,
20101021,,4128736.86,,,,,,,,,1743965.0,209069.85,,,,,,,,2123855.96,,980659.68,8297031.6,,2493496.32,,,,,,,,,,326226.96,,,,,,,,2065307.44,,,,,,,,,,,,,,5177171.84,,,,,,,,,209303.46,,,,512986.32,,,,,1292316.16,,,1645688.58,,,,,4063706.22,,307707.66,,,,,,,6104218.4,,,,,214224.57,,,,,,,,,,,,,,,218124.28,,,,,,,,10610794.08,,,,,845824.0,,,,,39229922.16,,,,,,,,541079.6,,2104534.98,,,,,,,,,,,,,,,,,155718.3,,186346.56,330879.5,,533001.6,,,,,,1152365.76,,,,,,200123.92,,1403290.02,,,,122497.11,,,,,
20101105,754016.55,4282451.04,,,,1353462.98,3147903.85,307763.62,,,1892173.44,,,,,1373066.28,,,2236585.54,2317963.0,,1040079.04,8639602.02,2106344.76,2995901.52,,,,646762.5,,134266.84,356745.17,,271404.38,391726.72,160508.28,439847.84,421448.38,707610.08,599952.93,,,1934490.24,,258988.8,1749700.56,103523.0,1063780.29,,1223574.96,,201961.9,,519627.96,581577.48,,,,824102.18,614369.9,1620935.68,,800966.85,589401.0,,224668.62,751467.78,528579.61,1279172.89,,,829933.2,247307.24,3393681.54,1509680.52,735364.8,1915400.03,1684781.18,,285880.0,,655411.02,4674003.0,,,,,198105.05,,11283496.1,,,,,,,223297.5,,,541068.4,,,663873.6,,2824823.94,,,,,1932963.24,172236.93,244606.78,,671953.1,,2660770.14,1059912.48,251904.0,,11423215.42,5923189.4,,721557.52,367804.8,867690.2,1133036.58,24139180.12,,,38874113.22,667827.36,483888.3,23448515.48,228015.27,,,,835020.8,731467.84,2289128.16,,1338015.4,,179182.08,,,594082.17,,1628378.06,193416.66,531111.91,609978.65,,758051.88,2314974.56,1715597.04,184569.77,391008.09,266665.6,367555.3,240633.6,586671.9,,465806.0,134078.32,786606.12,,1126750.68,192426.78,653910.4,358788.64,,,224504.0,,1579808.98,,,612114.3,132423.66,1402874.88,517895.77,,322011.0,
20101119,,,,,,,,,,765521.64,,218976.19,,,,,,,,,323059.68,,,,,,,1718788.5,,,,,,,,,,,,,,,,,,,,,,,9324113.76,,,,,,5136245.1,,,,,,,,,,,,,554128.08,,,,,,,,,,,,,,,392937.48,2973978.29,,,,,,6080418.65,28451312.12,,,,,895066.2,763302.12,,,,,,,,,,,,,,,,,,,,,,,5436938.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101207,769292.7,,,,,1480203.5,3069694.95,326477.34,,777950.99,1977984.96,206923.2,,,,1501840.26,,,2358301.4,,368856.84,1083298.35,8914300.8,2160412.65,3585650.0,,,1794628.75,749007.65,,137357.77,344342.1,,283854.75,,192462.27,529639.6,438152.0,,669778.38,,,2048846.8,,296428.56,2027775.64,103839.84,1215623.68,,1218738.2,11068777.89,210212.87,,551234.32,650895.66,,5426331.92,,897229.03,649250.1,1792021.98,,891737.36,578615.52,,236492.99,850393.26,548408.3,1363820.0,548749.6,,903874.44,216440.82,3618179.25,,780043.04,2103056.47,1804256.93,,291760.0,,696150.84,5533998.88,,295258.74,,,187550.95,,12133294.11,,6088240.8,30657485.88,,,,239274.36,1030478.8,697587.02,520996.06,,,715680.8,,3086918.48,,,,,1978290.68,170485.65,221450.0,,745362.66,,,1145430.66,251220.72,,12431473.06,7551034.18,5681498.72,,398871.0,865825.8,1153109.8,24397255.4,,,42375634.86,617308.3,539359.83,25180447.5,233523.3,,,,876241.9,799767.22,2572960.5,,1479745.12,,152870.9,,,610654.75,,1781005.96,163373.76,566467.2,690387.0,,869994.35,2407658.44,1766874.3,207093.58,457234.54,256580.52,379997.9,301983.12,571693.98,,529092.0,144401.25,890589.48,,1123145.4,213988.84,660409.78,386370.36,,,236871.04,,1672624.56,,,699224.46,131143.95,1354399.63,556167.92,,336801.92,
20101221,,4597227.04,,,,,,,,,,,,,,,,,,1840774.67,,,,,,,,,,,,,,,459195.8,,,,678036.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677183.56,,,,,,,,,,,3043494.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2821771.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
