ADM,AVP,BEAM,BF,BTI,CAG,CCE,CHD,CL,CLX,COST,COTY,CPB,CVS,DF,DPS,EL,GIS,GMCR,HNZ,HRL,HSH,HSY,K,KFT,KHC,KMB,KO,KR,KRFTV,LO,LP4009,LP4011,LW,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SVU,SWY,SYY,TAP,TSN,WBA,WFM,WFMI,WMT
20100707,,32558136.0,,21626144.0,,31142554.0,,,101128231.0,,,,23605487.0,,,,15987451.0,64933219.0,,40359779.0,6727319.0,26445354.0,23991089.0,,,,65853978.0,162521965.0,36423316.0,,26345441.0,,,,,24591476.0,,,100150490.0,,414383783.0,203693131.0,27944453.0,17156366.0,10877911.0,8771514.0,22831987.0,,27153321.0,19261375.0,,,14822749.0,239565525.0
20100722,46179229.0,,,,,,29316044.0,,,,64435723.0,,,,,,,,,,,,,,117107585.0,,,,,,,,,,,,19826776.0,,,118535728.0,,,,,,,,,,,,,,
20100806,,,,,,,,,,27424456.0,,,,107256324.0,4383033.0,22044160.0,,,,,,,,37915352.0,,,,,,,,,,,,,,,,,,,,,,,,45953951.0,,,66347263.0,,,
20100820,58802183.0,45959965.0,,,,37679991.0,39097188.0,,121862656.0,34397327.0,80085681.0,,,,5993995.0,26603258.0,21459325.0,75128891.0,,49913242.0,,33333836.0,28270107.0,45335450.0,146806535.0,,,214742600.0,,,33532295.0,,,,,31331553.0,,,,151695943.0,507750772.0,272539378.0,37252556.0,21030608.0,,10968352.0,28664685.0,59860545.0,34670733.0,24727564.0,,,,306564727.0
20100907,,,,28703056.0,,,,,,,,,28421540.0,134909552.0,,,,,,,8571331.0,,,,,,83690220.0,,47081092.0,,,,,,,,24685218.0,,133079763.0,,,,,,14276789.0,,,,,,85252022.0,,18776429.0,
20100921,66180286.0,42980951.0,,27842909.0,,34661542.0,38786550.0,,113979790.0,34379969.0,79893343.0,,29510625.0,118738661.0,5352914.0,26097068.0,19337046.0,79467941.0,,51910041.0,8620876.0,32524349.0,27963061.0,45019242.0,150589012.0,,84091023.0,217990520.0,43876335.0,,33445207.0,,,,,30784372.0,25034651.0,,134043894.0,150053012.0,495589145.0,274790808.0,35154097.0,20029108.0,13947906.0,9455412.0,26247455.0,53156548.0,33567912.0,23141513.0,80299040.0,,17211139.0,300402824.0
20101007,,47573196.0,,26859978.0,,34831144.0,,,,34909266.0,90989346.0,,29388199.0,138392441.0,5362919.0,,20850776.0,,,53668531.0,8929475.0,30368180.0,,46875391.0,155553947.0,,,228814611.0,,,35184710.0,,,,,33646025.0,26538035.0,,,153521774.0,,296758986.0,,20958452.0,13708668.0,11243495.0,29057325.0,,36481379.0,,99738573.0,,,
20101021,68343651.0,,,,,,43153939.0,,117856285.0,,,,,,,24513875.0,,77891200.0,,,,,26790755.0,,,,84118412.0,,47957629.0,,,,,,,,,,144668878.0,,491992920.0,,38329693.0,,,,,55018004.0,,22149909.0,,,15646431.0,309358456.0
20101105,70529514.0,44546317.0,,,,35299881.0,33065391.0,,116933765.0,34407104.0,87462465.0,,,130933673.0,5401029.0,24913217.0,23265429.0,,,54993603.0,9049314.0,32027154.0,27537455.0,,160779430.0,,,,,,36998965.0,,,,,34365335.0,27680749.0,,151344167.0,149122967.0,515545677.0,306249183.0,41378279.0,21907261.0,15140835.0,10381601.0,31112027.0,56143524.0,36134901.0,21234455.0,,,16588404.0,
20101119,,,,26082058.0,,,,,,,,,29415174.0,,,,,79026967.0,,,,,,46143742.0,,,80914213.0,236991567.0,48149268.0,,,,,,,,,,,,,,,,,,,,,,99678185.0,,,309578568.0
20101207,,39276408.0,,26377052.0,,31693263.0,,,109110636.0,30040528.0,88558353.0,,25859019.0,,3549161.0,23470825.0,23022944.0,69915521.0,,50812277.0,9092183.0,31514659.0,24479421.0,,141679137.0,,74321804.0,229504190.0,48451488.0,,32433198.0,,,,,,25897598.0,,134323018.0,138744115.0,465444294.0,279965187.0,37087464.0,20263840.0,14867910.0,8176360.0,29361670.0,51989230.0,34270554.0,20320781.0,96384790.0,,18524350.0,
20101221,57685023.0,,,,,,31264239.0,,,,,,,126679721.0,,,,,,,,,,42488270.0,,,,,,,,,,,,32716920.0,,,,,,,,,,,,,,,,,,290470361.0
20110111,,39214851.0,,,,32670812.0,,,111519455.0,30296348.0,,,25765472.0,139360977.0,4232306.0,,,68835778.0,,51445927.0,9338841.0,34831103.0,24171994.0,42093584.0,144918424.0,,,,44762986.0,,32334033.0,,,,,,26712706.0,,,136875050.0,473978348.0,279602112.0,38352386.0,20722227.0,15766265.0,8547829.0,27490372.0,51320372.0,,,100526733.0,,,
20110124,,,,27579797.0,,,,,,,91324435.0,,,,,,,,,,,,,,,,,,,,,,,,,33495657.0,,,135292405.0,,,,,,,,,,35405987.0,21668809.0,,,19612407.0,
20110207,,,,,,,32397943.0,,,,,,,,,21004563.0,24105042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110221,58624756.0,,,,,,,,,,,,,,,,,,,,,,,,,,73984589.0,235606268.0,,,,,,,,,,,,,,,,,,,,,,,,,,278077852.0
20110307,,36146257.0,,,,32276180.0,,,104940858.0,,,,,127628300.0,,,27161884.0,69188779.0,,50313122.0,9616173.0,32801388.0,25834874.0,42512162.0,141044418.0,,74493458.0,220548124.0,,,,,,,,,,,,127981023.0,447442954.0,288862304.0,38865413.0,20929068.0,,7378165.0,25689370.0,,,,107710797.0,,,
