ACV	ADM	ADY	AIPC	AITP	ALCO	ANDE	AOB	AOI	ARDNA	AVP	BARE	BDBD	BEAM	BETR	BF	BG	BGS	BJ	BNNY	BOBE	BRBR	BUFF	BYND	CAG	CALM	CASY	CCE	CEDC	CELH	CENT	CENTA	CHBT	CHD	CHEF	CHTT	CIGX	CL	CLX	COKE	COST	COTY	CPB	CPO	CQB	CSKI	CVGW	CVS	DAR	DEMB	DF	DLM	DMND	DOLE	DPLO	DPS	EL	ELF	ENR	EPC	EPC_w	ETP	FARM	FDP	FEED	FIZZ	FLO	FRPT	FRZ	FWM	GAP	GIS	GMCR	GO	HAIN	HANS	HEK	HFFG	HLF	HNZ	HOGS	HRG	HRL	HSH	HSY	HTSI	IG	IMKTA	INGR	IPAR	JBSS	JJSF	JSDA	K	KDP	KFT	KHC	KMB	KO	KR	KRFTV	LANC	LDG	LFVN	LMNR	LNCE	LNDC	LO	LW	MDLZ	MED	MGPI	MJN	MKC	MNST	MO	MTEX	NAFC	NATR	NBEV	NGVC	NHTC	NTY	NUS	OME	PAS	PBG	PBH	PEP	PF	PFGC	PG	PGPDQ	PM	POST	PPC	PRMW	PSMT	PTRY	RAD	RAH	RAI	RCPI	RDEN	RDK	REV	REYN	RNDY	SAFM	SAM	SEB	SENEA	SFD	SFM	SFS	SHF	SJM	SLE	SMBL	SMPL	SPB	SPCBQ	SPTN	STSI	STZ	SUSS	SVU	SWY	SYY	TAP	TFM	THS	TPB	TR	TSN	TWNK	UNFI	USFD	USNA	UST	UVV	VGR	VLGEA	WAG	WBA	WDFC	WFM	WFMI	WINN	WMK	WMT	WNI	WWAV	WWY	WWYWB
20080831	1034216.01	6045052.72				250464.29	440918.46	350982.45	287854.59		6656969.6	337671.94				1632124.76	4396994.0	226976.7	1031812.29						3942681.44	377976.7	636697.2	1917813.47	15613.44		77398.86	143089.76		1494439.32		553281.54		13691897.31	2878962.5	162231.12	9875610.08		3169898.54	1421206.07	353096.05			18796879.5	654432.46		1328970.9	821449.95				1988557.35	1787461.2		1542941.52				267930.48			222396.71	1086459.17		288059.16		309847.25	7939287.0	378803.35		543581.3	734903.28			942189.85	5858639.82			1133965.67		2246573.46			289821.44		232609.44		363729.95	2844.97	5348129.64		17578640.8		8836828.81	34919111.5	6663418.44		436511.77	717612.5			330316.8		2744664.78						1846805.5		15466040.7	227979.18	378241.01					943301.5	472566.88		723520.89	1583885.2	303313.92	34211573.76			67931374.76	292547.81	34865867.65				299104.75	407665.05	365372.16	642501.72	3715095.69		377304.65	587806.56	285505.55			389173.82	397419.75	172800.0		1050801.6				1092507.1	3654937.9				147873.6	371552.22		1659600.88		2081625.0	4352634.56	6273430.52	2531516.82		497799.9		473916.45	1591618.0		445711.8		340729.55	2978936.03	686391.14	457958.7		12315800.62		378842.79		1243670.49	495672.66	347114.63	46228318.2			5690489.28	315047.7
20080930																																																																																																																																																		350400.6																																																	
20081130	1185921.43	4947981.51				306611.76	321397.47	348897.45	342470.24		4327695.19	180525.84				1419703.4	1955837.2	181938.21	1083420.8						3566135.3	339689.62	859552.4	1318640.4	604762.74		87805.64	171974.4		1811699.4		795745.72		12762308.76	3583837.35	369698.24	9947845.93		3684945.0	857912.32	483988.05			17461121.1	392909.4		1543184.84	693954.87				2534549.1	1675283.36		1209773.6				322752.0			316029.16	1285446.1		106237.74		247206.84	9210878.76	412556.69		615697.32	1003912.68			614023.62	5669825.98			1048728.6		2599724.4			299530.32		300268.32		428628.48		5508435.42		16949990.86		10360768.05	31472454.54	7049393.9		510033.34				485325.33		4755092.0						1757354.94		16059189.88	267523.14	471109.64					696285.78	469440.91		696075.03	1502969.6	296045.13	30840984.75			72283960.98	43428.87	31441720.59				262374.1	529889.28	223405.07	1806108.48	3668034.24		403980.85	682348.0				466177.04	375821.55			642088.2				1151519.52	3330622.62				111024.88	554050.72		1115796.66		1362098.72	3889963.95	6416484.8	2019868.4		675433.46		449052.72	1093618.72		676812.64		406261.52	4277433.15	634271.39	565105.2		10112533.78		405537.6		754623.68	623299.96	374941.52	46709733.02				
20090228	1915609.36	9641292.02				735056.0	823482.77	793780.0	660991.2			733063.98				2371083.15	3671026.48	678771.68	1493424.96						5055803.1	887276.2	1011053.75	2674896.16	656400.8		499320.76	1112916.0		2562492.2		1188948.8		19245075.84	4428896.95	783838.1	11658942.45		4330853.11	1531604.0	1123418.82			22453643.52	957455.64		2655633.42	1432566.0	700730.16			2986135.6	2161346.25		2331583.76				662127.56			722511.92	1503440.4		13379.58		1248271.28	11754051.4	1047826.62		944294.46	2202893.0			1343302.45	7000663.5			1871772.84		3971550.24			792970.08		678859.76		1006804.4		7170927.08		23746653.15		12651634.82	38857599.36	8436217.5		1198944.89				852961.34		6446058.6						2733684.84		19927441.62	721931.44	919465.04					1340600.28	871438.23		1195394.3	2174214.48	633158.5	33659123.0			80772215.5	1065095.85	31888705.55				806817.4	902559.99	585364.92	2486707.02	4351641.86		293674.59	1053558.35	488124.63			1161269.46	593392.4			2056987.91				3969768.6	4708723.92	1088006.39			185.72	727890.08		2300737.56		3208223.86	5939603.09	8190148.44	3382921.62		1009496.67		863163.07	2463362.1		836891.16		560428.66		990761.42	1016113.28	273362.04	16066179.63		756035.99		1549021.0	1015798.2	812344.32	52632286.08				
20090430	1581096.57	8312647.56				427265.65	601917.92	526340.88	1000327.5		5853735.44	1430512.58				2235022.5	3768208.88	870184.44	1689937.92						5078908.8	699205.05	1363842.33	3542304.28	1176515.2		436132.32	846439.61		2544429.24		937368.61		16880136.0	4807408.5	881557.68	12088812.6		3585290.84	1416553.0	485221.86			25672074.68	837579.6		2400392.7	1410921.35	974844.18			3643945.21	2267586.1		2375829.9				624830.75			683997.21	1567519.8				801432.58	9783727.59	1924530.65		885721.61	2324950.4			1078862.06	6411069.2			1903276.83		3739044.4			608243.65		606172.4		1085357.52		6711407.58		19171573.2		11732961.24	38453895.9	7874349.92		1229071.8				987704.52		6648283.43						2438253.85		19051884.4	1128185.42	607679.63					1783488.94	1145274.7		1525797.0	3188695.71	506276.66	32821745.76			71084436.48		31904544.2				592959.15	919621.08	1575538.2	2328241.12	4204727.82		538348.9	1089780.2	430866.0			1037759.1	605761.8			1010491.2				3051648.2	3792505.6	860978.16				618260.0		1639475.04		2600320.35	5182755.5	8325823.76	3117528.0		1036105.94		880983.0	2425190.76		1186541.86		559733.1		946239.84	912474.68	717992.48	17744152.23		837588.18		2686918.95	822552.96	937104.66	55548108.0				
20090531	1568525.01	8231795.48				422012.71	597000.5	520375.2	654705.0		5795765.72	1413909.4				2576704.5	3733209.59	865276.2	1676101.82						5033455.2	692958.13	1354182.9	3512381.04	1154899.2		434362.24	842947.66		2522012.32		930834.32		16955243.0	4762176.15	715920.32	11978782.2		3552189.2	1402021.8	480808.55			25793982.76	831098.84		2381183.1	1399830.4	731355.75			3611989.68	2246237.5		2354858.1				620900.5			680269.59	1555138.2				793138.38	9804206.35	1527982.61		876842.53	2308483.36			1071171.9	6349250.88			1888570.53		3706048.58			604403.59		600406.72		1080279.96		6647021.39		19617109.2		11618465.04	41215639.5	7797231.38		987339.6				788505.36		6347279.59						2417727.2		19178507.22	962361.4	603432.58					1772710.38	1139185.2		1514101.68	3161459.54	499461.36	34465219.04			72009508.32		32485699.0				589174.95	910834.44	1562708.7	2309264.0	4166140.14		525358.9	1080337.32	420821.94			1032691.8	602117.6			998922.24				3023753.0	3756688.0	856148.55				613883.37		1624442.81		2334681.9	5132689.25	8246245.13	3685158.0		1030149.78		874944.2	2406492.8		1174992.4		552990.48		940298.32	906705.24	716505.44	17875718.21		833393.88		2667474.21	813900.66	932332.95	57502418.4				
20090731	1704522.04	8504588.07	310577.46		794978.8	450570.18	1059097.56	614459.95	634174.4	301491.0	6237367.88	689455.8				2266292.42	4460187.0	693488.6	1547362.3						5163125.28	624948.48	1253749.07	2995851.15	1022918.43		239178.91	571083.3		2392083.95		1098929.7	118725.11	19661121.9	4509054.12	729755.81	11049277.68		3865170.18	1491988.68	610470.0		698273.79	25068878.26	638860.2		2105699.51	1662980.2	746799.3			3285191.65	2334108.15		2227827.04				690541.28			441337.68	1401232.56				442204.0	10297036.2	1364194.0		782498.08	1668538.48	555607.5		1613018.68	6254925.6			1991887.26		3514572.0			565556.4		542616.84		647169.3		6984102.9		20448847.86		12075834.89		7554881.25		947372.79				750082.77		6478134.3					857790.0	2542837.57		18569083.28	364343.1	528968.88					1267312.16	914006.7		1321035.94	3266913.6	447430.95	37497504.24			72992466.4		38880425.28				529182.75	613702.0	1040846.02	2344201.6	4030112.86		497941.74	942026.58	444426.24			822960.0	636066.64			1536825.73				3550525.56	3862988.48	541905.75				445270.8	118725.11	1686642.88	195802.62	1756266.05	5033101.08	7555100.88	3878189.94		1068402.72		781783.95	2346620.12		980883.75		657151.92		987704.41	921290.59	664198.5	15899167.2		857588.0		1855010.3	847691.46	576644.56	53369351.28				
20091130	1814661.6	9510677.28	545080.36		838451.88	373815.72	660096.06	293387.64	598005.36	210715.34	7943431.25	948966.84				2589969.55	4573481.5	603129.04	1404158.34						5564830.39	662566.24	1250978.05	3390784.35	839020.72		182439.84	461414.25		2491606.08		1021441.76	101978.8	22439244.89	4665380.16	462180.42	13864731.66		4408982.63	1499439.0	969534.35		475847.2	23389540.58	661127.6		1668593.7	1546823.93	798495.04			3895448.22	3207199.38		2306277.9				359668.05			425012.0	1410413.13				640756.64	11986292.0	1395321.9		838406.34	1813019.65	614847.01		1756698.84	7123789.2			1853262.88		3314451.96			560414.61		644818.68		624566.1		7556376.96		20568268.5		14570530.02	53950182.0	7590634.74		989235.6				759914.8		7139672.4					1156720.29	2678997.12		20434450.41		614498.49					1737901.44	1194227.32		1399902.4	3335956.8	484296.51	42714278.88			86666624.7		42927057.6				570577.14	363942.72	648263.68	2141707.84	5000396.48		452471.0	1029262.3	730063.5			706228.77	558744.75			1186820.64				4136072.64	4607894.82	409952.62				288023.58	101978.8	2181525.0	174306.4	1796447.85	5328765.0	8716506.24	3974727.57		1038951.65		620553.04	2144752.64		903929.76		411008.72		1019455.78	690478.49	471341.34	20277518.23		720256.45		2171862.45	582529.64	574043.9	58962549.5				
20100131	1871601.71	9576758.39	474011.52		910697.83	406294.96	650560.72	340724.1	606925.6	216388.06	7227486.0	897143.88				2684606.98	4667824.07	647823.42	1310918.67						5721102.2	819794.4	1293439.94	3621744.4	1304672.43		222827.5	553578.48	331413.81	2524996.5		1434860.7	48701.1	21663365.75	4671990.0	525344.5	13563243.25		4219727.2	1548663.86	1023156.64	493743.25	476323.0	24203270.41	774555.02		1874157.56	1658463.66	912809.36			4166892.0	3273585.12		2486129.6				406142.05	85283.9	439715.0	542272.5	1452401.28				665427.6	12347706.18	1784600.35		815119.2	1970611.2	703684.81		1678786.6	7121635.24	620310.18		1881320.05		3321312.0			539989.7		661147.42		687471.84		7578978.4		20938004.28		13936817.34	53653530.0	6781982.85		1022960.88				815852.3		7273892.49					1140045.6	2685976.46		21216771.42		687203.52					1868867.42	1181420.16		1371123.6	3262687.5	543086.7	41445718.4			84159714.81		42258871.18				616046.22	332166.78	761390.32	2189685.12	5246466.62		435511.83	986796.96	650326.32			736113.6	613256.0			1505237.86				4280201.25	4572639.96	455226.0				308035.24	48701.1	2009888.1	138453.62	1634137.41	4987139.92	8911490.94	3930907.04		1149517.66		662349.58	2167789.98		950125.68		404396.3		1074525.99	690984.0	422968.24	19031829.12		716968.16		2300145.3	539569.68	594013.32	57358798.5				
20100430	1593676.8	8415947.1	341544.0		715319.82	354043.6	658000.98	424184.85	528606.68	385801.5						2642070.16	3817218.45	573273.68	1406636.88						5794031.07	528038.22	1380095.38	4551546.74	1459908.45		439362.52	577385.6	473958.54	2791606.0				21462656.4	4904518.8	461790.72	13241600.4		4091626.0	1695528.0	617662.72	372345.09	388572.06	26711029.28	755271.14		1750377.3	1857878.64	688997.72			4563903.93	4106552.32		2380822.6				384658.89	786193.77	346619.52	374830.8	1409917.32				444585.4	12074713.44	1554662.92		751422.42	2027103.1	600228.0		1863415.0	7793543.6	479240.6		1823969.24		4141816.05			438612.86		508844.16		677558.37		7710609.24		26368479.2		13074538.02	50182173.9	7242111.63		828507.84				610097.6		6694051.92					5688660.64	2698674.0		22418341.92		540043.42					1422905.04	1099384.38				560251.46	50212486.68			85620427.2		40931689.32				548628.88	535107.31	758408.24	2214318.15	5043809.56		522246.84	1101583.14	443711.52			827438.67	648545.76			1751346.7				3988909.19	5088072.42	566041.35				508351.92		2174130.0	386567.61	1890959.0	5161650.4	9763396.24	3719142.4		987006.31		603687.0	3250803.78		959810.34		498553.68		935716.38	725618.08	390410.28	17831067.75		614657.81		3214935.84	692326.83	556478.56	56393663.04				
