0151	1216	2267	2269	2282	2502	2503	2651	2801	2802	2897	2914	3382	4452	4911	8028	8113	8267	ABEV	ABF	ABI	ABV	AD	ADM	AHLN	ATDb	ATM	AVP	B4B	BATS	BEAM	BEIG	BF	BRFS	BTI	CAG	CARLb	CARR	CASP	CCE	CCL	CENCOS	CHD	CHFJPY	CL	CLX	CNCO	COL	COLR	COST	COTY	CPB	CVS	DANO	DELB	DEMB	DF	DGE	DIDA	DPS	EL	ESSITY	FEMSAU	FGL	FMSAUB	GIS	GMCR	GMODEL	HAWKB	HEIN	HEIO	HNKG	HNKG_p	HNZ	HRL	HSH	HSY	IMB	IMT	K	KFT	KHC	KIMBER	KMB	KO	KR	KRFTV	KTGSF	KYGa	L	LISN	LISP	LO	LP4018	LW	MDLZ	MEOG	MHG	MJN	MKC	MNST	MO	MOWI	MRU	MRUa	MRW	NESN	NTCO	OREP	ORK	PEP	PERP	PG	PM	RAI	RB	SAB	SAP	SBRY	SC	SCAb	SCP	SJM	STZ	SVU	SWMA	SWY	SYY	TAP	TATE	TSCO	TSN	TWE	ULVR	UNIA	UNc	WALMEX	WBA	WES	WFM	WFMI	WLIL	WMT	WN	WOW
20100806			597960.25		112283.88	929813.4	1440329.04			994044.51	402175.32		2522304.65	1740815.89	970640.73		612069.15	1047808.42		729426.68	5146674.84	2235048.27		2355636.06	2100900.42			1603117.5		8985481.64		765830.87	879567.87			1466664.76	1154860.3		607988.52	1186689.54	770783.66				5417034.04	1219579.2			643871.75	3412564.37		933407.33		4951210.19	1052673.24		272212.24	5593730.01		1296012.18	935483.78			1335300.97	1421546.57	3314158.08		489035.67		1746632.6			1226046.65	1922079.84	392696.48	1317123.3	1118015.18		4044714.15	1798325.6			442641.45	3522421.11	16263589.16	1800670.19		702315.18	527353.99	546531.42			1553472.36				923490.33		1431326.96	707536.44		5860637.88			613271.05	1212000.92	24820159.69		3426971.84		13818584.02	2502874.02	24274925.66	11941778.4	1232794.36	4024714.69	3668857.45	583111.29	946860.17	996134.75			1004288.94	430752.74	337926.16	834971.96	1088613.52		955768.68	448808.9	6417678.58			4866574.12		6680885.35	1768738.48	3687350.1	3967123.74		875538.14	902542.8	14031729.14	463040.49	4012573.42
20100820												2052387.83																										3357121.23															5615161.16																												6867000.0																																															2376081.19				705671.45													
20100907			611917.61		118082.16	938068.7	1472741.6			1001777.06	370009.25		2531624.17	1693505.72	946245.07		640572.34	1018471.35		791067.92	5454439.65	2384927.92		2427433.92	2113833.9			1831377.9				815944.95				1436083.76	1315467.12	3756267.47	673717.66	1280766.2	778139.08					1237910.4			652680.03			920906.8	5725526.4	4986752.81	1048676.74		301260.48			1277676.3	1035964.5			1418810.35	1555246.39	3117672.0		521563.46		1799352.65			1220184.63	1923671.04		1343553.18	1081094.0			1750749.0	6975873.78		469721.18		17425671.78	1883622.12		715011.92	586303.83	633421.88			1616288.0						1503968.28	721233.54		6311655.52			664763.43	1228689.56	24632677.64		3524898.72		14345759.09	2430169.46	24123094.16	12952114.56	1329975.64	4098287.95	3843049.41	604504.12	1030140.03	1064749.65			1015806.48		341964.48	869933.81	1106037.92	2517922.94	987609.42	456572.59		740567.94				6948986.1	1800042.25	3843401.0			909609.32	976146.51		517123.99	4001619.24
20100921												2040249.22																		9407763.32			944736.66												5299400.04					3450463.24								5955963.2																	414006.32				3953081.99					3622651.76													970568.49																											457515.08							6728885.6			5002615.57					4495814.39				14558333.62		
20101007			598430.39		108145.77	945639.28	1447428.27			981302.85	356198.64	1862808.15	2287376.92	1628081.46	899368.82			854772.53		762613.35	5080982.39	2337108.66						1615050.0		8810733.72		680910.84	864189.0			1245743.0	1323009.68				739033.69					1166760.0			620859.09	3245970.0		901692.0	4762800.0	4521759.94	901266.25		253704.0	5274980.79			880299.0			1378630.96	1424303.32			482344.88					1093932.1	1886592.0	392665.0	1246172.0			3651676.76	1639440.0	6747735.0		464478.15		16692120.0			725854.08	573098.06	583210.95			1504998.0				862921.05		1393473.0	689751.0					622270.36	1244843.7	24479230.77		3162695.58		13394366.0	2297263.77		12325024.0		3961777.27	3430538.22	595011.96	1013664.89	994281.43			912288.0	421498.0	277992.0	804097.53	955040.0		892980.0		6502093.57					5987434.75	1636770.09	3413760.0	4295347.17			924189.86		497458.62	3995250.69
20101021																	659163.99							2576286.0	1918767.23													3515544.35	600887.38	1206704.0					4666688.0															1189286.0						3109760.0				1697801.13							1008399.0							3419640.0		1655347.0																5997384.0											22203207.0		1183518.0													2108483.0		384792.67		661752.0		4403848.4							793212.0		13467604.0		
20101105			617806.56			1001480.25	1483675.6			977974.62	360904.96	1995930.09	2342259.66	1704333.25	897294.71		651568.11	965468.42		795100.21	5808369.5	2525112.0		2684472.0	2115309.77			1811004.0		9803355.83		778478.43				1265938.0	1461886.53			1367100.0	807334.69				4888296.0	1188328.0			529424.85	3733971.0			5614248.0	5073376.13			253208.0	5676904.12		1129536.0	967419.0			1524797.37	1482074.85			500109.42		1973425.0				1975329.0	405860.0	1179154.0	970836.0		3990707.5		7032994.0							850824.24	611321.88	560371.4			1590138.0						1536570.0	735700.0		6538244.0			639672.47	1375060.59	24295501.31		3524435.05		13839452.0	1923226.57	22266861.0	13444800.0	1312519.0	4435570.24	3919616.83	650465.47	1132208.58	1138283.37			944268.0	421022.0	329758.0	862862.62	1074928.0	2218856.0	982176.0	461946.62	7028827.7	639198.0		4989804.57		6731712.79	1915308.65		4859660.86		738489.0	1370737.83		507939.76	4526534.41
20101119					110102.94																												844468.0					4347798.55	696820.31													893750.0			987750.05											3069360.0							1247902.71							1722391.0			512366.26	3486680.0	17702300.0	1817274.0											1114720.55																																									4291350.0					14000832.0		
20101207			602344.63		104581.01	1040928.0	1474686.33			982048.42	372871.51		2395882.07	1828681.56	860315.33			1091194.49		837942.82	6395621.48				2236139.45			1778310.45				871169.99	876880.2			1345869.07	1597620.77	4513560.45	734409.49						5051976.96	1220127.7			625083.81	3762810.42		940905.0		5546681.33	977185.51		265657.6	6254647.82		1208452.65	1121568.03			1524731.15	1645835.64	3267293.9		522637.14		1991701.35			1419703.73	2119440.27	430408.16	1304775.16	1050078.82		4417705.34		7618172.52		517696.82	3496874.72	19206834.36	1910238.0			658864.09	630787.95			1749213.98				1232828.73			806174.82		7181887.18			696343.16	1427750.87	25729180.07		3804241.14		14084034.6	2097762.68	24422958.3	14545557.0	1477318.7	4633576.37	4098639.82	749644.85	1178955.92	1154620.28			1046092.72	483661.22	325631.41	926413.16	1198219.6	2360747.64	1011855.52	519152.32	7430581.36	647066.6		5122212.5		6899141.5	2171451.16	4487677.04			814755.75	1508209.39		564050.51	4671164.09
20101221												1920364.99					629888.27					2925710.88		2906870.12						10315594.86										1100498.35	872370.22												5553224.4																											1775635.54								876645.7											1653959.58																																								5139201.25				14662952.28		
