ADM,AVP,BEAM,BF,CAG,CCE,CHD,CL,CLX,COST,COTY,CPB,CVS,DF,DPS,EL,GIS,GMCR,HNZ,HRL,HSH,HSY,K,KFT,KHC,KMB,KO,KR,KRFTV,LO,LP4010,LW,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SVU,SWY,SYY,TAP,TSN,WBA,WFM,WFMI,WMT
20100707,,295210.0,,308183.0,298962.0,,,312677.0,,,,308675.0,,298475.0,,297598.0,294994.0,,299082.0,307446.0,305406.0,305554.0,,,,309213.0,306734.0,314252.0,,307355.0,,,,294956.0,,,320440.0,,313096.0,319734.0,316108.0,310434.0,306777.0,269808.0,302174.0,,304357.0,286415.0,284088.0,,285639.0,298515.0
20100722,304030.0,,,,,306182.0,,,305827.0,301565.0,,,289388.0,,315385.0,,,,,,,,295512.0,298620.0,,,,,,,,,,,299694.0,,,304445.0,,,,,,,,293985.0,,,,,,
20100806,322027.0,346633.0,,,301014.0,339664.0,,313551.0,319210.0,311905.0,,,,339617.0,316547.0,332415.0,284031.0,,307802.0,,320277.0,299625.0,294044.0,,,,337273.0,,,325545.0,,,,312729.0,,,,324225.0,319255.0,355749.0,350678.0,316672.0,,280759.0,315597.0,,323397.0,,,,,317890.0
20100820,,,,,,,,,,,,,,,,,,,,,,,,311525.0,,,,,,,,,,,,,,,,,,,,,,318681.0,,305900.0,,,,
20100907,,,,340070.0,,,,,,,,309278.0,302910.0,,,,,,,325977.0,,,,,,327012.0,,337927.0,,,,,,,310510.0,,354338.0,,,,,,334973.0,,,,,,303629.0,,301102.0,
20100921,362281.0,324028.0,,329740.0,276784.0,336824.0,,293145.0,318914.0,311025.0,,320995.0,266490.0,303166.0,310393.0,299414.0,300309.0,,319981.0,327724.0,312698.0,296246.0,291870.0,319417.0,,328440.0,342230.0,314792.0,,324563.0,,,,307138.0,314774.0,,356897.0,320579.0,311477.0,358537.0,330785.0,301464.0,327119.0,241931.0,288862.0,282872.0,312979.0,286159.0,285869.0,,275885.0,311369.0
20101007,,334907.0,,327308.0,321750.0,,,,324454.0,340830.0,,319426.0,341764.0,331110.0,,348081.0,,,320221.0,327141.0,309024.0,,323517.0,318938.0,,,329468.0,,,322445.0,,,,334631.0,330224.0,,,325556.0,,329398.0,,321112.0,319128.0,331488.0,336867.0,,336206.0,,371515.0,,,
20101021,319360.0,,,,,332630.0,,322043.0,,,,,,,325896.0,,327216.0,,,,,325516.0,,,,317444.0,,322084.0,,,,,,,,,330875.0,,318741.0,,329318.0,,,,,316715.0,,327449.0,,,323970.0,327007.0
20101105,333200.0,317289.0,,,329591.0,375516.0,,322747.0,323100.0,331426.0,,,326802.0,337012.0,334981.0,391435.0,,,331738.0,336594.0,329447.0,338264.0,,333188.0,,,,,,342213.0,,,,345568.0,347127.0,,349906.0,319643.0,337557.0,343687.0,359546.0,340684.0,355633.0,309943.0,364339.0,327006.0,336041.0,317609.0,,,346819.0,
20101119,,,,322597.0,,,,,,,,323531.0,,,,,335983.0,,,,,,321664.0,,,309099.0,344925.0,326810.0,,,,,,,,,,,,,,,,,,,,,375560.0,,,330708.0
20101207,,297595.0,,347053.0,314789.0,,,320362.0,300397.0,356981.0,,302558.0,,235621.0,335714.0,412060.0,316204.0,,326064.0,359756.0,344925.0,319878.0,,312331.0,,302023.0,355331.0,349953.0,,319116.0,,,,,345478.0,,330360.0,316364.0,324282.0,334229.0,342970.0,335225.0,371495.0,259719.0,365771.0,322122.0,339030.0,323328.0,386312.0,,411995.0,
20101221,289900.0,,,,,377827.0,,,,,,,336350.0,,,,,,,,,,315072.0,,,,,,,,,,,349974.0,,,,,,,,,,,,,,,,,,330490.0
20110111,,350173.0,,,348974.0,,,344787.0,351520.0,,,341245.0,351351.0,381181.0,,,340062.0,,338801.0,345492.0,352564.0,339244.0,346578.0,342986.0,,,,358095.0,,346293.0,,,,,338971.0,,,344289.0,344809.0,340645.0,349197.0,346304.0,347533.0,382022.0,362539.0,348684.0,,,360380.0,,,
20110124,,,,345663.0,,,,,,349496.0,,,,,,,,,,,,,,,,,,,,,,,,346110.0,,,342341.0,,,,,,,,,,343300.0,348361.0,,,345783.0,
20110207,,,,,,344538.0,,,,,,,,,321890.0,353466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110221,348176.0,,,,,,,,,,,,,,,,,,,,,,,,,349242.0,347923.0,,,,,,,,,,,,,,,,,,,,,,,,,344343.0
20110307,,335110.0,,,357822.0,,,336851.0,,,,,333906.0,,,413516.0,354687.0,,344007.0,369489.0,344711.0,376442.0,363405.0,346578.0,,365086.0,338137.0,,,,,,,,,,,334223.0,337948.0,365380.0,367396.0,363131.0,,342352.0,351738.0,,,,400678.0,,,
20110320,430173.0,,,343330.0,,362020.0,,,376407.0,361610.0,,330541.0,,455294.0,329949.0,,,,,,,,,,,,,366744.0,,323969.0,,,,332766.0,347130.0,,352770.0,,,,,,318821.0,,,329589.0,312793.0,376885.0,,,400258.0,331892.0
20110407,435793.0,430261.0,,434798.0,441323.0,447665.0,,444342.0,,439040.0,,418179.0,432020.0,418140.0,415152.0,456168.0,421933.0,,421805.0,426119.0,440407.0,426865.0,421692.0,428252.0,,429607.0,447863.0,425132.0,,461749.0,,,,438646.0,414112.0,,444176.0,430903.0,,450091.0,449170.0,428768.0,467130.0,464807.0,444058.0,423145.0,458866.0,426018.0,415208.0,,461432.0,427539.0
20110421,,,,,,,,,430930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430214.0,,,,,,,,,,,,,
20110508,448016.0,467495.0,,,454330.0,,,463588.0,428409.0,484549.0,,,,,437942.0,459198.0,445367.0,,442627.0,,478426.0,453254.0,,458568.0,,434807.0,455355.0,,,517590.0,,,,,,,,460874.0,453262.0,476220.0,469145.0,450870.0,,586015.0,458584.0,,476775.0,441780.0,441896.0,,439446.0,451606.0
20110523,,,,457461.0,,465697.0,,,,,,424242.0,456189.0,467832.0,,,,,,449973.0,,,447393.0,,,,,431016.0,,,,,,506415.0,425281.0,,457837.0,,,,,,515731.0,,,441629.0,,,,,,
20110607,457824.0,551745.0,,538309.0,551475.0,552695.0,,561855.0,505694.0,576205.0,,512284.0,568472.0,677205.0,537001.0,566163.0,535901.0,,553593.0,523746.0,568475.0,510654.0,,557142.0,,524476.0,526129.0,513576.0,,653638.0,,,,598857.0,507321.0,,558618.0,,545916.0,574072.0,586994.0,556070.0,,623110.0,543771.0,574272.0,532603.0,492751.0,,499616.0,,529173.0
20110621,,,,,,,,,,,,,,,,,,,,,,,519407.0,,,,,,,,,,,,,,,555092.0,,,,,590285.0,,,,,,526527.0,,,
20110707,,619136.0,,,633481.0,,,601381.0,604262.0,,,611673.0,,587193.0,,653861.0,,,599720.0,,603730.0,618073.0,,618075.0,,,620145.0,,,,,,,,,,,619784.0,594507.0,589713.0,589540.0,600513.0,,658098.0,621642.0,,606317.0,,575078.0,689321.0,,
20110721,604447.0,,,619031.0,,616982.0,,,,617424.0,,,609097.0,,625596.0,,593436.0,,,622671.0,,,609405.0,,,608092.0,,625158.0,,591382.0,,,,629026.0,602771.0,,589894.0,,,,,,596118.0,,,610380.0,,646142.0,,,,608772.0
20110805,609058.0,579998.0,,,628572.0,,,580534.0,641446.0,,,,589161.0,,563379.0,652121.0,,,592516.0,,607545.0,613616.0,614472.0,,,,626780.0,,,,,,,,,,,,575054.0,628573.0,560102.0,612139.0,,601450.0,536522.0,,,,,724629.0,,603846.0
20110819,,,,609665.0,,594358.0,,,,594700.0,,585117.0,,527373.0,,,595508.0,,,605125.0,,,,603163.0,,597129.0,,626923.0,,576987.0,,,,664597.0,591584.0,,587437.0,563552.0,,,,,583807.0,,,598830.0,610518.0,584256.0,528758.0,,,
20110907,570967.0,498847.0,,594664.0,599365.0,583997.0,,618994.0,,596904.0,,,582029.0,413476.0,574122.0,607055.0,604437.0,,592516.0,,573528.0,637643.0,598389.0,614391.0,,631846.0,649267.0,593900.0,,605233.0,,,,663480.0,581126.0,,607316.0,566984.0,595535.0,612234.0,597814.0,566339.0,566055.0,557390.0,487578.0,,592900.0,581262.0,,717350.0,,
20110921,,,,,,,,,624512.0,,,564227.0,,,,,,,,576718.0,,,,,,,,,,,,,,,,,,,,,,,,,,546758.0,,,476884.0,,,609574.0
20111007,,520576.0,,,594068.0,534621.0,,556201.0,,572212.0,,605966.0,,,,506661.0,,,575068.0,,548444.0,585291.0,,,,,556694.0,,,580953.0,,,,530817.0,,,585102.0,,576707.0,529980.0,583189.0,581371.0,,508398.0,551584.0,,543132.0,,522293.0,555396.0,,
20111021,,,,584126.0,,,,,,,,,,,,,,,,,,,,,,,,575703.0,,,,,,,,,,,,,,,552096.0,,,554882.0,,584685.0,,,,
20111107,508903.0,,,,,,,,560356.0,,,,544265.0,572789.0,592248.0,,598901.0,,,566555.0,,,578282.0,562263.0,,597620.0,,,,,,,,,577185.0,,,585822.0,,,,,,,,,,,,,,578789.0
20111121,723789.0,592089.0,794835.0,758510.0,757620.0,702684.0,,690427.0,689482.0,707625.0,,759097.0,717288.0,765450.0,697694.0,693088.0,731685.0,,742282.0,753253.0,728020.0,689621.0,718825.0,718376.0,,715225.0,686616.0,741065.0,,708224.0,,,,676109.0,740540.0,,733105.0,726443.0,712209.0,723853.0,734146.0,749405.0,756228.0,746502.0,783323.0,724046.0,707925.0,792651.0,643084.0,747884.0,,771392.0
20111207,677971.0,495414.0,760069.0,729064.0,679974.0,615910.0,,629154.0,602179.0,652545.0,,669539.0,690731.0,719907.0,612170.0,747521.0,682426.0,,658178.0,692651.0,697747.0,625020.0,586675.0,664039.0,,659954.0,608095.0,666750.0,,642931.0,,,,638224.0,667969.0,,686839.0,664128.0,646217.0,710862.0,714676.0,,655185.0,615592.0,727740.0,670918.0,610798.0,744254.0,587537.0,634964.0,,720406.0
20111221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664673.0,,,,,,,,,,
20120109,680051.0,688196.0,686533.0,682564.0,683337.0,658705.0,,676849.0,674519.0,664394.0,,669221.0,715322.0,688162.0,670134.0,684366.0,670281.0,,672150.0,674842.0,676522.0,685017.0,683150.0,674497.0,,679915.0,683257.0,672904.0,,694602.0,,,,621044.0,681124.0,,670060.0,675377.0,674838.0,683718.0,671004.0,670464.0,697055.0,714065.0,673743.0,668372.0,672432.0,667436.0,637926.0,692599.0,,675527.0
20120207,756405.0,777793.0,778896.0,764998.0,767029.0,760568.0,,738461.0,773112.0,728912.0,,709129.0,813708.0,734585.0,732145.0,784372.0,734067.0,,716567.0,736768.0,760829.0,752506.0,743295.0,768298.0,,734921.0,732700.0,733471.0,,727030.0,,,,743864.0,758605.0,,713408.0,742728.0,708570.0,723773.0,706140.0,750773.0,783123.0,675176.0,782048.0,762385.0,735992.0,669735.0,715238.0,818772.0,,770682.0
