1XAPM0	1XAPU0	1XAPZ0	ADM	ALCO	ANDE	AOI	APFH	AVP	BDBD	BEAM	BETR	BF	BG	BGS	BJ	BNNY	BOBE	BRBR	BUFF	BYND	CAG	CALM	CASY	CCE	CELH	CENT	CENTA	CHD	CHEF	CL	CLX	COKE	COST	COTY	CPB	CQB	CVGW	CVS	DAR	DF	DMND	DPLO	DPS	EL	ELF	ENR	EPC	FARM	FDP	FIZZ	FLO	FRPT	FWM	GIS	GMCR	GO	HAIN	HLF	HRG	HRL	HSH	HSY	HTSI	IMKTA	INGR	IPAR	JBSS	JJSF	K	KDP	KHC	KMB	KO	KR	KRFTV	LANC	LNCE	LNDC	LO	LP4011	LW	MDLZ	MED	MGPI	MJN	MKC	MNST	MO	NGVC	NHTC	NUS	OME	PEP	PF	PFGC	PG	PM	POST	PPC	PRMW	PSMT	PTRY	RAD	RAI	RDEN	REV	RNDY	RTYH0	RTYH1	RTYM0	RTYU0	RTYZ0	SAFM	SAM	SEB	SENEA	SFM	SFS	SJM	SMPL	SPB	SPTN	STSI	STZ	SUSS	SVU	SWY	SYY	TAP	TFM	THS	TPB	TR	TSN	TWNK	UNFI	USFD	USNA	UTZ	UVV	VGR	VITL	VLGEA	WBA	WDFC	WFM	WMK	WMT	WWAV	XAPH1	XAPU0
20131231				313909.75	1871.04	17694.56	3015.84		91521.39	10778.24	116421.72		109229.12	139649.16	21609.12		9190.0					164752.06	9341.5	33861.1	125987.76		994.56	2877.76	107010.0	5747.84	722264.75	143761.31	3802.4	648096.81		93068.19	5580.96	4439.52	973129.68	28856.16	19849.92	6333.44		116354.86	211612.08		81217.6			12828.58	3041.28	47979.84		3798.0	382763.7	102148.08		46719.85	71979.44	5184.0	77614.48	48659.52	177308.7	27652.8	3362.56	63627.2	7498.4		15121.92	181980.64			494713.12	1897128.76	243152.0	374336.64	19411.84	16594.56		227032.59			671102.95	3900.96		202401.45	97704.0	99659.12	876980.7	3604.44		79772.16		1541141.62	11477.44		2728559.56	1638005.46	19449.6	12579.84		29076.07	3914.08	51225.76	194787.45	12649.6	3801.6	2647.84						16948.32		11300.0	2506.4					19762.4	9929.6	2038.4	137440.32	13828.32	15686.4	100119.11	236183.49	94279.3	18767.31	30304.8		7692.0	105781.22		40208.4		5848.8		14187.52	12841.92		2478.72	628940.8	12718.94	236984.2	7348.32	1570297.84	43560.96		
20140123																																																																																																																			25704.0					129674.56																																
20140207				464163.0	2565.42	26037.64	4093.1		121555.98	15352.48	160757.72		150006.45	196325.01	29094.78		11965.12					230811.3	14214.28	43765.75	181683.21		1209.12	3415.5	149660.24	8981.28	981410.5	196094.64	6440.72	843185.85		142477.76	8494.2	6596.68	1426246.96	53786.88	26094.42	9690.0		160434.96	291488.4		108997.68			17885.6	3991.68	65762.61		5037.36	519662.92	156904.08		70354.5	111281.8	7038.9	107143.24	66344.96	243366.69	37999.5	4769.6	86807.28	10170.04		21970.32	251425.19			649009.98	2673707.13	315805.17	521028.96	27679.1	22746.24		307526.24			968702.6	5173.74		275067.84	134394.0	156277.62	1248289.24	6367.5		118039.88		2074992.92	23588.14		3616232.2	2287598.15	26704.34	17160.0		37319.42	6275.72	60208.94	264747.04	15598.0	4942.08	4121.48						24881.52	35543.13	13974.85	4113.81			177397.44		27373.4	14932.2	619.44	188407.26	19647.0	24377.76	127023.0	347679.1	137567.5	13081.5	40938.48		11356.46	153046.04		60764.34		8842.86		20420.4	17646.86		2728.88	836613.6	18072.56	332117.69	10406.88	2091344.13	64599.04		
20140307				501040.68	2848.56	28462.56	4076.02		124227.27	16404.96	233906.4		181797.0	214173.52	33228.78		13239.6					258261.96	14106.4	50472.45	211731.39		1343.68	3731.52	172428.6	8594.04	1093016.73	221645.97	7101.12	944273.44		161460.78	9077.64	7838.04	1600968.52	59540.64	28345.2	11677.48		187498.08	315447.86		113494.5			19792.08	4850.82	75818.05		3877.5	592950.96			84079.35	108463.45	8339.76	127413.76	84633.12	295218.0		5653.44	93450.0	10933.44		25725.2	283058.36			806056.9	2904311.26	341830.9	599878.65	32160.4	25000.56		354137.9			1066110.75	6208.02		299486.55	147999.08	185095.4	1358576.28	6758.66		86682.7		2385406.24	27405.0		4038410.34	2434217.28	34366.26	20879.04		34814.7	6457.62	78049.65	304628.5	14102.4	5494.32	4189.12						30334.8	36454.25	15300.0	4447.71			195093.36		34615.0	16422.93	1781.35	242660.55	21708.88	22842.56	145078.56	400368.04	153445.6	25940.32	46219.68		12530.42	202184.4		64461.78		8202.19		20938.56	22753.64		3020.16	990721.25	19656.78	355786.08	11517.48	2354959.12	80570.88		
20140321																																																								199827.0																																																																																																
20140407				594876.9	3166.8	32996.68	5092.48		132740.88	22077.86	254398.2		229247.64	243618.64	34084.52		14307.64					272381.34	18959.56	54545.13	245104.32		1821.12	5449.93	199543.23	8388.8	1250434.12	236834.91	9177.84	1016623.04		190336.08	11541.15	9891.24	1856378.28		31043.68	16661.61		228241.86	333864.96		131364.96			22331.7	4916.52	83697.9			684801.3	272844.56		91012.65	102914.19	9245.88	148893.94	95422.86	337316.4		5335.68	108791.84	13108.02		30134.58	331861.32			876708.0	3200970.68	449944.2	696481.5	39668.58	28500.09		415442.56			1199299.6	7330.68		350435.1	178991.3	205988.7	1559633.24	8382.72		92709.15		2667825.0	32726.56		4564297.4	2732738.73	43434.56	28325.68		41684.09	7409.22	95598.69	361386.3	16525.6	6643.0							34457.11	45030.32	18350.15	5194.2			212761.12		39531.2	18173.43	2196.38	293231.47	23988.48		189723.84	438112.38	185762.16	26980.8	54640.41		13682.58	251693.19		72976.68		11074.98		22803.12	29746.74		3036.0	1241165.91	23891.56	373935.54	12558.75	2591817.73	102972.32		
20140507																																																																																																																															29179.44																									
20140522																																								65685.62																																																																																																																
20140606				511282.38	2586.81	24094.62	3556.32		107446.51	14709.88			197294.43	198005.08	31930.32							235919.2	17230.72	48222.71	194837.16		2247.96	5086.44	166290.46	5950.56	1094126.4	200300.7	6622.88	876647.12		162118.8	8556.84	7129.56	1611434.0	54672.65	28642.24	12524.4		200449.8	317130.18		126556.0			20221.06	3833.64	67699.95		1767.92	602417.31	242702.56		75025.44	96791.19	7352.64	124009.2	113433.12	260968.54		4824.48	100746.45	8871.39		24260.53	302477.3			741285.3	2810148.81	408177.0	612616.38	29912.15	23456.34		396147.24			1083568.86	6506.01		312608.18	150187.87	171368.6	1436812.32	3264.03		68745.04		2341539.97	29118.3		3795191.04	2451761.14	37977.2	29281.44		30977.7	7549.83	106648.52	334524.3	949.55	7596.32	3426.06						33211.09	33019.14	21558.8	4120.2			186834.6		31615.22	15612.04		241453.1	24903.34	27056.34	146528.78	377626.86	172738.44	20903.3	47443.35		10970.7	201260.4		57905.19		8773.02		21848.4	24548.34			1121580.27	18259.01	233875.84	9947.7	2159847.18	95257.25		
20140707				1000017.81	5173.62	47092.54	7150.0		217922.76	29678.74			397397.4	384629.4	61293.75		20055.26					429825.76	37160.0	93415.41	399679.7		3867.5	10350.0	330793.55	13977.39	2158237.9	409472.0	13260.6	1744328.52		322777.26	17045.35	15494.14	3069895.47	118544.8	58117.36	22080.6		398461.16	610565.72		262852.62			48151.15	7832.88	136809.2			1130293.02	532956.97		152810.28	180002.06	29298.9	247046.1	263279.8	519663.69		9696.8	192477.6	17611.8		48189.44	609893.1			1453867.84	5786079.48	835861.3	1231432.95	62900.76	44982.0		761210.45			2200899.59	12042.36		647065.65	293232.64	346697.43	2879055.18	7065.3		144443.88		4685436.3	66490.9		7340384.59	4603747.55	77332.29	60602.4		59448.32	12603.6	238725.15	670247.1	20498.94	14365.5	7063.82						70664.4	70855.84	30202.7	8353.8	100777.6		381307.46		70544.6	27039.87		506130.59	48109.12	59455.26	272899.98	754355.35	388301.76	48029.45	100728.06		21932.8	349159.54		111321.0		18519.18		22582.8	53106.24		6285.58	2304998.22	38061.32	495429.75	19069.41	4183801.24	193669.71		
