datadate	tic	conm	prccd	cshoc	mkvaltq
2000-03-31	AAS	AMERISOURCE HEALTH CORP	15.0	51188000.0	767820000.0
2000-06-30	AAS	AMERISOURCE HEALTH CORP	31.0	51203000.0	1587293000.0
2000-09-29	AAS	AMERISOURCE HEALTH CORP	47.0	51203000.0	2406541000.0
2000-12-29	AAS	AMERISOURCE HEALTH CORP	50.5	52109000.0	2631504500.0
2001-03-30	AAS	AMERISOURCE HEALTH CORP	49.05	52109000.0	2555946450.0
2001-06-29	AAS	AMERISOURCE HEALTH CORP	55.35	52656000.0	2914509600.0
2001-09-28	ABC	AMERISOURCEBERGEN CORP	70.95	103002000.0	7307991900.0
2001-12-31	ABC	AMERISOURCEBERGEN CORP	63.55	103746000.0	6593058300.0
2002-03-28	ABC	AMERISOURCEBERGEN CORP	68.3	103928000.0	7098282400.0
2002-06-28	ABC	AMERISOURCEBERGEN CORP	76.0	104880000.0	7970880000.0
2002-09-30	ABC	AMERISOURCEBERGEN CORP	71.42	105897000.0	7563163740.0
2002-12-31	ABC	AMERISOURCEBERGEN CORP	54.31	106944000.0	5808128640.0
2003-03-31	ABC	AMERISOURCEBERGEN CORP	52.5	110219000.0	5786497500.0
2003-06-30	ABC	AMERISOURCEBERGEN CORP	69.35	110387000.0	7655338449.999999
2003-09-30	ABC	AMERISOURCEBERGEN CORP	54.05	111900000.0	6048195000.0
2003-12-31	ABC	AMERISOURCEBERGEN CORP	56.15	112137000.0	6296492550.0
2004-03-31	ABC	AMERISOURCEBERGEN CORP	54.68	112240000.0	6137283200.0
2004-06-30	ABC	AMERISOURCEBERGEN CORP	59.78	112305000.0	6713592900.0
2004-09-30	ABC	AMERISOURCEBERGEN CORP	53.71	112438000.0	6039044980.0
2004-12-31	ABC	AMERISOURCEBERGEN CORP	58.68	105117000.0	6168265560.0
2005-03-31	ABC	AMERISOURCEBERGEN CORP	57.29	111105000.0	6365205450.0
2005-06-30	ABC	AMERISOURCEBERGEN CORP	69.15	104208000.0	7205983200.000001
2005-09-30	ABC	AMERISOURCEBERGEN CORP	77.3	103797000.0	8023508100.0
2005-12-30	ABC	AMERISOURCEBERGEN CORP	41.4	208606000.0	8636288400.0
2006-03-31	ABC	AMERISOURCEBERGEN CORP	48.27	209019000.0	10089347130.0
2006-06-30	ABC	AMERISOURCEBERGEN CORP	41.92	209900000.0	8799008000.0
2006-09-29	ABC	AMERISOURCEBERGEN CORP	45.2	201564000.0	9110692800.0
2006-12-29	ABC	AMERISOURCEBERGEN CORP	44.96	192089000.0	8636321440.0
2007-03-30	ABC	AMERISOURCEBERGEN CORP	52.75	189464000.0	9994226000.0
2007-06-29	ABC	AMERISOURCEBERGEN CORP	49.47	191082000.0	9452826540.0
2007-09-28	ABC	AMERISOURCEBERGEN CORP	45.33	180175000.0	8167332750.0
2007-12-31	ABC	AMERISOURCEBERGEN CORP	44.87	167961000.0	7536410070.0
2008-03-31	ABC	AMERISOURCEBERGEN CORP	40.98	162606000.0	6663593879.999999
2008-06-30	ABC	AMERISOURCEBERGEN CORP	39.99	161014000.0	6438949860.0
2008-09-30	ABC	AMERISOURCEBERGEN CORP	37.65	158461000.0	5966056650.0
