year	month	DECK	EPC	LEXR	LTRE	MED	MTEX	PPC	REV	SWY	USNA	DAR	NATR	SEB	SPTN	TAP	TIVO	MNST	PTRY	TPX	TRW	CRI	EXPE	SNMX	DPZ	NLS	RDEN	TSCO	HLF	KCP	OATS	NTRI	PBH	ANDE	CCU	LEA	SUP	GT	ICON	MOD	SEED	ADY	JBSS	JSDA	THS	VC	BG	BZH	CROX	GRMN	PAS	CENTA	WBD	FACE	SUSS	WINN	HOG	BARE	BGS	IBA	ALCO	G	ETP	TEN	ADM	DAN	FDP	MGPI	SMG	HOGS	ATVI	STMP	DL	CHBT	BRFS	CZZ	SVM	AMZN	CSKI	DOLE	LO	WRC	AXL	SENEA	COKE	JNJ	PRMW	TTWO	SODA	TSLA	BTH	CHEF	EA	GM	ZNGA	RNDY	BC	CG	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	WFM	ENZY	POST	SFM	ESI	CPG	ABEV	CAA	FGL	GPRO	SC	NHTC	COTY	DPLO	FRPT	SFS	VSTO	KATE	BETR	BLD	ENR	NOMD	RRR	TPB	UAA	ADNT	TWNK	ELF	NBEV	WOW	CELH	ROKU	DLPH	CRON	HFFG	USFD	VNE	KHC	WMK
2005	3	0.16846176145687275	-0.22631475706417	-3.496887441130844e-05	-0.1670196566708207	-0.13555287838701885	-4.4534857283981194e-05	0.4884714860894393	-0.09191787482445445	-0.039106002375257236	0.0030750915308091443																																																																																																																																				
2005	6	0.09904218503388215	2.9731878463733056e-06	-9.830476475534415e-07		-0.052984051371443616						0.11015563362643416	0.07993661772313847	0.1424109925461453	0.05257941538378286	-0.431141161598527	7.261636930026288e-07																																																																																																																														
2005	9			-2.836284322180193e-05		-0.12795211358365774	-6.2622522065363e-05	0.45929787006968525			-9.433384689852279e-06					-0.3629035776581227		-0.016070196338283257	0.047589763985706496	7.919743903686426e-05	1.25916103280949e-05																																																																																																																										
2005	12		-0.1436745417001592	0.00900518355705128		0.1107454401841231	0.049563899098950336				0.05887175222600813									-0.08453610554912719	-1.0833807573726354e-05	2.3724570809301842e-05	1.4804473093925804e-05	-3.355881125785068e-06																																																																																																																							
2006	3						0.04774345564116722			-2.55228481024236e-06	0.03392284630601539									-0.043953376651350226			-2.957171344051539e-07	0.09082832445347049	2.9131757132945835e-06	1.80520873967912e-06	-0.3827301948286798	0.25418762572288806																																																																																																																			
2006	6		-0.21018511588095165			0.05124371382618699					-3.0906720722206105e-07			0.11719434499452368				0.14255281919727425					1.7302902727728746e-07	-5.683146497428569e-07					0.125533491288803	-0.22633911569180887	-1.178716914296605e-07																																																																																																																
2006	9					1.3938168618632494e-06					-0.0012818225482170837			-2.285183556354784e-05			-0.2953521475876266					-4.887580489738056e-06	-0.16815631158335587	-5.567077283298844e-06					-6.826107404432288e-05			0.4975308897919447	-0.03267698771405023																																																																																																														
2006	12	0.11086364579595777				-0.054009309713489266					0.0002451252138464461										-2.218663686453784e-06			0.0869707638986291								0.33918900773734517		0.08039471954585242	-0.1128964800942935	-0.03235460452050703	-0.41840794220239513																																																																																																										
2007	3					0.019580087358611005	0.020141716206371063				0.08109358880533375									-5.425254357112692e-08						-0.14041248373451048						0.3611005885119296	-1.2327735994436675e-07					-1.0295870591616071e-07	0.02252617382249888	-0.3640297570600016																																																																																																							
2007	6								-0.08566391761741678		1.2449463660621086e-05			0.21657697332416972	0.13616274304819506		-0.0030258161745457027										-0.20774516478950247		0.17592573890314248			0.08324797941508026							0.18452663363687333		-0.5000054516987741																																																																																																						
2007	9							0.08930524311321573			-0.015143077700695525			0.09579712513950565	0.0656234240213922																	0.06558993651581146										-0.10255707567000344	-0.029993922611663094	-0.0263222146673374	-0.17026145344397708	0.027952733704447445																																																																																																	
2007	12						-0.08949801995013584				-0.05325661896421539									0.2005744849377661																							-0.22063071879467527	1.3269423472016393e-06			0.31064188981159885	-0.3870389993048421	0.010584426528305147	0.22862659966165033	-2.8633707501856573e-06																																																																																												
2008	3					0.059670606759689375					0.03265685381634624																					0.028420843674366265								1.564784929327729e-07	-0.48762532108059947	-1.282555612136529e-06			1.9249616280683093e-06				0.056811581402987005			-0.1267602453766401	0.436817862086879																																																																																										
2008	6																												0.06544271965798452				-2.2167498023290897e-05						0.00011642027443539917			-0.44887727595879406		1.3980971849049412e-06					2.0510471230336607e-05			-3.204260382939342e-05		1.8923464474006516e-05	7.084250241168753e-05	0.38327754142706305																																																																																							
2008	9					0.0575893483422156																	0.0656510146193473			-8.509172592434534e-05							-1.0587573582612634e-05						0.19214233956715338		-0.08868351526725456								0.01581739379126031					-0.25824456173465354	0.2192267504391124		-0.20335952159052298																																																																																						
2008	12					0.16001472581181767					0.13630543148711138						0.12737674212246																0.48969838011560424																-0.12595261378895314			0.08824036030302634				-2.9583523444964674e-06		-0.44695925444027196	-1.0495119558237066e-05	-0.42869271989470165																																																																																			
2009	3						-0.12214077747544276					0.13015659514845895				0.3063729219580616				-7.660831986025124e-06													5.253215521543728e-05														0.27656654544179077					-0.2955389618955881			-0.21344057505175823						-0.17489313493212544	0.09285234802531124																																																																																	
2009	6										0.006533588434333329																-7.092065917003422e-07														-0.014369830578674678			4.12423671473858e-08					-0.01801476068171466			1.075169544631489e-06				0.039246106151703736					0.23745864650883663		-0.25085351403386813	-6.367892502764355e-07																																																																															
2009	9															-0.22552919337452632					-2.733593666765083e-08																												0.021858722221558557						-0.018547450224699513									-9.35646434884327e-07	3.957783232465217e-06	0.35178625253113227	-0.12021328280635858	-2.2293103018733413e-06	-0.009346751609828093																																																																										
2009	12					0.04310892431496106														0.211862617967703	0.028644113983507063																					0.09613865307932104		-6.057136962659714e-06										-0.38541764130269424								-3.693344773073786e-06		0.005660609782695153		8.34034071109993e-06				1.2021398959196363e-05																																																																									
2010	3							-0.3516347733900366													0.08335513717362072																							-0.05139963238394122					5.2580474549301505e-06						-0.053313742275342496									0.031822528879136974		0.2930425462552822		0.053721543667977635			-0.00553423094670523	-5.4614511838066514e-05																																																																							
2010	6								1.0745501678921387e-06							0.14270940688683872											-0.4525036434163728													-0.15888623172735714		0.045052570276123895		0.007182968911227308																				1.4029028277452134e-06		0.07372332440075446		-3.879928079956925e-06					0.3427238429648735																																																																						
2010	9															-7.60448438974548e-06					0.09785134404309356																							-0.010591463716523827					0.06501932411637736						5.370933297105591e-06	-0.3304903868318887								0.03492735039039595		0.10002778662331778		0.0640858985626071				-0.020823232526078178																																																																							
2010	12							-0.04311815402714597	0.23288591128349365												0.28472531046441457																							7.069609861200574e-07										-0.023200723682785515		-0.27091568416906214								0.08857147723641562		0.07530478737780437		0.15300335604102255						-0.49725594884765634																																																																					
2011	3								0.0011338893398254405																																7.026349047369224e-06			1.3363559792896178e-06										-0.16425084616063707		-0.3213188553453202								0.02443716781549907		-2.1481633465745906e-05									0.1456793991347192	-1.1477504922710422e-05	0.31432252643886716																																																																		
2011	6								0.08798876028890731																																0.04462665627664573	-0.06466963881710983														-0.45782756292632265																				-0.06780549937872196		0.09677100895986197	-0.21127993688223098	-3.124480680736419e-07	0.5000012589673483	0.07219574284971016																																																													
2011	9												0.4039182073016264								-0.05033178182763602																							0.01948682613222332				-0.3060377441827736							4.3646586120724494e-05									-0.021458857847068667		-7.686989119134793e-07												0.09365560365737349			0.3003720240461986		-0.43963068094999447																																																												
2011	12						-0.05853038240792567		0.07013432902193316							-0.0383353749767801					0.037962702820737354																			0.12482423531363694		-0.05731999590777613		-0.030159235285171292																				0.012398121765333387		0.005521932474930557																		-0.06649651233915896																																																											
2012	3				-0.305976710470989																0.2728951639013331																												0.20602149840391465						1.7361363148639674e-05									0.11094309949557124		0.1718981446889814		0.1427145606830099			-0.3867104347864644														5.17424693156071e-05	-0.21181896365831104																																																									
2012	6																				0.06037866965030292											5.63782605198938e-07																0.13061861316811182	0.23607518009882153															-3.391404806707103e-08		0.17195613625703213									6.130513865447929e-07					-0.02542774424071768							-0.34280764008512343	-0.23079538457879342																																																							
2012	9												0.3321983803666945																																			0.03543042887148786	0.11493898850007737																	0.04655297370710732									6.29246459624771e-05		9.73923494998164e-05			-0.0292713994127986								-0.49995434671271544	-9.962417647746357e-07	-3.809441322117309e-05																																																					
2012	12								-0.008938179706813022														0.147188591629113																		-0.040345563147979505								0.047677197965992874						0.23721865863163075											0.02822746268609324														0.2098141909479029							-0.40479776044884125	-0.0447458649367667		-0.17129869818380133																																																					
2013	3																				0.068273789118374																								-0.02619983572836736										1.2114697478452146e-06									0.02159685805025339		0.041824589369901105		0.03120043589455016				9.586129895504831e-07			6.832276557725014e-07								0.10840023102842192				-0.245098989894182																																																								
2013	6								-8.965416908727162e-05																																					-3.1723821656891296e-05																		0.06798223034109514																							-0.35895128337981347			0.33420484616960205	-5.731214354311455e-07	-7.325687570419534e-06	1.7955160465538615e-06	-8.578722734388434e-05	-0.04293284953924258																																																
2013	9				-8.062222471893161e-07																															-2.459332795205331e-06										3.8050850581373142e-06																		0.03890593105823224																							-2.5252561060885293e-06		0.12473570688281138	0.0037361616948589256	-0.3777504379944909			-1.3636486233314318e-06		0.21037660497164348																																															
2013	12																																															0.10036858984797045																0.06594031550426083		0.03628419899851423		0.09804384050388411									2.0523154593788389e-07										5.36956753281881e-07			-1.52025411549707e-07	-0.40717581404335723				-0.11349498481454726		0.22003355991861462																																														
2014	3				-0.22223996258942935								3.7452849640691976e-05								0.13943868664480247																																											0.051904845774894064		0.09417919296127358							0.2962704422492753												-0.2926178222642998					0.2066496063285767								9.494806686602883e-05	-0.27377789292491117																																												
2014	6																																															0.026209685747634763																		0.007987518322001586																								3.182843577274098e-06	-0.39016851806707614				1.0553783425751712e-06		0.0492197587567973	0.05479739721528225		2.0687416680753586e-06	1.0580657908539637e-05	0.2519313748579895																																									
2014	9						2.0211595000217502e-05						0.14639150580213567																												-1.8807253351089085e-05																							-1.1988291524807329e-06																										0.05202340664476842	-0.3194036969743652	0.024539036535492033			-2.3820987849297255e-05								3.850371304663052e-06	0.09648847872570061																																							
2014	12																				0.20697207774769344																											0.22019027809687725																0.06362948655687287		0.08241353899004394		0.1323339119947779																							-0.28129746245923576									-0.4242510221982532	6.984511454804088e-06		-3.6851557644509915e-07		-1.9601228913011129e-07																																						
2015	3												0.14149730848056688																																																																													2.8766613647655974e-08						1.4171214528700424e-07				-0.40813753565311295		0.46203045013228533	6.587516036659361e-08	0.10622133922364346		2.779301535119649e-07	-0.07202808426108509	-0.22958371327641122																																			
2015	6																																															5.006646721983205e-07																																							0.004657347210736237			0.03848129717484854			0.27077024991908216			-2.039650085223496e-06				-0.42991208753579374		0.14002049404854428	-2.222758527038453e-06			-0.024013519925342616			2.907052796191463e-07																																		
