year	month	ABC	AD	AMZN	ANDE	ARDNA	BC	BG	BZH	CCU	CHE	CL	COKE	CQB	CRESY	CTB	CVS	DAR	DECK	DHI	EBAY	EL	ELY	EPC	ETH	F	FARM	FDP	FLO	FOSL	GM	GNTX	GRMN	GT	HAIN	HAR	INGR	IPAR	JAH	JBSS	JNJ	JNY	KMB	KO	KOF	L	LEXR	LTRE	MCK	MDC	MED	MGPI	MHK	MIDD	MNST	MO	MTEX	MTH	MVL	NAFC	NATR	NUS	NVR	NWL	OME	OO	PBG	PEP	PFGC	PHM	PII	PNR	PNRA	POOL	PPC	PTRY	REV	RYL	SBUX	SEB	SNA	SPTN	STKL	STMP	SUP	SWY	SXT	SYY	TBL	TEN	TIVO	TOM	TR	TSCO	TUP	URI	USNA	VC	VGR	WBD	WHR	ADM	ALV	AVP	AXL	BID	CAA	CHD	CLX	CRI	GPC	HSY	KTII	LANC	LEA	MAT	NLS	OATS	RAH	RCII	RL	SAM	SAP	SHOO	SKX	SMG	TAP	TPX	TSN	VFC	WWW	WWY	BWA	COL	LEG	PG	RDEN	SENEA	TRW	UVV	WMK	COLM	EXPE	HNI	JAKK	JEF	KCP	LNCE	PAS	PRGO	RGS	SNMX	SWK	UL	DPZ	JJSF	MOD	RAI	BDK	HLF	HAS	NTRI	PBH	ICON	IMKTA	K	THS	JCI	JSDA	SEED	ADY	CROX	CENTA	HOG	IBA	BARE	FACE	HBI	SUSS	WINN	WRC	BGS	ALCO	G	WBC	ETP	HOGS	DAN	DPS	ATVI	CSKI	DL	CHBT	LO	MJN	PM	SVM	CZZ	BRFS	DOLE	SPB	TSLA	PRMW	SODA	TTWO	WFM	CHEF	BTH	EA	ZNGA	LKQ	POST	RNDY	BNNY	CG	HSH	WES	BDBD	LFVN	MDLZ	NGVC	WWAV	PF	COTY	CSG	ABEV	ENZY	SFM	ARMK	ESI	FGL	KATE	CPG	SC	GPRO	NHTC	DPLO	FRPT	SFS	VSTO	BETR	ENR	BLD	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TPR	TWNK	NBEV	CELH	WOW	ROKU	APTV	DLPH	CRON	HFFG	KDP	VNE	CPRI
2005	3	-0.026729736324012782	-3.3430516520827735e-06	0.004458449367596401	0.08425925489691194	0.0803599748117185	0.017437725799357075	0.14105062035965857	0.0452578494570087	-0.04518936763224715	0.07077691964603175	4.8789882402124265e-06	8.381337325223093e-06	-0.037217930165689875	0.07363549673359493	-0.006521820667338018	3.5181261001784695e-06	0.03428088281651685	0.050875543977557745	0.039290609538217926	0.05051866999196159	-0.026273950983337718	-0.07254150850740568	-0.06092449498747501	-0.03244377746796885	-0.04128869729928406	-0.23562106986517	0.028823568654039948	0.05741194408176085	0.03940458883315765	-0.0706075601127749	-0.03803547523743435	0.034694831639296535	-0.000616065049559408	-0.0682783377831434	0.12109753875558303	0.03224645804700865	0.0031919844475077975	0.13578843205937727	0.007231016034109724	5.5021811173053186e-06	-0.038084581293859825	-0.04685198552166216	-0.35569070123414454	-0.10440703378069055	1.5930302674144467e-05	-1.8714162314901366e-06	-0.07586777602098438	-4.0408498727167186e-05	0.027544719707374342	-0.025820256267286432	-0.0019641788207571073	0.024468463128475008	0.020855897553949097	0.0637528349836317	-2.1152843676513925e-05	0.009357805911771773	0.0538260826438116	0.029818135412163722	0.017665557346927204	0.03595178138476559	0.03161426766863647	0.09567918225900922	-0.07164460623234069	0.023739587509197874	-0.051261946729476635	-0.04692838154720164	-0.1228235164306289	-0.06224830584691353	0.03181965207138773	0.08219267997439206	0.0786933984424465	0.016698911860010067	0.1711621356222398	0.26251708432201576	0.016065313522914796	-0.05218673817043831	0.049530007802409584	0.08228022376937319	0.09812974800378553	-0.025745526787932564	0.01666859166148717	0.01377101020646075	0.011740464501249102	-0.12499783593199876	-0.06662416089852617	-1.8588361503891074e-05	-3.373454796072443e-06	1.5758969386553248e-05	0.005006351297941893	-0.016065218425860638	-0.06939329172145485	-0.20863077853505488	0.016510061005487603	-3.1484902903364243e-06	-0.020158045369720615	0.0054024653865772645	-0.01631185084662337	1.7893490824052e-05	-0.13216041344346324	-0.046373835105892144																																																																																																																																																																			
2005	6	-0.08546025677598006		1.5649207609914733e-07	0.11797147302553254			0.06615262558555204		-0.05095028229523135	0.06133722703512429			-0.007271078920592717		-0.012698356972202968		0.024570789826399465	0.03826879383173786		0.019065027798256824		-0.03991237940570607	-0.03724404317454723	-0.04676865810869932	-0.0356467006741426	-0.15988784269565012	7.134591936925301e-07	0.0249411506542365		-0.06561029759921343	-0.035871220222809974	0.013887283291867636		-0.05887748303997899	0.04726173438131008	0.0353312644973684		0.13296044087995473	0.015305502675017202	3.400564390530838e-07			-0.32520237401518826	-0.08576908697262586		3.898184189968902e-07	-0.06951999654292156	-6.171243924199478e-07		-0.027540018901571463	-0.0022120982563749087		0.03448001018327641		3.1070958006618585e-07	7.394550098586638e-07	0.06590239117547733	0.030195675708146415	-1.862983782124423e-06	0.012577568964032977	0.030790921475779127	0.08282781775903403		0.016509742841421742	-0.018478015624767124			-0.05813005532548999	0.09875271697527478	0.08274472601821824	0.040550825125599974	0.0474959977000366	0.1129786564877321	0.3793268043647008		-0.0320519181880151		0.03194361968761987	0.0674045271492148	-0.025524305951194842	0.01807022710859633	1.296411916377456e-06	0.023274558696968657	-0.15418852086256007	-0.13287166709760087				-1.0816752948899548e-06	-0.0010310802084746498	-0.022115243066965114	-0.22850266124227422			3.7747134859949093e-07		-0.028788512241572646	-8.917017345300574e-07		-0.03343024952296361	0.07552629804119723	-4.3118207200964297e-08	0.031030073159698468	-0.0013595283380781447	-5.036453465137495e-07	-0.038685516932922354	0.10902143608786322	0.015070428079712993	1.9503274198981254e-06	0.024181985044931523	0.16884432956400824	0.053583985017631265	-1.9179274323585516e-07	-0.017502956512249767	-6.431426200824375e-07	-2.8334167596262104e-06	-0.0006433255986818701	0.06915502230918262	-1.784168564761005e-06	0.010678744969915093	0.018756366892951577	-1.1048846349940532e-07	-0.005212684159218673	0.005004232730878879	-1.4880243899094844e-07	-0.5000012271270301	1.0285511126918255e-07	-0.0012126211522258926	0.03217116129190226	0.060271364340659515	6.403271720107809e-08																																																																																																																																				
2005	9	-1.5698180181207665e-06	-0.08099498309554132	-4.8532934880964456e-06	0.27418666094371735		2.4402022976340175e-07	0.24719753786723048	0.08059208659641384	-0.10142563178021273		-1.5420411618355613e-06	-4.7510908263270786e-07		0.027468884864326623			0.03777506338261414	0.025725745558403373	0.08208808088961274	0.020854691873250192	-0.09698299718953723		-0.1144464585973553	-0.0631908160385241	-0.10667442359132535	-0.4237081634427588	-3.0478975175855365e-07	0.10603214570143221	0.009544217555599102	-0.06793590641241734			-2.7576483661185514e-07	-0.09364263883239757	0.053111186870470756	0.07737798973329352	0.02034651245551194	0.3209869473989488	0.0031300524170189037	8.561793861854744e-07	-0.09190677297463445	-0.08552830309482021	-0.4617041864876916	-0.05560751335269068	8.810137743048686e-09	-8.929128895753586e-07	-0.1374993066535475		0.08908608229478909	-0.04885676175683432			0.028350554535588563	-0.003309177160774939		0.001614274693213596	0.10213532958420435	0.033659121676346326	0.009764571416205849		0.03397827432791513	0.13960418384207182	-0.05495856085887194	0.0006023915700537853			-0.10161569875241959	-0.051905616835146974	0.12276019862319225	0.021899534911887376	0.11332240491093208	0.06303169439599948	0.3027837382691524	0.2527565865468608	0.025447556981039295	-0.02996405307314648	0.09220206409048674		0.19609529393862635		0.05431225822213317	4.4128877975467906e-07	0.03737364763551307	-0.2812379910942613	-0.0008769595572724695	1.1254442614664574e-06	-7.214125808699615e-07		0.005149026070057231	-1.3110053309783323e-06		-0.3215219011765481	0.028477952615757383	9.010588728094885e-07	-5.1682825504985125e-06	0.00043348334006491354	-0.03752248033570893					-2.3490493658535256e-06			-0.024810957734152282			-6.567461667704568e-07		7.381016226846377e-07			-6.120577515809137e-08	-0.10697260905702904	-0.004018187622810587	1.0175418445164514e-06	-6.2971483580852595e-06					0.00866800399114574				-0.21567539503517869	1.203440422629093e-06				-1.2525540909007454e-06	0.07165534202743556	0.17269614816315215	-1.4798601621845803e-06	-2.8303619057861247e-06	8.373577663190987e-07	-0.007251549477443672	-0.10054713296160037	-1.840690182128784e-06	-0.021954418186068966																																																																																																																											
2005	12	0.0301304455552907		-4.1306443794624154e-07				-7.039855369178214e-08	0.08727470652017885						0.05136420982812759			0.02857290357434623	0.03760242847857172		0.02455779865648189	-0.1291915761897245	-0.02398321234790842	-0.08930161967580907	-0.08153916766121654	-0.11943205122243167	-0.41201523923375677	2.1377700421995371e-07	0.11769384569202734	1.158929523266761e-07	-0.08276996144808359		0.03816368217738266	-5.417185966983359e-08	-0.07941633416548745	0.07316031466791342	0.08324261692209686	-5.81605228866162e-07	0.46548158732907996			-0.10882375226383126	-0.18510712782209085	-0.4951705747815816	-0.059421794871696375	-0.005837244909528266	-1.3344052031523656e-07	-0.14930353640123967	0.033230190548247565		-8.654116218274005e-08	1.9502436875819984e-07		0.06982061415028872	3.017988263017876e-07	0.08237349836409386	0.000236018239139734	0.11206458633696913	0.028418764161972393	0.01363086039607535		-7.447922072892982e-07	0.16575235663772697	-0.07374352274953762		-0.009660090938610897	-0.009142801680318717	-0.08683417638139157					0.037099338436485184	0.28602114824333685	0.24305497907667473	0.028472156423627326		0.07480459366709516	-6.645947885840036e-07	0.16521195222546697	-0.0014584197693584956	0.04518049885122467	-6.263470513223421e-08			-0.014097538763833245		-0.06617258384013176	-4.6976001011155575e-07		4.44844794368153e-07		-0.21274476921966154	0.03413374115689106	-2.88880555372902e-07		0.004765926450918099	1.6833358068821982e-07	0.031939156461887316	-9.288745739021189e-07						-3.424899274906893e-07				-9.035467860381509e-07			-7.488813349565798e-07		-0.12143227458430293	-0.038891801660852085	-8.733693461775299e-07	-5.255733750574915e-06				0.04865977092340123	0.006733393302729499	-1.7842590444268457e-07	-7.251966424968393e-07			-1.1569006052581384e-06	-0.014364687915081869	2.8172336610197566e-07			0.07822403645289622	0.14170437458866883			-0.2956044144836358		-1.2232061926795004e-06			-5.4989663828403774e-08	3.846060586721786e-07	0.15238465962374892	-1.4860580134947827e-07	0.05976190312990572	-0.04496238143459634	-2.778487253540099e-07	-1.2625873820163796e-07	-1.472637021507039e-07	-0.03834423882687499	3.6091343733465376e-07	8.422498392596999e-07	0.06786046448607692																																																																																																														
2006	3	-2.8976812662411446e-06	-0.03260962378457832	-6.608465526617143e-06	0.1342699360053909	-1.2414601501918186e-05	-9.300267856288711e-06	4.151509924906633e-07	0.15822890564436365	-0.07660709106419547		-1.0170594383173396e-05	4.719973027840729e-06			-0.02207080296001919	-4.5193332165565033e-07	0.040438121826823784	0.04911669828887552	0.09759522942147474	0.03696819681491441	-0.10848144559745658				-0.11707871091532919		-9.820725791341484e-06	0.12785846488680705		-0.11872092620646035		0.0397811047925547	-8.124249622081449e-06		0.09065117928096951	0.11216173815209494			-3.052561687707023e-06	1.5330190352622883e-05		-0.014474121163065573	-0.416576837459725	1.2802460938993692e-05			-0.12192594685798139	3.396257428758169e-06	0.0169634204708219		9.079819805912655e-06		0.06613722176830861			0.00894880360448158	0.0974111360896518	0.03517990482415231	0.006592773240554072		-4.043385751180465e-05		-0.05001292758731212	-0.0001545366236864622	-8.32989947328367e-06				0.0956309388130807			0.07600615195836156		0.19710754464243838	0.05015706931251274	-0.03659766909402083	0.10155198516192086		-2.1352905967618963e-06			-1.3232632946953321e-05	0.059637021197368224	-0.3088380492626436	1.1158206138959774e-05	-0.015666193659654947	1.996011662197858e-05	9.76164096214471e-06	0.020728293194339376	-1.2319177245669132e-05		-0.2814660484251991	0.04415424326970181	5.587523583688471e-06	-3.648397086203632e-06	-8.35113815468509e-06	-0.009625468109206878	4.5302556911810143e-07	-6.93866486238724e-05		2.3566124889811398e-05	-2.033186280690849e-05	-3.6262932907879824e-06			-3.248590513542709e-05			-6.605482052197162e-06	6.404092811880209e-06	-3.6652509952614012e-06	0.1486504906258787			-0.06475592335380624	-1.63603242159887e-06	-4.232134601604564e-05		-1.3550914420334816e-05		0.055340056325029766	4.178757291123804e-05	0.00785569574841365	-0.0001730450195215952		8.70753559526631e-06	1.5371281440262008e-05			6.1204652667087464e-06	7.152640603006793e-05			-1.6538521935868721e-06		-0.28146506630887647		0.04017849654208054				4.5593825369127503e-07				-1.5218443798585465e-05		3.7580589371994653e-06			3.6704420788653284e-05	1.0683511402896412e-05		-8.600295674157916e-05	0.06191477814768779	-1.8442645232260254e-05	0.00015133883957305503																																																																																																										
2006	6	0.009894619579352764				2.815692575194625e-06	-0.006432000664220321	1.1100248922079955e-05	0.025442850197791536		0.18709365100463426	-1.927662297565382e-06		-0.03281451574007752	7.163440465440452e-06			0.04540427943002081			0.022572934808255125	-0.12113777822396896	-1.954116493491363e-05	-0.06329047220458889		-0.10501024032670815	-0.01757389516831137	-4.886624766478056e-06	0.09595169536119065	-3.5629186768554586e-06	-0.05370711231819636				-1.1259083075722857e-05	0.040919601470233394	0.06865407125219837	8.28367122086707e-06	8.186741097107778e-06	5.273880541164061e-07	2.332502976663684e-06	-0.027213153904128203		-0.5000079485296179				-0.13271042069215885	-6.013078779347309e-07	2.9919957807591235e-06	0.004560930603162936	3.672468152021866e-06			0.04193257680966156	-9.22817372821525e-06	0.013494407197951853	0.013668558400545757	0.025005970264388666			-1.26421925880107e-06	0.038820315988296314	-0.05652491797893783	-2.9859256800381076e-06	-6.443262457869402e-06	-0.09402208463786782			3.112962895062973e-06			0.06672866333627002	0.1607493127049454	0.02265057307980597	0.030356825606628945		0.04704239517488275		0.05409926072437275		0.023999719894242374				-7.318141338306969e-07	-8.044045614145593e-06			5.48192151376845e-06			-0.37790034361629515	-1.0466633556488176e-05			-4.180184014051319e-06	-0.04225333371977331	7.228793225915543e-06	-1.8927176290973176e-05	-9.339700938980764e-06	0.023052440618437885	-1.2526240475116625e-05	-3.4643456954831708e-06	-0.020138898313207886	1.86280753334761e-06	-0.0033514113920220896				1.505649134689031e-06	3.6865398384402514e-06	4.1816522405240945e-06		-0.09466880950368649	-0.0011760228312393715	1.2452904294529022e-05	-1.242477810069346e-05	-0.001747509944657313	-6.476363338080778e-06	0.07015117916871236		2.1279119885623053e-05		2.183485783791687e-06		-8.411147158367345e-06	-1.3329740593558504e-05	-0.06617219841294592		4.006255137342946e-06		-4.318239819640712e-06		-3.7971563766047807e-06		3.307494677957306e-05		8.146453137512828e-06	-3.420083053445374e-06		0.0018753942832947874	-9.53879846519864e-07		0.008430883499117327		-1.168062213135684e-05					2.4813623008039026e-06			-7.808703273779334e-06	-2.308582424477405e-06		0.48070727558270726	1.007694081597801e-06	0.19464355975808564																																																																																																								
2006	9	3.263349622683983e-06	-0.13107293605694378	1.5930229322149128e-06	0.09702128099124235	0.050021259009922714		-2.1326851430900323e-06		3.543233422141119e-08	0.06262298105730907		9.697733966883463e-07	-0.04455238036375873		-0.07807469599669564	9.984609139726012e-07		0.008846656957884098	-1.426330403683529e-06	9.341995245952329e-07				-0.01832842738917224	-0.10433840280133025	-0.06558629828370148	2.0512145785962588e-06	0.09080865093572531	1.913462477570153e-06		-0.008102752269240471	0.04706871771590836	1.370546242206315e-06				-1.5440778097955533e-06	-2.8026224677637726e-07			-0.04683935517675549		-0.36974982729737504				-0.10179843907038803	1.1085418640564747e-06	2.0353791172133935e-07	3.407877097536769e-06	0.016376098565450543		0.014384061876127476	1.9776465921670996e-06		8.838288510899093e-07	4.1419905345646346e-07		-0.00289741028318055			3.304576904356718e-06						2.086536772475556e-06	4.175448844188237e-07		-2.683574811250577e-08		0.09607166650942653	0.04663513299790097		-0.048810620038903685		0.04026088723208823	0.007525049680691966		0.017836833973408156	3.425979217473298e-06		-0.04226324664420891		5.0236923188045154e-06		-1.0469438191102264e-06	0.00416265605001198	1.9790087718500422e-06			4.989669821645781e-06	-7.302584242535987e-08	6.3578730301810545e-06	1.1546245810419773e-06	-9.809168203962541e-07	6.926719996426509e-07	3.841940123474294e-06	2.4974319510557928e-06	0.07057523743878114	2.1510300594223142e-06		-0.018470473680308335	-9.912325480973207e-06	3.1601931585901763e-06			3.206242133408024e-07		0.06108699534850025	0.09165068046638158		-0.03472081499927176		-1.8167608367910304e-06	4.485090632169008e-06	9.650285003390223e-07	3.330826658144506e-06	0.0169997705448762			2.627555713433426e-06	1.59498891275264e-06		5.2872718613553274e-06	1.913013468112303e-06		0.0029337036575732417	0.006188919487295004				4.1245757348775213e-07		1.142006837569077e-06		-1.1805143175275077e-06			3.1303922573196985e-06	-1.4859583190160083e-07		1.4328933354932952e-06			-1.2865432811727527e-07	7.734155264772303e-07	1.978049772184715e-06		0.01780437691229322			-2.728626729560607e-06	1.500486006572372e-06	-3.714617227770354e-06	-4.766076002243375e-07		-3.629905397597502e-07	1.0809308754739708e-06	0.24866157119482288	1.3646292862059111e-06																																																																																																					
2006	12			-0.02239506710776287	0.05825725361711798					-0.10212819980412059	-0.05666177670604167	3.8724563965212977e-08	2.569687251535221e-07	-0.09443485133803639	-3.539938018969263e-07	-0.15726510896644078		0.03051941576351007	0.04759551891959953	-1.5257814203069517e-07		-0.06266435189344127	-2.0415666258591449e-07		-0.08962061791023739	-0.11454487583049754		-0.0643025240341541	0.09451267893165194		4.361200516196079e-08	-0.07875546673734432	0.05947531967413601			0.014127593023865995		0.020476689248050073	0.08205024756546647	1.7544262472444887e-08	1.7324227622086543e-07		3.2422767279430495e-07	-0.32259623376560514				-0.21701282498632044	-1.6476161102931774e-08	-2.897514724524069e-07	4.9585548241342596e-08	0.06420735152699425		0.03852406317918038		-8.878482952647525e-08	-1.3765361454864656e-07	0.02983328386801398	0.038944174327912806			0.003907707676498991	0.022813208406566643		0.01282451705281019				-0.13314040891642445	0.011429359099096351						0.02732672383256863	-0.11001851288924072	-2.0246426966225832e-07	0.06904176558232157	0.1066661800090032		0.06656009439346704	-1.6255400184037465e-07	-3.2252504252617494e-07	-0.3695028027980962	2.7211602916448985e-07	-2.2466971265470168e-07	1.2609389463012436e-07		0.015338138500545937	-0.03287122914516634		-0.2700463418992503	-3.164373480325704e-07	2.0508945460382496e-07		-5.571417457229098e-08	4.312601613939274e-08	-1.1332089741340243e-07	0.1416742279312278	-0.06601719165812685			1.5982270684005383e-07	-0.05583200657194768	0.02226850803612975				0.030968976225110304	7.097472985851512e-08	3.6409314882158536e-08	0.31846132688435747		-0.05167504973459467		5.684918913871252e-07	-2.2782351950357445e-07		-2.1354626669563495e-07	0.19146410309816372		-0.014744636305103212	0.07078828188313273	-1.8723139347848273e-07			0.047999162050741305	-0.0015453190532228704			2.8054034595448816e-07	-2.9064877246031572e-08		1.6144490309174078e-07				1.439159259341082e-07	2.1027024703301757e-07			-1.5043071156799763e-07		-0.016996944861000653		-6.144265672732595e-08			-0.014964432523070354	-6.754796599214937e-05	0.04380658058598457			1.1828295597483751e-08	0.017844911781396706						0.35246509789860925		0.16709625029244002	0.20053560890158978	8.019499889807051e-07	-4.911312093764671e-08																																																																																																	
2007	3			-4.007605481444533e-07	0.0496767836769974			4.86014213016021e-07	-2.43885014327538e-07		-9.335761766966019e-07	-0.05075788386492565	9.479117411043337e-07		0.01904808020297234		2.410253848040761e-07	0.017900276613109348	0.05301867137155499		-4.6567666686311996e-08	-0.10072840185693994	-0.021501315693014465	-0.01848085287764882		-0.10157542883362411		-1.2725180879527613e-06			-0.013472079318205765		0.031892914688810683	-1.8104568708799068e-07		0.016056020378271578		-2.6341599313046677e-06	2.3214393122056294e-07	-2.9236486460172847e-07	1.082033794041385e-06		-0.07372550147420692	-0.3300403930192908				-0.17376845338819716			-1.6373775330412666e-07	0.03168890756403624		0.05166019252580578	-1.0822671416361371e-06		-5.451385592337737e-07		0.02386065117982943	-4.3334691296733187e-07		3.9124941620526e-07		7.65617196792288e-07			-0.007108234718878888	-0.042856443744303606					-5.945597757620247e-07	0.04385117097167638		0.001579677937342592	-0.06287571707651178	0.006414912703829909					-1.1266398616732985e-06	-6.948879368776048e-07		1.0703111188631603e-06		-0.014166177541543085	1.6804502299212296e-07	0.01566132997681215	-8.861220852200894e-07		-0.11199484031383188	-1.5295656475813324e-06	4.20226079792217e-07	-1.3963342571096007e-06	-1.6726198733599276e-07	8.937314456774671e-08		0.07363913143753653			-1.2836689589880425e-07						3.0130040180320545e-07	5.240717753718648e-07	1.1534683556718017e-06	8.887908964612946e-07			-0.025789968497318624	5.862789202674972e-07	1.2918828815854602e-06	-8.890333757500127e-07	2.667202881277016e-07	-6.799325658662367e-07			-7.689954020023577e-07	0.01692521805718527	0.03192174892776596			1.013533438488709e-06	-0.011523593139944556	-4.2352254124102437e-07	1.044229277077678e-06	1.1074532727541038e-06	1.5819553528381237e-07	0.02275711994799104		-6.618688521408753e-07			-0.01258916231424512			-2.5560470193635357e-07	-1.2692627382965654e-07		-3.040474372043855e-07	-2.6619382096511523e-07	-0.017844131854220468		-2.871419307569175e-09	-3.836697601009323e-07	-0.032785425360336434	6.136499577498992e-07	6.859513292943374e-07				-0.10302758135991695	0.5000006087150248		0.06259096060474402		0.08348930677032027	-3.38048799991976e-07	0.09360892777575906	2.7785002759974365e-07		0.07937535269563922	-1.487766032055594e-07																																																																																																
2007	6			-0.015081171087914298	0.047493250324744385	0.0650946712302357	-0.057783434578833164	0.11319752190040161			-0.04167708479796358	7.950832610354951e-07	0.015296631890895125	-0.049350194892884516		-0.03510368334698789	0.03064916007636561	0.022280955479989643	0.04683086737793383	-2.915375204870247e-05			-0.031509558181884716	-0.023696016245346348	-0.07441317297058472	-0.08545224226245304	-0.33451836782836897	-0.059362531865805056	0.037233433972196764			-0.0603844357724638	0.031626207899660565	0.039488438518074286	-0.01781095984456756					-0.006908200818587862	0.07067186401409327	-0.08502210119551187		-0.29835886976746123				-0.1148004527093269	6.350275724872612e-07	-0.0012384412140471464	-5.5713887393608355e-08	0.031283511407452745	-0.02966542623668831	0.04732993842927945	-1.5980240131141446e-06	0.04523289079961569	1.5905663968702804e-05		0.02445954675072561	-0.003224968177454927						-0.005671920535574304			-0.14151308767423648	2.315627564055061e-06	-0.029491465180070436	-0.014855542616384542			0.05975806738490893		-0.056382124715464506	-1.3527218467781235e-05		0.06999402833037172		0.044341432492415775	-0.01104606002580088	-0.01946695257530598	-0.22524741868846798	0.021920778965534172					-0.031954656023403145		-0.1639458912822122	-0.014464150984382125		-0.041396682359322	-4.514507814784856e-07	0.011671098476725723		0.07703595291792062	-0.10196432914710525	0.025645583543501195	-0.04036164416298929		-0.021060256455206053		-0.06804786746201716	0.1282493957758141			0.04809425697204605	0.0062807639209505745	0.24122661844355467				5.278862008426659e-06		0.07503551413048798	-0.02564407785978112	0.13287453111867267	0.05493674511585505	-0.020910262246313226	0.019394970347785107	-7.563577567678771e-06			0.0459459271331438		0.18988234876145252	0.14864052484635237						-0.27450589753347604	0.037128716205221374	-4.191756975416875e-06	0.01855290131396682			0.005465313704629646				-0.04531929206194894							0.13600798508168682	-3.406484429193803e-06		-0.1971739331354266	0.2529168355384893		0.06214243820847615		0.04983425789953683	8.133516391254029e-07	0.18585808633163	0.1045730100842669		0.05422968772475843		0.5000147506701578	-0.4999835726961954																																																																																														
