year	month	MED	PPC	SWY	USNA	LEXR	SEB	SPTN	MTEX	TPX	TRW	CRI	EXPE	NLS	SNMX	HLF	OATS	NTRI	PBH	RDEN	SEED	ADY	VC	CROX	GRMN	MOD	CENTA	FACE	JSDA	SUSS	WINN	ALCO	G	DAN	TAP	TEN	DL	REV	BRFS	CSKI	DOLE	WRC	NATR	JNJ	TTWO	SODA	TSLA	PRMW	BTH	CHEF	EA	ZNGA	RNDY	CG	LTRE	LFVN	WWAV	BDBD	LKQ	NGVC	ENZY	POST	ESI	CPG	GPRO	SC	MGPI	NHTC	CAA	DPLO	VSTO	BETR	BLD	FRPT	NOMD	ENR	TPB	UAA	ADNT	RRR	NBEV	WOW	CELH	ROKU	CRON	DLPH	HFFG	ELF
2005	3	-0.16309854649112346	0.4614708549144056	-0.29837304458312985	-8.819428266151353e-09																																																																																			
2005	6	-0.14911352021506805				-0.025645308365923044	0.1324556514415723	0.042239007045964734																																																																																
2005	9				0.1556732567482021				0.13340377493243613	-0.14502446790029072	-0.14406028444275457																																																																													
2005	12				0.18103763094120479					-0.2437024765387033		-0.0001498748867724742	0.0628352609516195																																																																											
2006	3				0.12560573314460802					-0.24464483606000062				6.431092082367583e-05	0.11905343471577606																																																																									
2006	6												0.03245775528062975		-0.31840034688338226	0.4697350616114318	-0.18379287057695293																																																																							
2006	9												-0.07593503063950365			-2.504631038223746e-06		0.10788230685364748	-0.03194116256853726																																																																					
2006	12	-0.09875592920774899			0.13828579727736415						-0.37904692806785734				0.3395178304965613																																																																									
2007	3	0.25404790227067325			0.163606824754133									-0.3666713604238592					-0.051094496477796625																																																																					
2007	6							0.1697874690170016										0.2925081820010884		-5.909760743982523e-07	-0.46229695914848323																																																																			
2007	9				-0.024246820751853252													0.1249158767798432				-0.2278001677964573	0.12713794275588064																																																																	
2007	12				-0.07367730042287199				-0.1048569205532934															0.00875506280235701	0.16975782853489577																																																															
2008	3																	0.06447743614756064			-0.25634889549292206			0.19177485661562743		7.169035830581865e-05																																																														
2008	6																		0.2866372100255851								0.00010290330647104716	-9.344114633088593e-05	-0.28666981626650423																																																											
2008	9																		-3.7031478017588455e-05					0.02555285636231287				-0.23826830947234012		0.21274955153701275																																																										
2008	12	0.04036328517488616																						-0.13409427851562394			0.1436617722752331				-0.0499476243480628																																																									
2009	3																		0.0979474485964068											-0.265968948613154		-0.2805007313058445	0.44852511744263646																																																							
2009	6				0.008677349136151667																-0.3246408199215214								-0.0037111793717460213			0.3196744901330695																																																								
2009	9																													-0.06613932116576227				0.35585572733330606	-0.2897120502074396	-2.901571849938032e-06																																																				
2009	12																					0.43789171457023107						-0.45558461279620016	-0.05959703643319869							0.0772950089714781																																																				
2010	3																												-0.15124853760316154	-0.29542362982959125				0.3838076036419922		0.0628479933831156																																																				
2010	6																												0.020883240793119224							-0.061873245296085205	0.31115292987738974	-0.27018803654492984																																																		
2010	9																												-0.031151483867984695					0.11191444715341349	-0.12620192522851842	0.04543832047269258																																																				
2010	12																											-0.2922300826562762	-0.001279049766593718					0.10697905796309952		0.18658076044058136																																																				
2011	3																														-0.3491258741738908			-7.524599624315621e-08				0.10267567614275784	0.24644953071186224																																																	
2011	6																																					0.07709092093644299		-0.1218146105744295	-0.0603262143458579	0.10510750150021861																																														
2011	9																												5.514422635537189e-05					-0.19305195567840172		-0.24096221429953565							0.433846399938282																																													
2011	12																					-0.4809936561915108							-0.22490165128953632							0.20799782792230206		0.4978413584471187																																																		
2012	3																													-6.804699050178884e-05				0.26239160182067967		0.20377271723701373								-0.4661365871548474																																												
2012	6																							0.27578388355659106										0.19635639513058797					-0.4278269923998147						-0.04430534324354898																																											
2012	9																																	0.03479541756944328											-0.1619179823986474	0.1271222410158933	6.874096789503713e-07																																									
2012	12																																	0.03302640672746165				-0.02293978522998131			0.38373461921448826							-0.3938209622690564																																								
2013	3																													-3.283342605720677e-06				0.21546005754366812		0.1846953013989227												-0.40015090425950495																																								
2013	6																																																9.527949707049856e-06	0.03742476859532571	-0.03742865860609212	7.579600739557104e-06																																				
2013	9																						-6.086119398207378e-05																								0.028584866044339272		-0.41606138832484696				0.387513140939414																																			
2013	12																																	0.19043587396528716		0.16475114148184106												1.9699594419002175e-05				-0.35516963353109027																																				
2014	3																																			0.051684582617120854											0.09304977334281446							-0.02652598254459286	-0.11820866264347007																																	
2014	6																																	-1.5340005122949528e-06													-1.1704023449407458e-06									-0.2138422208890437	0.21384587590513013																															
2014	9																																																-0.43327154674579116			-2.665155450413008e-06						6.297334901718073e-06	0.433278949816008																													
2014	12																																	0.22318744573323868		0.20919727884265815																						-0.2701830506822542		-0.16219546671193127																												
2015	3																																														0.05886365560999495											0.11375880758499383			-0.03846973308473221	-0.13409489923338366																										
2015	6																																														0.0562000303686593									-0.3651990820339979	0.30898100811885254						1.2117543758600175e-05																									
2015	9																																														0.26998122848733147									-0.13359401764374018							0.009791932569392007	-0.14628447291496047																								
2015	12																																																														0.027427410936277815	-0.16161101698595665	7.620471762482908e-06	0.13410207212950653																						
2016	3																																			0.1241673620693152																													-0.28380403967000833		0.30403760920916667	-0.1444019182939679																				
2016	6																																																							-0.06374917361978061								0.24276963373112426					-0.1790317700994852	-7.900386099946923e-06																		
2016	9																																																							-0.06912685172816635									0.13137296458426162					-0.1033679113194044	0.04113251296761132																	
2016	12																																			-3.5290647182883892e-06																								-0.1585111946369759					0.09889792222299204					0.05961285108158373																		
2017	3																																					0.0822620248512268																		0.12563590184212572									-0.20387842045559723							-0.004019506885019526																
2017	6																																													0.08701806082684813																									-0.23456773398895447	-0.04929103731760641	0.19682887831703916															
2017	9																																													0.4188001703150401										-0.4489794843315796																		0.09326905103236967	-0.06309311090975035													
2017	12																																																																									-2.664511874394747e-06		-1.656672593812058e-05	0.38104850484135466	-0.3810155358177935										
2018	3																																			-0.11177027795450105																								-0.38310384063994135															0.49481143418707313			1.717221973102221e-05										
2018	6																																																																									-1.9092855140699358e-07	0.16121197091988873				-0.21595055872984267	0.05473778574297967								
2018	9																																	0.0001451242008495226																																		-0.049152772688557674									0.25271479098942246				-0.20371282923599157							
2018	12																																														0.013587713368139734																					0.1280605407627869													7.511996127630212e-07	-0.14165633284394588						
2019	3																																					0.025933307252079853																																												-0.17087152886301463	6.5852127205118294e-06	0.14492279176059727				
2019	6																																																														-0.23203111758430994										0.3984273698373807								0.10450678557956618	-0.2709082151761918						
2019	9																																																																						-0.250673957049461								-0.21100391448262648					0.10594497983346715	0.3557276158765364			
2019	12																																																																														-0.010782511408128791		0.017389401636816938			0.18883253614864223		-0.19543926970092215		
2020	3																																														0.3391053076406006																-0.4286668939201579																					-0.07763094246671906			0.16720520913901668	
2020	6																																																																			-0.041325002412778394			-0.14814734678841449													0.1315240010569826			0.057949342237184724	
2020	9																																																																			-0.2891255769395007													-0.2582165749454758			0.37896091028865925				0.16838272008346283
