year	month	ABC	CCU	CL	CQB	DAR	DECK	DHI	EBAY	ELY	EPC	F	GM	GRMN	HAIN	HAR	JAH	JBSS	KO	KOF	L	LEXR	LTRE	MCK	MED	MGPI	MIDD	MTEX	MTH	MVL	NAFC	NUS	NVR	NWL	OME	PFGC	PPC	PTRY	REV	RYL	SBUX	SEB	SUP	SWY	TEN	TIVO	TR	TSCO	USNA	VC	WBD	AMZN	ANDE	BG	CHE	CLX	CTB	HSY	JNJ	KTII	NATR	NLS	OATS	OO	POOL	RAH	SAP	SHOO	SPTN	STKL	TAP	TOM	TPX	URI	VFC	WHR	BZH	EL	KMB	MDC	MNST	PHM	PNRA	SENEA	SXT	TRW	BID	COLM	CRI	EXPE	FARM	FDP	FLO	GT	INGR	IPAR	JNY	KCP	MAT	RDEN	SKX	SNMX	VGR	AVP	COKE	CVS	DPZ	GPC	RAI	STMP	SYY	TBL	TUP	ARDNA	AXL	CAA	HLF	JAKK	MO	RCII	WWW	MOD	NTRI	PBH	PRGO	ICON	IMKTA	LEA	LEG	THS	UVV	PAS	WWY	BC	JSDA	RL	SEED	ADY	CROX	FOSL	PEP	PG	SAM	CENTA	IBA	RGS	BARE	FACE	HBI	LANC	SUSS	TSN	UL	WINN	ADM	BWA	HOG	WRC	BGS	ALCO	G	HAS	WBC	ETP	GNTX	HOGS	DAN	SMG	WMK	DPS	HNI	JCI	ATVI	CSKI	DL	CHBT	CZZ	SVM	BRFS	DOLE	LO	CHD	MJN	SPB	TSLA	K	PRMW	TTWO	ETH	SODA	WFM	BTH	CHEF	EA	ZNGA	LKQ	POST	RNDY	BNNY	CG	HSH	PM	BDBD	LFVN	NGVC	WES	WWAV	PF	COTY	CSG	ABEV	ENZY	PII	SFM	ARMK	ESI	KATE	CPG	FGL	SC	GPRO	NHTC	DPLO	SFS	FRPT	VSTO	BETR	BLD	KHC	ENR	NOMD	UAA	MDLZ	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	CELH	WOW	MHK	ROKU	APTV	DLPH	CRON	HFFG	KDP	VNE	CPRI	TPR
2005	3	2.2623586449613655e-06	-0.031293792361560595	-1.4089866895922548e-05	-0.04485029800866644	0.04690012786339934	0.06445679769414442	0.04202035030713033	0.06967108679731024	-0.09127378704074442	-0.07920059801546211	-0.046456675139418105	-0.07637170181807842	0.04947001570773803	-0.0742173218211165	0.16413484984790977	0.1857404133426281	0.006266714573861341	-0.33715439670614156	-0.09081276893652299	-8.644357570768795e-06	8.649076619913571e-07	-0.07175084257083533	-4.359736780547101e-06	-0.029762074614928906	3.705503003363207e-06	0.021560116296267584	0.00567181662918667	0.06815897943565123	0.03777128539579471	0.02058254074420973	0.04383692648567795	0.1344773763535517	-0.04735108583990048	0.030897521590852496	-0.048144356659452284	0.26512966575289126	0.017784956001857092	-0.05039355680836265	0.057686021704444014	0.1252652963283828	0.14363176836007988	-0.10626744154628148	-0.024221479187761477	1.805224165621622e-05	-0.025283536028008834	-0.15773433306830462	0.0007576473588566329	-1.0106773503094462e-06	-0.011275576763243773	-0.15806578854460535																																																																																																																																																																																																									
2005	6		-0.0665470078602269		-0.012259237003345153	0.028939541398334667	0.042680299650015886		0.021641195091602686	-0.054617058161070015	-0.049169015254222063	-0.04889374023474022	-0.08259502905060864				0.15040185630631522		-0.4242188526128381			1.4979544306949706e-07	-0.08739137199353991		-0.0356183435974155		0.03774750454651269	-1.4726321857361792e-07		0.033880595276685126			0.0927116116870162		0.018317537192634924		0.4244330368284489				0.03580067045544294	0.07835598265865885	-0.19175284631788153			-0.004864718114169089				-0.037521019194208534		1.1317589416409286e-06	0.1356183981911684	0.07142831451112337	0.06821934121200735	0.013795195503301381	-0.028626685961434573	0.1805093388066975	5.32337096829241e-07	0.056393560555289976	0.01435458715396364	-2.1845859623836225e-07	-0.002940372010003145	-0.028274973642134917	0.12380501249148913	0.07382470909279323	4.209355096926675e-07	-0.009940438302237477	0.02117254612228171	-3.2726777044933065e-07	-0.4999993449110425	-0.03352220551314057	-4.943350646829772e-08	-0.0013448250677810703	0.031708731925991544	-0.055643967190576675																																																																																																																																																																																
2005	9		-0.09614032659239316	1.977889408533283e-08		0.047486874211512584	0.032493003774929585	0.09744427989560438			-0.1453794317175845	-0.12173852683508775	-0.07740819711815827		-0.1120129917222917		0.3991495378618978	5.472013981068319e-09	-0.45967689484591767		-1.5954730850046388e-07	4.9519743926278045e-09	-0.1478581405368076		-0.050336661204606295		0.02813462671067145	-1.1486703399505958e-07	0.1309814585695491	0.04269622288667994	0.0136605465882285		0.18610209538832573	-0.0380857289116828			0.2655289014068351	0.03167166833886958	-0.026340530187495666	0.11280795506924805		0.2614943055391131	-0.304695535604846	1.0589821570025933e-07	0.0006334809538546312		-0.31402482837190365	0.01178411661469878	1.9750203577914774e-08	-0.03565027840505001									-2.3200370626380022e-07										0.07081237218619856	-2.601395394669078e-08	-0.06447557123707344		1.1935214945476133e-07				0.11125238929727922	-0.08183015665449668	-4.982255177846071e-08	0.09194784465227807	4.325022672492299e-08	0.1359648461877132	0.07832743895197936	1.4314015727551815e-07	3.599145974910035e-07	-0.07472054700362273																																																																																																																																																																						
2005	12					0.05527858226254359			0.045406188251136195	-0.02784097007596063	-0.14008604327674548		-0.09587831460057096		-0.08344888104722788	0.09583900663034449					-0.028330857601459796	-4.313324059209612e-05		0.021382689881467187	-5.4058801488627314e-05	-4.139226916243688e-05		-7.723817854000771e-05	0.14324312361299332	0.03638287813543889	0.002496963251879288		0.2362693440259636	-0.04406639875288964			0.2962696593541262	0.028843982384901195		0.09788672915963686						-6.583278228401571e-05	-0.2859795197816902	0.048619151400612334	0.009698272762602645	-0.0023357853044261626		-0.00013450709715079836										1.3419923192432121e-05								-1.0950808004083258e-05			-2.789660728760136e-05					-0.1698033092850942			-1.2928365083728118e-05					0.00018502763552079627	3.731852535732497e-05	-6.705901299177662e-05	6.85522896576861e-05	-1.9101644564797785e-05	-0.45564775670701113	-5.385404797063784e-05	0.21223879217540761	-5.732703284921562e-06	0.15911138187742477	5.493756703306202e-05	-0.12798497542052062	-0.02581658270833981	4.4743348813930534e-05	-0.033533603878715436	8.196905788463984e-05	2.7520849217696717e-05	0.03199104243308167																																																																																																																																																					
2006	3	-1.681699821748048e-05		-2.0402071671428868e-05		0.04654640633098105												4.900034666980744e-06					-0.20441185828510458				0.10307894218706713	0.010613823244387683		0.045558857005362656					3.856479168170935e-06		0.2744951895860486	0.06894487956504429		0.13439820872973932				-9.379645517363088e-06	0.03685330412975681		-0.39449165102866635	0.049747464914775864	2.946898834274405e-06	-0.008275389303270552	9.325813357469956e-06	3.6084577582890463e-06	0.17958343262930718	-6.037652365606362e-06					-2.414998872541066e-05			-1.3218712932968523e-05	1.0159959922190427e-05					3.6770100511030143e-06		1.2203343375939095e-05			-1.2918460774443575e-05					-0.18042013705243434	-0.1175602003066146			0.15595355148585702	0.09224612339165564		-0.12950751893694484	0.16534025097397265			-5.112034459611111e-06	-9.40345619631791e-07				2.35159568616954e-06	0.1285415913851659					-0.4897959150903341		1.1468253356526162e-05		-6.6528525445928825e-06	-0.039938040533158935	-5.746976765429139e-06	5.035813333373243e-05	-1.974522218976003e-05	-1.9260982751162812e-05	0.07253172637692647	-9.223572032534415e-06	2.396127859086192e-06	-5.818765153064343e-06																																																																																																																																											
2006	6	8.286162059505956e-07			-0.08350296783383473	0.08045152777711607			0.033682583962564794	-0.05746237475734911	-0.16027916334667366	-0.23633964579035058	-0.13762988462235853		-0.0455479622108857	0.05010140738694858	-2.679752929919615e-07	2.153134390485633e-07						1.3449664245449416e-06	0.015069727278748305					0.03820146703539948		1.1175892860018157e-07			-2.8826112194986937e-07		0.02733977677698726	0.047722962985959426				0.08019697553788144			4.4585708302269657e-07				2.592396130255797e-08					-1.0225498798691978e-08									9.760959259729692e-07	-0.019781161806617233					0.03770244834794695				-0.0006714065535882627				0.019681370332208997			4.6698047954958426e-07	0.055205064178126415		0.10740670002226126				-1.6369147184244647e-06			3.640524669324206e-08	-0.18100221935674898				0.11834365286423322			-0.07569205416203574		-0.12502380951280445	-8.480944888093412e-07	-4.3620843707468264e-07	7.050032138130504e-07					-7.959608333621302e-08	0.35725408788334795					4.797637113700765e-07	-0.059143271863169526	-0.050183177491084925	0.15637014923326556	0.00752435839716095	1.5814993173301573e-06	1.0502816412838273e-06	8.636929747408403e-07																																																																																																																																			
2006	9		-4.5741896560324626e-07				0.004033759327954001					-0.19223298784256157					2.967401060051301e-07						-0.18245958901314618		-4.643464591866776e-08	0.016971605174594097	0.012640672772386051	3.35968861578509e-08	3.586191349692139e-08		-0.017345694194698346						0.07934471012924937		-0.08645591469209776		0.057125098031192686	0.016529607717999377	-0.09542379551983166		-1.7092750094291358e-07	-1.5807910837824978e-07			-6.898325631922708e-08	9.252164590859367e-08		-1.3421533904816404e-07		1.8980154040591766e-07	0.07996449559573612		-0.15311817866716315					4.7226818500262195e-07	-7.290917297925158e-07					-1.2182690242824618e-07	0.030297253988307127	-3.0248562520704843e-07	-1.5830792960373306e-06		1.2411047404805834e-07	-2.265601326489922e-07	0.008578546230394321											2.784489903016093e-07		7.829182150535996e-08	-1.3841531556152672e-07	-3.084174799171857e-08		1.8011052423668508e-08		2.031367259696187e-07		1.4121603330121474e-07						0.09210314061992865					1.0305902552749683e-06									-0.021729311404016505	3.5982102188560344e-07	-3.330556176667867e-08		6.250614844896514e-08		8.570445463539577e-07	0.35117656338342856	-2.5097900243454966e-08	1.1426951554724409e-07																																																																																																																															
2006	12		-0.11650519144375078	7.45764151416748e-05	-0.12311931161164309		0.06342354103792955					-0.153727622366952					0.1043866174127678		-0.406947392635116				-0.2835251219137842	-3.455074379140089e-05	2.4140588114318425e-06		0.05295524121980568	0.0006435654767106944								-0.1556233730551774		0.03982045230598649	-0.14417456695917735			0.14142986286656906	-0.459201207183824	-2.504519383807818e-05	0.02122410963864281	-0.037948441962076314		7.482074642733828e-07	3.060521210350131e-06	-6.828356734563544e-06			0.08749585979825188				-0.20378596548754163			0.4337242959744143		-3.230222309824273e-05	-4.07593818852707e-05						0.08937913872035545				0.060171964558726275									0.013493443841846083			-2.0127272551379487e-06	-1.7201337362582264e-05	0.029656804322849197		0.045930488191154334	-8.398474085826592e-06		-0.07471762660319822				0.02450437850819525					-3.3079470354200724e-05	0.07319170606858792		-2.8479701503692435e-05			0.004370770682925742											-0.01562974529394791					0.49885908458543243			0.18558856637459434	0.2700850199318156	-0.06533497066362233	-1.529294057763113e-05	2.3602866528454956e-05	4.9226705240183905e-05																																																																																																																									
2007	3					0.09745393458738871						-0.2547906505993064	-0.026748746020125877	0.10781127237387352			-5.587617928219323e-07						-0.37812896561271064		-3.985033107426617e-06	0.06710179253654532	0.14796659796323633	2.0152354382261125e-07		0.07871606588171425								0.024204410659603964						-2.0321019789179827e-06	0.0494351010696471	-1.0753953244992167e-06	-0.3073133801210781	0.0066235337928857016	0.02575271314882953	3.1638810110769277e-06	0.2653503722765655	-2.718490067290914e-06	0.21077784378843964	-1.7418370191504584e-06	-5.310881575438377e-06				2.3146411237324672e-05			-0.02531398261019744	-5.4508799007660576e-06					0.09876316034107568		-2.2331056124781974e-06			-6.785614452022141e-06	-4.367141273858804e-07					-0.20338363134303455		0.031808341556456225								-7.776748236174737e-06	0.0034726550457208267				-2.9053296820786998e-06		-1.9809464805415734e-06		-8.997615224381922e-06	-6.324829092104778e-06			-5.7912058007612035e-06								-1.9866648586798864e-06	-0.0887280878469379	-5.918708440476339e-06	-2.057622465791215e-06									-0.3379000635399325	0.291351092488781	2.497383855264127e-06		0.1157996368601384						-1.1420879733434564e-05	-1.230701837733695e-05																																																																																																																							
2007	6				-0.05147030457028597	0.017169142628058184	0.04783794781956838			-0.019481350946069394	-0.019262767414808736	-0.10131434644333347		0.026208121094971122				-0.006911170425449719					-0.14049322792055008		4.373987406958547e-06	0.023559557313922234		-0.004523525492599605		0.020431125833718117	-0.011812653742823797						0.05644743401217546		-0.055017878085016604			0.07868590013130067	-0.2846995463580754			-0.051176559163818115		-0.04028456995148293	1.2494195771698602e-06	0.010254050747787503	0.07037264795672687		0.046978621495412654	0.13265866925072567															0.048777848976640156					-0.06651045377343318	0.2199000528195514					-2.6938540811498214e-06										0.0005734152456664001	-0.3824362009854115	-0.09589571701607148		0.04786932006706668				-0.016710700553107253		-0.2750913101991182									0.24204262899784543	-0.028217386643609132				0.05124613440001137		-0.07887416364863814	0.07276609463604562			-0.0341213117314756	0.1573304662670809	-0.13987003103234502	0.06165401273282193			0.2746582190606979	0.11707659058011737							-0.07113840740276721	0.5000104189375241	0.15081009173169	-0.5000043871508143																																																																																																																			
