year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2005	3	-1.5416819997583116e-05	-0.05899732703751956	0.05284680276287737	0.1117826935018607	-0.10752289279603575	0.004807601372686448	-0.4308199535229051	1.5341739751954994e-06	-0.10979564893161056	-0.06303833997030882	-4.992748850392397e-06	0.03440555737845847	0.004493736957846701	0.05201987376583325	0.3397561490849574	-0.08723241347997868	-0.24382361437388245	1.4266673726755036e-05	0.0011284293618151163	-4.210527063510505e-06																																																																																																																																																																																							
2005	6			0.0021495208465541985	0.07514584450407875	-0.01819046107254046			-7.977078234845457e-08		-0.08045789614831494			-5.168586350652478e-08								0.03169363376317916	9.992972373501212e-08	-0.07149211479797149	0.10505480200103212	3.117964583881497e-08	5.959635192478912e-07	-4.202379970164853e-07	0.014897142153328026	0.006830380273143392	2.6577980073068726e-07	-0.4999998240412817	3.2990571298668716e-07	3.908815666869314e-07	-0.0656318227690107																																																																																																																																																																									
2005	9								-7.370845331110408e-06	-0.20420553577258133	-0.06542565370807828		0.024737715678876022	-5.234112743180022e-05	0.0447922711381548	0.27155916687805115		-0.4036970796181445	-2.244885162692679e-05	2.0873007539567147e-05	-2.825600313162882e-05											-0.24435658193025275			-0.06272631325331038	4.164565706122955e-05	5.312067773915437e-05	0.133117736019013	0.02952532526453973	1.9044633886465852e-05	-0.031255749338779754	0.007860360500092776																																																																																																																																																																		
2005	12					-0.20128858881511966			-1.8355231607397174e-07		-6.553102618659932e-07			-3.571264014242535e-07	0.04553043208551699	0.3730678303085157					-1.0302659075448587e-07												-4.465558327935121e-07				1.8339256312925822e-06			1.3344510647556214e-06	1.3515040194729529e-06		-0.003831808701955608	1.6708677011502221e-06	-0.08987215523574893	4.9944747797650495e-09	1.3153156047942554e-06	-0.17162022315218425	0.013243822398539556	-0.4652343878192797	6.890598337627069e-07																																																																																																																																																									
2006	3												0.0746830524738823	0.008709282348861608		0.17880615342248554			-0.03675153787585825	0.03049298360774283	-2.5170895262625507e-08						-2.883906671992692e-08									-0.07827150806361866				1.7791407685189695e-08		0.04008815069854946		1.4366470412097115e-07		-2.0014241607140244e-08				-0.5000000497318379	0.024246635264515266	-1.2975292726680057e-07	-3.141607988086123e-08	5.6820915846130234e-08	1.947281753566979e-07	-0.24200334144623364	1.424015826265926e-07																																																																																																																																																			
2006	6					-0.37212613916124976	-0.0012624282913886867				0.03143885201291247										1.760698712753575e-07								0.15365460648888404								0.09122442346451236		0.07357360747715831	-0.032865358323003614					-0.2140882615313938	3.2112553569164857e-09		-0.31613667525056227		-0.49999872862484723	-4.451631429981777e-07			-9.546426912054278e-07	0.2972853385030571			0.2805404330289848	0.008761099428487898	4.361447239531646e-08	6.540934803240614e-07	-4.137308165780034e-07																																																																																																																																														
2006	9										2.4677342785091707e-06	1.3709486967916958e-06		-0.004886072948944337				-0.49999807247298333			2.2020420472675546e-07								-2.4371003377856e-06	0.004418174631194917	4.270803962597141e-06		-0.00989122515864449								3.27170064946428e-06			1.1497293684301193e-06		-2.985356858775674e-07	-0.10377514730488303				0.12613852338800666	6.372469807838701e-06						-1.6928662512011398e-06					-0.363037508163536	7.581041745703325e-07	0.35102490175784457	-3.9538461449191915e-06																																																																																																																																										
2006	12		-0.1489282493892371		0.08937040330130737					-0.18575197409165825	-0.037886594285989734		0.07852091331787883	0.019725555529034097				-0.46690007443310005			-3.7884009798995417e-06	0.05280046696648075					-5.087613107329686e-05														-0.031095752825255143			0.04556466602450798		4.3437267553088575e-05					-1.1004766040112736e-05					-0.0996541230925166					0.030374270738426218				0.30364492543314947		-0.10185559394764603	-0.04781668634738947	-1.8645597746724268e-05																																																																																																																																							
2007	3										-2.2366782300782397e-08			0.0030740807343627072					-0.0798151117792667		0.03549198457548866						-0.14702020517251857				-9.237451758916541e-08		-1.6257541133637624e-08		-0.026408168279144772		0.047138013605286744			-4.401643989629994e-08		0.03979287876134067				0.001473289990851292		-0.026534481478769207					-0.15021750147673468											-0.40535607067045487	0.20395228120010267	4.632006173152977e-08				-5.412763240479848e-09	0.06473609843308262	-0.060307017148794176																																																																																																																																				
2007	6						-1.126623005164806e-07			-0.20499747391570672		0.04784180469194019				0.0636538360576075	-0.10770174295637183				-8.8426290930271e-08			-0.1699058756291653					0.10348050572724277	0.06785135693015619			-0.0309418726137042												-0.03436072926736165					-0.2360265540912645							0.15355342367130745	2.446313900762667e-07							0.027732399266927284						0.2161390531743283		0.04132601491172351	-0.09782941979947465	0.16018546491956004	-0.5000000646509632																																																																																																																																
2007	9						-0.03978075524512753							1.0174203464351125e-05		0.1545242492072952					7.697572613836563e-06								0.2022453801948877	0.14155161139578482		-0.4999917062437871			0.019791473027637178							-0.0805587261179744								-0.37862844236052834			-1.2637098668450834e-05								2.1494315293045884e-05				0.009774200461254868				-0.4572648806718159				0.11102417146895643				-0.15864232773098993	0.10628054117493746	0.12610328773602605	-7.993039254392298e-07	0.2435400754077412																																																																																																																											
2007	12						-0.23651222610368794				-0.12249574382286563			-0.026800403240933936							-0.00646659131513164												-0.21351117565810376						-0.09437519265395906	0.3828552129570109		-0.40879115122935045											-3.1348584948773714e-06											1.3280895206964831e-06														-8.40632766103183e-07	0.4580700771237345	-3.884039173842198e-07		0.0955435983298892	0.5000025110896211	-0.4703471078974309	-8.39935624799626e-08	0.011096241801407362	-0.5000001233303517	0.13173517780785385																																																																																																																				
2008	3			0.10759741711016273							0.05811948369752916										0.0134368556091201	0.08823521558357937		-0.050069299648443796							0.14996582195254302				-0.008159816538681103											0.053951983004672105											0.2488090505770349							-0.06479029178339095	1.0620923370168285e-05				-0.024699119151340397		0.2388648850354578					-0.49997284767414035	5.177236667132768e-07	0.03177542594559581		3.334374573284641e-06									-0.39656340784648686	-0.1333978546727307	-0.31312839693589345																																																																																																																	
