year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2005	3	-4.034731918411683e-05	-0.13504250662081208	0.0453626148748847	0.1393780998250285	-0.15412600489954606	3.0134062015227313e-06	-0.5000599471997091	3.838268474754811e-05	-0.1989534196800859	-0.0767705830440557	2.5065388297518733e-05	0.03219964837408859	0.013156069077193508	0.061170220977308946	0.4742582986249145	-0.15873262929749077	-0.49148871142728695	-0.05219583929725275	0.0018728549463979261	2.0591360592011972e-05																																																																																																																																																																																							
2005	6			0.04154286998947518	0.24480671762758963	-0.2676051486629245			-6.414359301422672e-07		-0.26446218147862555			-1.417962449063206e-07								0.01285632315307012	-3.205299426350618e-07	-0.36014073565109705	0.2914925191776163	8.548133567569549e-07	1.3472766123752916e-06	8.287424014418757e-07	0.23281989740637804	0.05873121705653402	4.478640277106193e-08	-0.49999864850202336	-0.008357018952176812	-0.213915708293214	-0.2677733325354472																																																																																																																																																																									
2005	9								2.489140477007939e-07	-0.21512813535960973	-0.08352255580490282		0.0244829388096249	1.3716116434807043e-07	0.028967008714334237	0.2118352077506964		-0.5000007599132151	-0.004709890850568658	0.003489947595188927	5.927127467458531e-08											-0.45672789025797866			-0.03680328503274815	-0.04810875947705944	1.1390410064539496e-06	0.12823126386027905	0.027689452217028843	-7.885695877626147e-08	-0.07969486634545299	1.457482944829554e-07																																																																																																																																																																		
2005	12					-0.34900055300738114			1.5027576593567085e-07		5.8940825798796365e-08			9.499898432398237e-08	0.05079969922937507	0.5000000622850028					8.929479042142007e-08												6.889977189846475e-08				-3.3750868039211044e-07			-0.08205339086015793	-7.118120423876229e-08		-0.05717679306693648	-1.6409911344712106e-07	-0.20352463259020273	6.241711739591038e-08	1.3977980877035136e-07	-0.3590438012818759	-2.1598057148320995e-08	-0.500000426910964	-2.820747978729784e-08																																																																																																																																																									
2006	3												0.12049974328874322	0.015464548315888508		0.2973928970741537			-0.13703833007193236	0.045665465373694585	0.003729189065739078						7.145931017015724e-08									-0.29887567344734994				-0.04889362230903784		0.06597593668605724		-5.632541314127171e-09		2.1863635165762082e-07				-0.4999974422086853	0.01705602772072741	-2.2643560132053956e-06	-0.08097951437867593	-4.274527517913893e-07	1.4362002969592956e-06	-0.4999997446447648	-1.6026193309331033e-06																																																																																																																																																			
2006	6					-0.49999945716016336	-0.01692834926607716				0.055923473300248425										-3.399152110085298e-07								0.15286885057904712								0.17957590049030625		0.10271677588226606	-0.10751300449372124					-0.36709293493627304	2.0751626552799878e-07		-0.5000009869288095		-0.49999705944692513	-9.106202807672419e-07			-4.3754485380893506e-07	0.0914011332204082			0.4090479627042874	-4.355091273453945e-07	1.6235274257993489e-06	-3.4182768909814604e-07	-4.895907497434083e-07																																																																																																																																														
2006	9										1.4380326491204771e-07	3.8595709792026337e-08		-0.011305613863312927				-0.499999952261601			3.77333804162437e-08								-3.9273027141701805e-08	-2.413933546771427e-08	-0.04816821840519076		-0.08359780850251569								-2.3236224713076584e-07			-3.0496905023068325e-08		-0.03494845447488691	-0.3865117687308728				0.06510271889663342	3.194137123570641e-07						-9.717485405873517e-08					-0.5000001760413721	-5.478785370195815e-08	0.49942932394750433	4.3070277984536544e-08																																																																																																																																										
2006	12		-0.26787302404556396		0.1266926468078626					-0.29905038017858077	-0.05868733522017666		0.1067879433283706	0.03121421685182581				-0.5000005350386434			-7.280559023341982e-07	0.05153557101477884					-0.028549737888988562														-0.09207300446485535			0.007595662739077352		3.0216174840007287e-07					-3.271298926292038e-07					-0.28004695813690494					0.030752256864127834				0.4164349065906035		-0.1607773984909581	-0.0839526034254422	-1.0930922320914052e-06																																																																																																																																							
2007	3										1.0256817310182151e-07			0.0018370323440514789					-0.14426128706237132		0.045165235602739696						-0.233844129340851				4.479274655290006e-06		3.7778619301879516e-06		-0.03961043844359986		0.03896264320026988			-1.6328085848178596e-05		0.02549807583676274				0.0004957866919762031		-0.08548234543681461					-0.36217577807082724											-0.5000151031402338	0.27307100523465316	4.097178796537473e-06				-1.7378391148980334e-05	0.11753803715196498	-0.13716000690619784																																																																																																																																				
2007	6						2.2393164707165199e-07			-0.24760658087399484		0.013175595486732588				0.0023507089560347	-0.11758456735754359				-1.2466456785951353e-07			-0.21481419330315651					0.0708349141200061	0.047774237227546576			-0.04243860840523262												-0.058140669404253956					-0.23307867675188246							0.11094184601393907	1.1820912981399087e-07							1.951616680122603e-08						0.19254226704181973		1.788737896939082e-07	-0.1192479619858755	0.0952906528018712	-0.4999994765154066																																																																																																																																
2007	9						-0.06491719096207							-4.707027695596972e-07		0.14196882419200904					-0.0032500156313058567								0.23015932227465513	0.16069696571871647		-0.5000101111331895			0.008612567156616223							-0.1820690479548431								-0.5000018888778875			-1.4240182955560555e-05								-4.833389119220529e-06				-2.0407387105396928e-06				-0.49999061345135903				0.05276729842803067				-0.2571130543339425	0.11667907048677045	0.12394599227284282	2.690156109052705e-07	0.17255927487823994																																																																																																																											
2007	12						-0.33246226552173314				-0.16421823480916065			-0.04241833312271094							-0.02821554266199568												-0.2811737983764277						-0.14553170803260965	0.4120184344490316		-0.5000062792592811											5.80603825663595e-06											-9.036229644703738e-06														1.7671060710439757e-06	0.5000025935068595	5.064341896938866e-07		0.08199225759934928	0.4999934373293333	-0.4999994517018224	1.2533821472385261e-05	7.787799420794914e-06	-0.5000034551630416	-4.714621684145537e-06																																																																																																																				
2008	3			0.08790926249196183							0.062380359319840144										0.021904634465646916	0.07822110264602114		-0.08893653299240716							0.15067375891242474				-0.022553946501983554											0.05473667768344741											0.21533422170709332							-0.1023510323215945	-2.8512857201221556e-07				-0.012520000168692803		0.19797375932924682					-0.4999972455564449	5.875164212023687e-07	0.012099902902793343		5.02060576781862e-07									-0.4508610840053241	-0.20401527648176052	-0.500002452182977																																																																																																																	
2008	6			0.3320571774572867								-0.5000302043534328		-0.12762189421452455																0.11665065451795299		-6.98213569244018e-05																			-0.0001030785031291007						0.4999116564759467	-5.38791951693561e-05								-3.6139992934781774e-05			-0.5000411982111747		-0.4999977584889928						-0.47415014597079136	1.2789371037194183e-05		5.034136375835397e-07									4.403800386588326e-06			-0.13140950730666576	6.332812103314103e-06	-0.21514260109156497	-4.000037565957905e-06	0.4999744604994212																																																																																																												
