year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2005	3	-3.3180088837170583e-06	-5.707800106015697e-07	0.29803789735236885	0.33594899974839326	-0.2927934335925682	0.06770916706715326	-0.4313008131781598	-2.346154058571553e-08	-0.12057434185624293	-0.16736442504090737	-0.0017895919972065434	0.16068478463332628	0.003935552878726479	0.2011796911870721	0.49999800783314124	-0.0677989989342992	-7.882210845811682e-07	-1.5522722346570333e-07	0.00578381277000505	0.008348738279492179																																																																																																																																																																																							
2005	6			0.0715399069044486	0.06836243649326532	-0.054863492098483305			1.200940276803612e-07		-8.821948474777003e-08			-1.1751235983185285e-07								0.32103115252363995	0.1350831138722844	-0.02346245386695873	0.3152636501343399	0.018747915429961064	-4.7137146625681924e-08	0.073139936522001	0.09861396819967663	0.03218636330503643	2.507881941473262e-07	-0.5000003238110315	-1.670659337742454e-08	-1.279713622065959e-07	-0.05564256647464152																																																																																																																																																																									
2005	9								9.398714369167404e-07	-0.4375258091240707	-0.13492485717225178		0.12790254051328426	-3.1053833921252505e-07	0.2069480741853115	0.5000015647464361		-0.48280132691214245	1.2379638700932552e-06	-3.891633995136422e-07	0.0329533511921171											8.847670498154548e-07			-0.1960672211684258	2.18550921541077e-06	6.285990777785825e-07	0.49056921131399117	0.11868433847651222	1.0526342727909616e-06	-2.560842703115013e-07	0.2742511458561873																																																																																																																																																																		
2005	12					-0.3881615207908791			-2.620470901357824e-07		7.17011041118674e-06			-3.25530077377566e-07	0.17586662263405245	0.49999385983477					0.04785405032106068												3.42250961996583e-06				1.7381553686577424e-05			5.9938269633500836e-06	5.0026769563950945e-06		9.199855545636212e-06	3.7003311373824376e-06	-0.09186734882858658	-1.2287909988472457e-06	0.2662050433330111	-0.14532500568807855	0.13537650408164872	-1.0213060788590914e-05	4.598366725133678e-06																																																																																																																																																									
2006	3												0.1419552124958966	0.02277863858571613		0.4685798542149654			-0.03437933151207722	0.029537187391396564	0.02885522336593507						3.176007328831021e-08									6.263630474976959e-07				-0.0071706161863232835		0.19699131943847445		-5.661198486348117e-08		7.025546674761818e-08				-0.49999963607156733	0.12168060832705314	-1.1409271248162567e-06	6.753832475663755e-07	-1.4621490182357689e-07	-8.35017958322369e-07	-0.11641646319484898	0.14758803472059556																																																																																																																																																			
2006	6					-0.5000028437120303	-0.0063377231332209195				0.08699980191969468										-3.544919742468404e-08								0.43540603934961025								0.19305757107814056		0.10771484601521754	-8.729508867069543e-07					-0.2639826253993458	4.5456907403606947e-07		-0.3335419269857103		-0.36661088049474294	-9.059697808158335e-08			-3.1837632915288e-06	0.5000031977979018			0.32417784176150477	0.1503472462508288	0.09105764975858024	-5.683002414678569e-07	0.08171602743072827																																																																																																																																														
2006	9										-7.409936204418291e-07	0.01670550439501621		-0.009900868457471134				-0.28554881598573195			3.0694293860242767e-06								0.06545588703753039	0.06986892366543843	1.0054558420973371e-05		3.074058115155386e-06								0.10604583780447231			1.2300067447053455e-05		-4.883589770112124e-07	3.237464512483248e-06				0.2645182639618954	8.131433598786646e-05						-2.2098501266103208e-05					-0.2272838858075894	-2.010701234047616e-05	0.49998130442510264	3.517746413109247e-05																																																																																																																																										
2006	12		-0.01851463630025942		0.1696503945556724					-0.22755984557283007	-0.057632002722474235		0.1512914131959694	0.015754339883461643				-0.4483804960455266			-1.995743145258703e-07	0.12471738604773572					3.1708420349533484e-07														4.365647238453672e-07			0.19977390145346696		2.3767357082624265e-07					0.12380226662046799					2.805694682678677e-07					0.062176837605714116				0.5000004019785985		-0.09508172285559886	3.8824240717220935e-07	-4.087003263373303e-07																																																																																																																																							
2007	3										0.03750797528508395			0.0022633094588565524					7.611893717604255e-05		0.09257778832090026						-0.09426492268879484				0.10033729152254738		7.918822544456287e-05		-0.04782458849298715		0.18832423971109072			-1.060237148655844e-05		0.20693955184129262				0.013758532981602558		-4.8709530747008616e-05					3.848162464901958e-05											-0.4999340227507183	0.5000971114695252	1.0818341405654761e-05				-6.423117397520515e-05	9.53036998202007e-05	-2.28151239174372e-05																																																																																																																																				
2007	6						1.0683121022443106e-06			-0.10289638171774755		0.08743910430219734				0.13943677550951286	-0.06775586331820829				2.872040310131529e-05			-0.06972992719602059					0.1333371385100866	0.08507992595487339			-0.011290312043489494												4.073649458167372e-05					-0.15182826650926967							0.18568379032892926	0.10581396855044276							0.06296450496273309						0.23178105066887994		0.18585848002682379	-0.04378920461601571	0.22981394566020752	-0.5000275304760303																																																																																																																																
