year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2005	3	6.161418669861569e-06	2.986923066237337e-06	0.49999997920743794	0.5000050749505265	-0.46182968940905617	0.13652821829008205	-0.482431917139447	1.5866656187682654e-06	-0.16846373917493612	-0.24334142245397633	-0.0027806220735186746	0.3092319891223315	0.04041754156140855	0.3693855648298926	0.5000003575168959	-0.09376898409677444	2.7450710917631797e-06	3.500426186578584e-06	0.0514872664898827	0.04554022281322515																																																																																																																																																																																							
2005	6			0.11986741798483061	0.08853413373445806	-0.11097346031026464			5.089869580076804e-06		4.95504679697016e-06			-2.055046867800244e-05								0.4669031716550013	0.21518988130605185	-0.02570575548928607	0.44935958208664817	0.032793528211680065	0.0500818778567849	0.10928683061514873	0.16276208082705487	0.051104822742589845	1.0513615661777229e-06	-0.49999139795843484	4.139769681167659e-06	-0.027414771509990533	-0.08179650819981973																																																																																																																																																																									
2005	9								5.972943382568083e-07	-0.4999973176413402	-0.1805337496424418		0.2476348030481684	0.002903917671706881	0.33762902157699864	0.49999893625728287		-0.474571791565562	2.267523048844511e-06	0.019836676267056236	0.059347763541127536											-6.4138064345596835e-06			-0.22447992228160515	6.226406641182895e-06	3.392393101851833e-06	0.5000027219592444	0.21221535310674738	1.0860350831701593e-06	2.6574042102595453e-06	0.5000016172866485																																																																																																																																																																		
2005	12					-0.5000002357419846			-1.766572069627657e-07		0.0486120005258985			0.00786814275720104	0.399997080517266	0.5000000702753994					0.11414377852503738												-1.1798900818249293e-07				-3.0473117612400455e-07			-0.05078193420266551	-2.8005600877130344e-07		-1.651177390678758e-07	1.9113275371786598e-07	-0.13115297818251645	9.710421859733421e-09	0.4999999958824152	-0.22962191347985306	0.3409371823741872	-4.584277832370826e-09	-4.713496889287959e-07																																																																																																																																																									
2006	3												0.2143228013559592	0.0405502232078206		0.49984799951452213			-0.03593506037645826	0.047205528236916844	0.05269516030330238						-9.521481571508136e-05									-1.872166760431563e-05				-0.03422780957760196		0.33078153748026784		-9.544238076230028e-05		-1.5986305888319817e-05				-0.49998026773113485	0.17714918526207052	-6.719544052061465e-05	-9.571164313796472e-05	-2.8609208853997664e-05	8.054435133824858e-05	-0.0703347237904705	0.2784200617964627																																																																																																																																																			
2006	6					-0.5000013438470343	-0.01836156069022589				0.11976989267914766										-1.9218380897356447e-06								0.5000002421934108								0.24018913462266125		0.12815719063445158	-6.429637527583578e-06					-0.34438175142852	1.7074346318175527e-07		-0.4147454250483563		-0.29551474531592803	-4.4812946230897265e-06			4.3926287881563565e-07	0.4999958865916588			0.38986369121359116	0.2392205545918977	0.2794541226769148	-7.71581906870181e-07	0.17636653672046643																																																																																																																																														
2006	9										2.320509336632013e-06	0.06526755073734594		2.052816538689718e-05				-0.16958474066409263			7.648899580207641e-06								0.11856477423790648	0.09744787711407824	4.2294903754568204e-05		1.9066566565897994e-05								0.2537730513574589			-2.3560307487529587e-07		4.126490657338814e-06	1.7558339083137017e-05				0.31740477879849927	-7.483035621469959e-06						-1.1104259156448369e-05					-0.18302167575015596	1.6354061508551768e-05	0.500004125919139	3.858618729468066e-08																																																																																																																																										
2006	12		2.4476166513852382e-06		0.2684103281792449					-0.2995657946525033	-0.03807994179544243		0.24592562669238066	0.03341666171700202				-0.4946940461758273			-4.7739174487425345e-08	0.23066117300033157					3.071500038580749e-06														-1.2000771887428869e-06			0.3212215905201853		-5.272199843115763e-07					0.21087803387127507					-2.8231744850783667e-06					0.10614797698328085				0.4999965171654782		-0.08431821521689023	7.666411256034598e-07	6.011374255435164e-07																																																																																																																																							
2007	3										0.11214016546559356			0.011293013049338895					5.786866358084396e-05		0.12868566767999248						-0.04634610072350993				0.19420618490645541		5.535984928703489e-05		-0.04307087369041688		0.31040332552633415			-2.511331217109837e-05		0.32967272184632657				0.03351383174992416		-0.03066234459669974					4.300474774889678e-05											-0.5000520214762577	0.5000624084687416	2.403891535541026e-06				3.827051235610014e-05	-2.3039249424596138e-05	7.573411580676735e-06																																																																																																																																				
2007	6						6.7571066487098e-05			-0.031001060927698183		0.09821538997501644				0.1663190703598888	-0.03341946999531385				8.551190903939287e-06			-0.0020736578805094054					0.13553308236424239	0.08522842023423426			-0.0010751665437133896												2.6381202899954803e-05					-0.07006554096241631							0.18025058991838924	0.17357389841666152							0.07849055049416095						0.23352358910837406		0.24610352408467068	-0.004786682073118356	0.24497193592326072	-0.4999659092005614																																																																																																																																
2007	9						-0.021061829198015095							7.544391972184329e-07		0.28697912707268314					-1.8322047560402282e-06								0.2706617442276156	0.1895025844502262		-0.47862428741231855			0.06729350701929965							-1.1074155495202837e-05								-0.21464335796986553			0.36957180371340714								-1.374315154696916e-05				0.07484599779902824				-0.5000594245420272				0.32316607954660054				-0.20952090423794706	0.13256088326227938	0.20939456403059323	2.613200656391622e-06	0.49997923843512687																																																																																																																											
2007	12						-0.015811575302089976				1.0079455557171933e-06			-2.1379789577757888e-05							-6.217175089204265e-06												3.327707967397339e-06						3.9964377502213793e-07	0.11383120896749027		-1.0640540221245574e-06											0.09074372638101569											0.040443372278262835														0.044234589200978405	0.12575265361620225	-3.037472685033386e-06		0.050227022950070685	0.23579214831511583	-0.04833820567997586	0.052026713772159575	0.19356812310630667	-0.057740925533435045	0.17528444267774557																																																																																																																				
