datadate	tic	conm	chng	mkt_excess	Price_tb	btm	mkvaltq
2001-09	ABC	AMERISOURCEBERGEN CORP	0.101024	-0.0442	0.0237	0.3884191497256588	7307991900.0
2001-12	ABC	AMERISOURCEBERGEN CORP	0.068067	-0.01236	0.01736	0.4425947515131179	6593058300.0
2002-03	ABC	AMERISOURCEBERGEN CORP	0.008863	0.0147299999999999	0.01807	0.4296428104917322	7098282400.0
2002-06	ABC	AMERISOURCEBERGEN CORP	-0.014139	-0.078	0.017	0.4002156600024087	7970880000.0
2002-09	ABC	AMERISOURCEBERGEN CORP	-0.015032	-0.09051	0.01551	0.4384855483771399	7563163740.0
2002-12	ABC	AMERISOURCEBERGEN CORP	-0.063943	-0.00989	0.01219	0.5888340654934257	5808128640.0
2003-03	ABC	AMERISOURCEBERGEN CORP	-0.045455	-0.01717	0.01127	0.6380291359324012	5786497500.0
2003-06	ABC	AMERISOURCEBERGEN CORP	0.106237	-0.00187	0.00917	0.5077737614592338	7655338449.999999
2003-09	ABC	AMERISOURCEBERGEN CORP	-0.071465	-0.0142799999999999	0.0094799999999999	0.6622334432008228	6048195000.0
2003-12	ABC	AMERISOURCEBERGEN CORP	-0.112814	0.00733	0.00927	0.654469765075796	6296492550.0
2004-03	ABC	AMERISOURCEBERGEN CORP	-0.057729	-0.0152299999999999	0.00943	0.6945996886700618	6137283200.0
2004-06	ABC	AMERISOURCEBERGEN CORP	-0.003334	-0.0105	0.0128	0.6544093550861565	6713592900.0
2004-09	ABC	AMERISOURCEBERGEN CORP	-0.007209	-0.04655	0.01695	0.7184985398138235	6039044980.0
2004-12	ABC	AMERISOURCEBERGEN CORP	-0.004411	0.0155299999999999	0.02207	0.682918716618939	6168265560.0
2005-03	ABC	AMERISOURCEBERGEN CORP	-0.043573	-0.03776	0.02766	0.6538662471609615	6365205450.0
2005-06	ABC	AMERISOURCEBERGEN CORP	0.070931	-0.05211	0.03101	0.58067926108959	7205983200.000001
2005-09	ABC	AMERISOURCEBERGEN CORP	0.035222	-0.0237799999999999	0.0351799999999999	0.5334769961782678	8023508100.0
2005-12	ABC	AMERISOURCEBERGEN CORP	0.030492	-0.04407	0.03997	0.5001816521087925	8636288400.0
2006-03	ABC	AMERISOURCEBERGEN CORP	0.049576	-0.04402	0.0459199999999999	0.4427037688810296	10089347130.0
2006-06	ABC	AMERISOURCEBERGEN CORP	-0.038312	-0.03786	0.04976	0.4807678320101538	8799008000.0
2006-09	ABC	AMERISOURCEBERGEN CORP	0.023551	-0.05201	0.04851	0.4545381005492797	9110692800.0
2006-12	ABC	AMERISOURCEBERGEN CORP	-0.022396	-0.0279	0.0498	0.4561283443845507	8636321440.0
2007-03	ABC	AMERISOURCEBERGEN CORP	0.002852	-0.03507	0.05017	0.4097049636460093	9994226000.0
2007-06	ABC	AMERISOURCEBERGEN CORP	-0.034166	-0.0695699999999999	0.0475699999999999	0.3952086695118812	9452826540.0
2007-09	ABC	AMERISOURCEBERGEN CORP	-0.052665	0.0048799999999999	0.03672	0.3795265963664821	8167332750.0
2007-12	ABC	AMERISOURCEBERGEN CORP	-0.01102	-0.04378	0.03128	0.3828324060397099	7536410070.0
2008-03	ABC	AMERISOURCEBERGEN CORP	-0.017737	0.01706	0.01264	0.4423737480231915	6663593879.999999
2008-06	ABC	AMERISOURCEBERGEN CORP	-0.032422	-0.0847999999999999	0.0172	0.4230449155881453	6438949860.0
2008-09	ABC	AMERISOURCEBERGEN CORP	-0.081931	-0.0252	0.0091	0.4542439267652612	5966056650.0
2008-12	ABC	AMERISOURCEBERGEN CORP	0.13748	-0.00897	0.00127	0.488196391848944	5562959999.999999
2009-03	ABC	AMERISOURCEBERGEN CORP	0.028338	0.03342	0.00208	0.5546902096028692	4973399479.999999
