year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2005	3	1.1763894151194457e-07	-0.0053017468411497804	0.09546016577627889	0.12042188643668202	-0.12103310115596083	0.014858882082073805	-0.2716981135679752	7.249518728893518e-07	-0.06764372559602731	-0.0775420769998616	-3.3500066516970833e-06	0.04586043571617	-3.868376440201725e-07	0.06416700731720773	0.29801789191899547	-0.04456439037861347	-0.05100187558127151	-4.0894817640426844e-06	4.573134526695152e-06	-4.3981639014966486e-07																																																																																																																																																																																							
2005	6			0.042229041325059544	0.08122535908825537	-0.049137926249669485			-4.3975452259221186e-08		-0.04776098614020363			1.161859995851546e-07								0.20369486130169448	0.022105714755648466	-0.06027432267194687	0.24231098733585488	5.116958877835179e-07	-5.830105890596235e-07	0.027468186305675026	0.08015986385690547	0.025153999993269956	5.997941142300126e-07	-0.5000000154317265	1.036402047374984e-07	-5.882421064067393e-07	-0.06717443766527838																																																																																																																																																																									
2005	9								4.5357909117028125e-06	-0.1730206273030502	-0.0530236237807752		0.025787396030437	-4.923720503209057e-05	0.05461617286887553	0.26743984158335804		-0.24971134068979187	9.577629050566718e-07	3.685833081865387e-05	0.0026875885478025888											1.097473434809199e-05			-0.07243312124885079	1.8829712804115427e-05	-0.0069990139678497475	0.13498718455246667	0.028330718766428294	-7.124609600648751e-06	2.7061733312118636e-05	0.04133361564903874																																																																																																																																																																		
2005	12					-0.17211276475221585			-8.063414749195964e-08		-1.101815810628331e-06			-3.189912933510863e-07	0.05132492530275336	0.3318909033219501					0.010363245155436856												-8.116726342392694e-07				-1.2717239740603943e-06			-7.144925458617984e-08	5.828631986208091e-07		7.054151291931333e-08	-1.0237709356394335e-07	-0.071455742810922	-2.7911672244947877e-07	0.016503890233368138	-0.111570646427084	0.027852894059084803	-0.08279432958217407	-1.7830270183788068e-07																																																																																																																																																									
2006	3												0.06977333874216753	0.008537593642014105		0.2033729830068467			5.555889022403401e-08	0.0204561239037101	0.00478575160995183						-8.10552058878118e-07									1.109868934315488e-06				-2.141720036865169e-07		0.0712000485854404		5.488134871930152e-07		-9.912152887412077e-08				-0.43041186550850896	0.05464138854870275	2.9219771223176458e-06	-1.152446850791974e-07	1.9564501378151274e-06	-2.9098975048983387e-06	-0.02855250264744611	0.02619416873666754																																																																																																																																																			
2006	6					-0.1727533080089606	-0.0005536648889709791				0.00983238340770289										1.0409456170561405e-07								0.09849127912621325								0.01505193884072624		0.028209617885165374	5.305197516233783e-08					-0.08602290977228738	4.140282766493724e-08		-0.11288778535442542		-0.19518595690466134	6.83659870039706e-09			-1.2055591258267993e-07	0.2912675792835018			0.11032963676266712	0.014220907706345752	1.9623611366997834e-07	6.879722654009374e-08	6.870554138096549e-08																																																																																																																																														
2006	9										-9.650479971485948e-07	1.1015230007127826e-06		-0.006617841949594505				-0.2040289115203904			-3.885744354552799e-08								0.013012549760582363	0.022341809374180278	5.916904427656017e-07		-9.469915262719812e-08								6.595064949089559e-07			5.987672198265495e-08		1.3127411152014286e-07	-0.013935445743940553				0.09957774973855206	-7.258206999698057e-07						2.1175436381581073e-07					-0.12836033737619787	6.729829077330666e-08	0.2180105918193411	-3.431472437798847e-07																																																																																																																																										
2006	12		-0.1139246109612938		0.13306379307957278					-0.2231350953916013	-0.05627449437384473		0.11802295308810716	0.018440368171058687				-0.5000022365057339			3.5537610935741843e-07	0.08969840018236955					-2.672042596451215e-06														-2.5692028674977867e-06			0.127585999058257		-0.0004397477622631935					0.05887640686190415					-2.1062858828648027e-06					0.04896212546418008				0.44419724570760294		-0.11462170793392946	-0.030444123947892223	1.874514754356594e-07																																																																																																																																							
2007	3										1.1268288540173286e-07			0.006345472998659291					-0.028068057607982973		0.0429264062832013						-0.10154985437522658				0.029313774344103576		-5.13347710911514e-09		-0.022420499975183292		0.08849038300497068			-1.6483945515471173e-07		0.08627221276752033				0.005706543217805898		-2.1697494164646115e-07					-1.993762174809018e-07											-0.36085794945871635	0.2538419667073858	1.4260689110899965e-08				-1.9370329881075052e-07	-7.178474078250149e-08	1.55439475310324e-07																																																																																																																																				
2007	6						-5.495857961774375e-05			-0.15907827181447412		0.07022504942169194				0.10520082608543753	-0.09164849036045347				-3.392372679340827e-05			-0.12432618584788437					0.12193038251504913	0.07884214116990054			-0.02100323934452181												-0.009765204133282157					-0.20743781437982803							0.17579575030863492	0.04201504790014215							0.04685695374150282						0.2279803739479736		0.11801952999916562	-0.07399821882806744	0.20047357997249146	-0.499958386008824																																																																																																																																
