year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2005	3	1.1763894151194457e-07	-0.0053017468411497804	0.09546016577627889	0.12042188643668202	-0.12103310115596083	0.014858882082073805	-0.2716981135679752	7.249518728893518e-07	-0.06764372559602731	-0.0775420769998616	-3.3500066516970833e-06	0.04586043571617	-3.868376440201725e-07	0.06416700731720773	0.29801789191899547	-0.04456439037861347	-0.05100187558127151	-4.0894817640426844e-06	4.573134526695152e-06	-4.3981639014966486e-07																																																																																																																																																																																							
2005	6			0.027149594032184473	0.05151442792429313	1.4541533028736553e-05			-5.16157013059795e-07		-0.0203206887552142			6.942168621504032e-07								0.16977633398749856	0.031168401790031997	-0.01000953229056055	0.18184460958624635	-1.644096140713453e-06	-6.947376040224148e-06	0.027671530394639158	0.028154068020428847	0.012158080132429944	-1.0309160045277036e-06	-0.46796885988495013	2.7587639640081886e-07	1.572366674218399e-05	-0.031167401839468846																																																																																																																																																																									
2005	9								4.5357909117028125e-06	-0.1730206273030502	-0.0530236237807752		0.025787396030437	-4.923720503209057e-05	0.05461617286887553	0.26743984158335804		-0.24971134068979187	9.577629050566718e-07	3.685833081865387e-05	0.0026875885478025888											1.097473434809199e-05			-0.07243312124885079	1.8829712804115427e-05	-0.0069990139678497475	0.13498718455246667	0.028330718766428294	-7.124609600648751e-06	2.7061733312118636e-05	0.04133361564903874																																																																																																																																																																		
2005	12					-0.17211276475221585			-8.063414749195964e-08		-1.101815810628331e-06			-3.189912933510863e-07	0.05132492530275336	0.3318909033219501					0.010363245155436856												-8.116726342392694e-07				-1.2717239740603943e-06			-7.144925458617984e-08	5.828631986208091e-07		7.054151291931333e-08	-1.0237709356394335e-07	-0.071455742810922	-2.7911672244947877e-07	0.016503890233368138	-0.111570646427084	0.027852894059084803	-0.08279432958217407	-1.7830270183788068e-07																																																																																																																																																									
2006	3												0.06977333874216753	0.008537593642014105		0.2033729830068467			5.555889022403401e-08	0.0204561239037101	0.00478575160995183						-8.10552058878118e-07									1.109868934315488e-06				-2.141720036865169e-07		0.0712000485854404		5.488134871930152e-07		-9.912152887412077e-08				-0.43041186550850896	0.05464138854870275	2.9219771223176458e-06	-1.152446850791974e-07	1.9564501378151274e-06	-2.9098975048983387e-06	-0.02855250264744611	0.02619416873666754																																																																																																																																																			
2006	6					-0.2731509284751553	-0.0008748308317277283				0.01554660732964355										-2.1756225814294127e-07								0.155724714173204								0.02379878131453619		0.0446015417886323	1.2715155887566355e-05					-0.13601666489492525	-5.346453378941417e-07		-0.17850036374202613		-0.30868205285950406	5.687516928830291e-06			1.5696931292526637e-05	0.46057756556139146			0.1744612021737078	0.02248466300840105	-9.416614995481272e-06	5.647551057799672e-07	-1.0680015181604462e-05																																																																																																																																														
2006	9										1.2703630726381661e-05	4.7754659560113105e-06		-0.0046776423560607565				-0.1443017684307623			-4.40351830471968e-06								0.009198745375439854	0.015798176836576187	-1.2633132227668103e-05		5.735543785058738e-06								1.7198934528431172e-05			-1.0595522874642212e-05		1.4911893803985995e-06	-0.009856801777333392				0.07043167218730816	-1.0973229501484884e-05						5.370899679595656e-06					-0.09076528615704468	-3.267095978574923e-06	0.15417080984635187	1.976715028252602e-06																																																																																																																																										
2006	12		-0.05574941623597108		0.06644236229174087					-0.1108278238363307	-0.027935669426373773		0.058945829266772984	0.009174717699836441				-0.2531900738655774			3.494089726758382e-08	0.04486837439002439					-3.608222765430086e-07														-2.507519884255472e-07			0.06392292225907464		-0.00019568997649371694					0.029601391197473164					-3.588257757091475e-07					0.024463369757045342				0.22192751135043942		-0.05666670592341159	-0.014780631012648189	3.68485508599055e-08																																																																																																																																							
2007	3										2.087349136465955e-06			0.003173383182493515					-0.014031638506452669		0.021465482295510464						-0.05076854300387389				0.01465867890287792		-6.8478575701526185e-06		-0.01120837755360802		0.04424966014601331			-1.282634022694283e-05		0.04314085035356417				0.00285345507779803		3.327758375711511e-06					-2.215437811505464e-06											-0.18043404002874114	0.12692964172437338	-1.0700295112443175e-06				-1.2192873385085597e-05	-7.742923159398371e-07	-8.085519382495355e-06																																																																																																																																				
2007	6						1.5735157449523343e-05			-0.10427479452845409		0.04600527772217901				0.07698273686449496	-0.05691259041569064				3.4783817349162956e-05			-0.08058120211271472					0.08620197377467154	0.05557124264013832			-0.01817415208595034												-0.001250371033330176					-0.1352698766570585							0.11942667444879694	0.058036109194127446							0.04624637851259076						0.2209811340957538		0.08803375791034909	-0.04541653549284938	0.14430323189440517	-0.5000162208328679																																																																																																																																
