year	month	BG	CCU	DAR	KOF	LEXR	LTRE	MGPI	MIDD	MNST	MO	MTEX	NAFC	OME	PBG	RDEN	SNMX	STKL	TAP	TPX	USNA	CRI	ELY	EPC	GT	JAH	MED	MVL	NLS	NUS	OATS	REV	SAP	SPTN	TOM	TRW	ABC	ARDNA	CRESY	ETH	EXPE	HAR	MOD	TIVO	URI	CTB	HLF	KCP	LEA	NTRI	PBH	SEB	ANDE	CL	ICON	RAI	SNA	THS	UL	VC	WBD	AMZN	CQB	DPZ	HAS	ADY	F	GRMN	SEED	AXL	CROX	DECK	JSDA	MHK	BARE	HOG	SAM	IBA	PNR	SUSS	CENTA	FACE	WINN	BZH	HBI	MCK	ALCO	IPAR	WBC	WRC	BGS	DAN	ETP	HOGS	POOL	SHOO	ATVI	CSKI	DL	FLO	PRGO	RCII	CHBT	DPS	G	LO	MTH	RYL	JNY	RAH	AIPC	MJN	SVM	TEN	CZZ	BRFS	DOLE	PPC	GM	SPB	TSLA	PRMW	SENEA	SODA	SUP	TTWO	NATR	ADM	BC	JBSS	WFM	CHEF	BID	EA	BNNY	BTH	ZNGA	CG	INGR	JAKK	LKQ	RNDY	HSH	LFVN	PF	BDBD	NGVC	WES	WWAV	CSG	ARMK	COTY	CPG	ESI	FGL	KATE	SC	SFM	ENZY	GPRO	HAIN	MDLZ	NHTC	PM	RGS	ABEV	DPLO	IMKTA	SFS	FRPT	BETR	POST	BLD	ENR	KHC	CAA	VSTO	NOMD	RRR	FARM	TPB	USFD	ADNT	ELF	NBEV	UAA	CELH	COKE	WOW	TWNK	DLPH	ROKU	CRON	HFFG	VNE	APTV	KDP	CPRI	FOSL	GO	BYND	CTVA	KTB	BRBR	PTON	PPD
2005	3	-3.328545935188935e-06	-0.04132682265007241	0.06620649107513542	-0.008740225723591722	0.03219990096339627	3.887732960264135e-06	0.04043770950389951	0.004259330658685296	6.26328027604527e-06	-6.568392542599041e-06	0.014900810775381013	0.044927953064978175	0.027449854088501223	-0.06810040133947405	-0.5000474619723908	0.23777170905478784	0.19842442552813006	-2.8520064798690693e-05	-0.08127755417974536	0.03290585357941742																																																																																																																																																																																									
2005	6			0.05276463779595873		0.027695416841041466		0.029555310864172055		0.028747882032843352										0.2432908529061181		-0.49999977773029625	-0.003004953289112851	-0.005945204202604852	4.5819297611125325e-08	0.2589899952157468	-0.004894916516135075	2.4755600715962078e-08	0.05810183644520554	0.0740778774965172	0.029813188609351223	-0.019664758203850254	-4.4979059137079776e-07	4.758143829362737e-08	1.7521064572217738e-07	-0.2695278386447795																																																																																																																																																																										
2005	9			0.11243462597207478		0.12012998550503923		0.17404330562232848				0.024695484787331	0.09751314849011579		-0.024832749413375182	-0.27102020715815					0.0925980184332475						-0.008666016806132083				0.1567512713136395					-0.11899424524470631	-0.07947047793176452	-0.004888960734165536	-0.042688731623234125	-0.08199324785557718	0.074149574401502	1.5488190678194943e-06	-0.49999939401904964	0.036705587055474526	0.24353224325555606																																																																																																																																																																	
2005	12			0.10463319462437055				0.1285907384936236					0.06130723845676375		-0.07002272207967075		-0.49396370287125313			-1.5846438348128554e-06		-6.309884508917373e-06		-0.005146514999761261			-0.013656456139433682	-2.8163497600956966e-06			0.058976623375181926		-2.30423593214521e-06								-5.786208564072617e-06					1.1718965345996816e-05	0.13190648704613375	1.6459238452915023e-05	-0.018874782745109498	5.039734409000771e-05	-8.808082684268394e-07	0.11622087580268198																																																																																																																																																										
2006	3							0.09186754456992569									4.4926399454945416e-05				0.032595696068470036				1.7511060899883043e-05	0.29967270552002545	1.446687486742304e-05				0.03704216097419231										-0.00863406434928813			0.01297835692690825		2.438202313297375e-05				0.18642827253647531			0.09069120711022875	-0.08145615636197447	-0.23063139762626958	-0.16099446503280335	-0.03475468243569403	-0.23501742356385955	-2.8184048988242335e-06	4.2807775889064117e-05	1.937346809220072e-05																																																																																																																																																	
2006	6			0.04383427739745859						0.04813293236570405						9.917331572554449e-09		0.06316788529306754				-2.2051438991344905e-10		-0.0271202994812208	-0.001888819294777521		-0.01016262999497727					-0.03677283327226703				-1.4819415136661243e-09					-0.006293317075585562						4.5225938590011625e-09				9.217517241944116e-09				0.49999999853203714			0.00667102894520883		6.399404790985371e-09		-0.01664978986046167	-0.023785021085142192	-0.46271486253260463	-0.07641857178146076																																																																																																																																													
2006	9			0.3077277158597105				0.29426293792851976																-0.1311923916642655	-0.023477503666927864		-0.04710362052958158				0.1810586618107135	-0.14593182249139566												0.06615697798503949		-0.05187826790890674	-4.6855687514851274e-06	-0.08370859816188746	-0.3316914801111019				0.09945982200617835				-0.4785856367785377			1.0860382801261012e-06	-8.33555860376997e-07					-8.619841956137401e-08	-0.13624879672297768	0.20167582433081535	0.2794877024032953																																																																																																																																									
2006	12			0.10740358257444489								0.020863743919862635	0.05582461507985559				-0.09495870711579739	0.09357720056383527						-0.02281875284784533			-0.004577333498601665				0.05765931268172233	-0.044537999220084945								-0.2111226718820112									-0.07728292896874682									-0.0935675237780232		6.7821495484661355e-09						2.0286259341073886e-09		0.07453068323048624		-0.052352479748324396	0.2812745434368798	0.13075206388657717	2.526700694540089e-08	-0.2206674021586078																																																																																																																																				
2007	3			0.09418083722862396				-2.8523936734745335e-05					5.541546771011432e-05					0.046104392043119856		5.240426484607186e-05				-0.007437132251535731		0.049048486814890394						-0.04547198261923857																		-0.07797999623618998		0.09092974161801684											-0.003639450744562547			-4.174560042136022e-05		0.0503795584610377	-0.12657312035188092		-0.16869944587345123	0.09911684009905751	8.002146469335379e-07		1.1823673763917256e-06	9.99112229536942e-07	-9.521678788522273e-06																																																																																																																																	
2007	6			0.21753671253996282									0.11205191056450074				-0.25084329571474345							-7.559651603661546e-05			-0.01590521669642323	-6.705682800844401e-05				-0.10749652446571685															-9.24829073816829e-06											-0.3341332290672146		-2.2096079950723325e-05	0.051057341603757626							0.09125859703807723			-1.1135978188388763e-05	0.23436957324680954	0.020797662674896713		-6.296070367439084e-06	5.802567585863911e-07		-3.0374328293119954e-05	-5.069311903020261e-05	-0.01859356577429688																																																																																																																														
2007	9			0.15891453304137054				1.8103260498555904e-07				-1.0071413184833331e-07						0.08377955898923449														-0.06881418047670057				2.682775792138114e-08		7.661360988724623e-08							1.3426890794403275e-07	-3.09915563120024e-08						0.12078330524351806			5.740833956248037e-08											1.3032575968300218e-07							0.035569505748048354		-3.38751782515935e-08	-0.33023265202197505		-6.280228153433671e-09		5.1355281949345083e-08	6.503513150306459e-08	-3.8806343178722295e-08	-1.2002954986668867e-09																																																																																																																											
2007	12			0.09720462223425243								0.017363575036264723	0.06453325318507268				-0.06471664009529328			-0.02865187603821522							-0.03507892208995867														0.03986858568938812																	-0.31811250786568684			0.05130593540467388					3.650789469722922e-07		0.09547366972741941			0.12122520585316288	0.1140033150281414	-0.013704424727074005		-0.017327684625076736			0.09857166020650522		0.33833379346652503	-0.5000005509086795		-0.03837122262550193	-0.021920209642515565																																																																																																																										
2008	3	0.05671909345748912		0.06805572278734687									0.04344806027858568												0.03446400757815835		-0.017874180674372905																	5.783193715303363e-07						-0.04801510457927912			-0.002619194101162875					-0.09799698050640578		0.05181825652912543				-0.16669524954824883		-0.059398356125467136			0.047844476013880546				6.317110946083199e-07		0.05483310776070138					-1.7549693782474332e-06	1.5972745827137814e-07	0.41537393653570037			-0.49999827640897004	0.12004024110878032																																																																																																																								
2008	6			0.07644535110659317									0.03516857280497486	0.022552448934768005						-0.08629736362079476							-0.003978160887340943		-0.046741264201644726																		0.1215236477601775								-0.06783656020900639						0.018876463334722916					-6.941861819645554e-07					-0.0812737123009407	0.08725844930288498	3.383887378249673e-07				0.06400464629897734			-0.09102728297698776			-0.060594433080718484				-0.47937321481359585	0.054599489272384984	2.0012386774881148e-07	0.4366930514240837																																																																																																																				
2008	9			0.07322913705873586									0.04162514934322322	0.029612291918886372		8.132865262911595e-09				-0.08160251941704702							-0.01908449390869606		-0.043515971301293206									-3.9671863091160174e-09						4.048778556924837e-09			0.13945824114222904																						-0.08152737722423149		-0.06942726988214447		-0.014468106081268287				0.058353855001238145			-0.11305658856896922	-1.6616619945934347e-08	-5.301997545350919e-09					0.4877929894910563				-1.7896152932063847e-09	-0.40738932324029575																																																																																																																		
2008	12			0.07427838544571316				0.00014242112457017346										0.045875096384623185		3.958141726725296e-05							-0.02363716656356331		-0.05198361865756895			-0.039434845123012825																																								0.09591855847359688	7.138598096416268e-05			-0.3617904134061851	0.07231842151169658			2.7739349183810928e-05	2.599077860097173e-05		-0.11771320309633727				0.06189831364745538					0.2418851382670121	-0.17324456630897989	0.2990853439960982	-0.08222416394994547	-0.0416557360143986																																																																																																														
2009	3												-4.739255461192783e-05	-5.495587320984957e-05			-0.08795047088442175			-2.823708481376704e-05												-0.032052297367139604		-1.5757692504115197e-05										0.03213671118914627																									-0.055034440509569064	0.03215553986681595	-3.43312275504378e-05									-3.876268757090905e-05	0.02035698106117561						7.563484499511271e-05							0.35055006298296976			-0.3992328493761663	0.12970853441145372	0.01789966403965831	-0.00818275479897879	-4.2618906407612294e-05	-4.54023298352459e-05																																																																																																								
2009	6												0.0166719265944228	0.03250955020052291						-0.04018068678025234												6.335264556939056e-08											5.191174624942294e-09																												-0.08456618335387628		-0.015173038713791621				0.007072754040693281			-0.04519745355470656		-7.011222646146999e-07												-0.06822381998766947			0.09254574374557331	-0.06677651399179842	-0.14904167960065318				-0.25005967055109773	0.13301016913436348	-0.10031801938320653	0.4672797675592534	0.030303127690859157	0.04014503903056609																																																																																																		
2009	9												-0.12061420875588788	-0.11078289650736742			-0.15394550219549608	0.13998587997371195														-0.24596381541620718											0.15551199771117702																							0.2854311831591305											-0.259315047655337	-0.035281305255792844		0.06142396622349446		-0.16766396154925806		0.0814676208909748	0.3799802448101552	-0.43705182336520143					0.3630260827050433	0.3823469602888078								-0.41226489477631934			0.3875877345708932						0.20609853912521006	-0.49999039957126																																																																																																
2009	12							0.23051998954428982				0.02625135096490233					0.05972118938355071																										0.07677816834920498		0.1622904239478282					0.21385829423371627					-0.14844783132045522														0.12404898970553653									0.26466036907618073		-0.18262564093702618			-0.31172653422599944				-0.07366846313407126											1.505160850538011e-05	2.12444266782906e-05				-0.3252926959609087		0.15162710000323293						2.5770339983774216e-05	-0.1517923748937408	-0.18625726438552712	0.06998435368055109																																																																																												
2010	3												-6.285286355896709e-10				4.900471365503117e-10	0.03858953711155757											-0.06295522341049524			-0.022803001333111594											0.02838031097313662																											0.03448568700792142							-3.017455894917233e-09	-7.220427100284074e-10					-0.1400614658864713	0.02199667641341592								0.151640431911725		0.08510746243707802	-0.05420876939575987				0.029015093640343874				0.24419633351945064						0.05560149119981563	-0.03739553398357279			4.082813184753244e-09		-0.3715890229856566																																																																																											
2010	6												0.021721698087336885				0.04686126167867677																																-0.012461392680316041																												0.03581642765616225	0.11706154365364814		-0.10235210672665357		0.10069801486306963		2.7056966992218673e-06			0.07368347581444044							0.08440511016829377			-0.26148103011291063	0.10507765723919558	0.02665086720093454				0.16390750178659264									-3.904364086754665e-05	-0.03527706759466226		-3.8780621428782e-06	-0.36403532664716476	-0.00020322287888782347	-1.4696005183395139e-05																																																																																								
2010	9											-0.003829383336322889	-0.014316561777882025					0.03844721242481263											-0.11179161647340005			-0.050345752983100796											0.020970465364526254	0.017138212378729777																										0.024467217704896186			-0.02711084011751688				-0.02828467821786401					0.04077359430863618		0.014110747544302285								0.14356926366795175	-0.023511955752284878	1.151811255977298e-05			6.446726814434502e-05	9.895148593226691e-05		-0.050243298168541214																0.009661522061936401	1.7841872120273117e-06																																																																																									
2010	12											-0.024881948149722062						0.05518288046400621											-0.1469949922015586									-0.17252424685289205					0.03965123443818647	0.023738799634230867																										0.033055526543579815			-0.017937795796324037											0.029545175513186174					0.2840735189193676			0.1642238969867051		-0.015774750737078645				-0.03330644415895084	-7.747293898482485e-08				-0.09034081838971514							-0.25328888690644447					0.2533462551923423	0.4264153790736362			-0.05418267593204277	-0.5000001582661993																																																																																						
2011	3											-0.013926841517184563																	-0.1358870524516408																				-0.06177477032254704											-0.026377960002895877												0.16210169621367684										0.033763468897066294			-0.12214271473145151		1.4833888850003393e-06		0.3078495458573005		0.09681144766545649							3.3297527608509317e-07	-0.08747187478959832													0.14860478777198796			0.2873866380146938	0.003752033959757558	-1.5782468201209178e-08	-0.02563483325091669	-0.06705490404424631	-2.1439701684387033e-07	-0.499999293430958																																																																																					
2011	6			0.09476880772719425																									-0.0565469672602859																				-0.027314642672649027											3.362867909890794e-09												0.20566017912838744					0.08201872913973006					0.06267092443259673		-3.5538985352058354e-07							0.10020175220600468	7.061514998214684e-07							-0.05656711339404535							0.023495989281472566											-1.4281053015933734e-07	5.579046585690834e-07			0.15578296684961573	-0.4949332017415723	0.13889368224094614	0.05422045620404595	0.2017337373506835	-0.48408568287957665																																																																																
2011	9			0.052650733450195594										0.056792779841777566															-0.03295663536903028																				-0.012681767888637093																	1.8676432777302986e-06			3.0868837687312016e-06			0.11611911953599448					0.04817081505388628							-2.489152071963937e-06							0.05654198424513188								-0.03200001855384851	0.05889538095862075				0.1277094551107865									-0.023948179390196698					-8.462413454634642e-07				-0.042579317336648076	0.0740514685466375	0.00141920043170103		-0.46215856901257646	0.013981432951613719																																																																															
2011	12											-0.027795386664303565						0.23586740232635112											-0.19410270429672213														0.10869073166553468	0.07782514373196667																-0.05356416106200414										0.12156839882142595			-0.030244907605762712																0.3542703899679246		0.12265346027091116			8.700685305323982e-06																								-0.0005094996970324474	-0.15079671585998472			6.344790614388581e-07		-5.45554253559149e-06		-0.38003338378539564		-0.23384865922021442	0.13401934524082018	-0.08400627231944001	-3.815193709919283e-06																																																																											
2012	3											-0.02161069378500787						0.2662555790552116											-0.20226764118950274			-0.2176659676080029											0.11526812677929638	0.08379029125356224																-0.07685618384966231						-0.06872551976264929				0.16335554193423224														0.12598361596961763							0.11820857405533101			0.0001658812022366666																								0.00016840828025538698	-0.19974779774250193		-0.17211843285480186			8.128206286533219e-07		-0.04435970767900262			0.13007894174403792		-2.4571036632054184e-05	-3.746499582844017e-05																																																																										
2012	6																	0.4953068025305657														-0.40427039600952075											0.1905279675909468																										-2.242450755997984e-05								-7.269031613209759e-05							0.19124976477084152			-0.4872211126377546							4.229819731980102e-05												-0.20842132615994213										-0.04219645039996419	4.249206922053275e-06	-5.6454030930682296e-05		-1.2332823105823326e-05	4.7750326288027855e-05	-0.004261253142001346		-0.05411531342670973			-0.13254082406436446					1.1891945394615838e-05	0.4557576547427545	-3.7124271954584556e-05																																																																								
2012	9	-0.07610791999245244						0.22516572166296878																																					0.19327126908056863																									0.09825501374504719										1.542301170746235e-05					-0.23040982704363117							0.061654647791550575		-0.06972037170926036										6.0789627857309875e-06										0.09528529516830876		-3.127583007802818e-05	0.09378569799238234				-0.1497719366037462	0.011673309199395694		1.3484705285282526e-05		-8.825170237018993e-06					-1.3475508087785943e-05	0.1150425797795252		-1.1134331617660505e-05	-0.36812821037613497																																																																							
2012	12							0.12019281795378205		-0.1339635458479503			0.04705356213100488				0.03718021570634323																										-0.0025955947162515356						-0.06213541632656081																											-0.11055486444193				-0.023397202656212496				-2.5218176543610584e-07																									-0.010445831379470593						0.18040957142334008	0.17188826904821608	0.06243431337917629					-4.32080529228765e-07				-1.2009661676024416e-06			-0.014125496120840209					0.23805856537959028	-0.4999964049024167	-0.5000029688984093	0.5000018169276925																																																																					
2013	3							0.12282852438751601										0.03092613595024927																									0.009200239200399711																											0.037070397759314644														0.005644948644892253																									0.005595572509442741													2.7511455767639356e-05		0.3870642753980138		-0.5000006108724004			0.02002331075312488				0.0536758090631857	8.626378011585512e-06	-2.3517201061485473e-06	-1.5079209596278982e-06	-0.17207600387191463	-8.71901641264394e-06	2.319678200648394e-06	4.513958514223673e-06	2.5855058858875204e-05	-1.0480855145368253e-06																																																																
2013	6																															-2.377589805185169e-10											0.04343707076188407	0.03256490652949001																-0.0006148547914346381												0.04395069502833367								0.0883199873795833				0.053051527818987074																													-0.011382517776459938			4.551896901156134e-10				-0.05848854904315698		-0.0004587762115073773		0.36568511179873675		-0.27717058414209						-1.5222849353062988e-09	0.08339247730106657		0.13771350899366452	-1.5765928272230712e-09	-0.4999999938360517						3.924596528104392e-09	-2.4878262490739458e-09																																																														
