"Date","Price","Open","High","Low","Change %"
"Apr 21","0.015","0.028","0.033","0.010","-34.78%"
"Mar 21","0.023","0.043","0.056","0.005","-43.90%"
"Feb 21","0.041","0.056","0.076","0.028","-29.31%"
"Jan 21","0.058","0.079","0.101","0.053","-26.58%"
"Dec 20","0.079","0.096","0.117","0.068","-2.47%"
"Nov 20","0.081","0.097","0.117","0.058","-13.83%"
"Oct 20","0.094","0.107","0.122","0.089","-2.08%"
"Sep 20","0.096","0.122","0.124","0.086","-9.43%"
"Aug 20","0.106","0.091","0.142","0.086","12.77%"
"Jul 20","0.094","0.150","0.193","0.094","-36.05%"
"Jun 20","0.147","0.158","0.233","0.137","3.52%"
"May 20","0.142","0.127","0.170","0.104","33.96%"
"Apr 20","0.106","0.214","0.433","0.071","-19.70%"
"Mar 20","0.132","1.277","1.351","-0.058","-89.73%"
"Feb 20","1.285","1.556","1.607","1.275","-17.31%"
"Jan 20","1.554","1.556","1.613","1.508","-0.13%"
"Dec 19","1.556","1.590","1.756","1.520","-1.95%"
"Nov 19","1.587","1.560","1.674","1.521","2.65%"
"Oct 19","1.546","1.874","1.874","1.542","-15.29%"
"Sep 19","1.825","1.987","2.056","1.787","-8.15%"
"Aug 19","1.987","2.072","2.103","1.869","-4.70%"
"Jul 19","2.085","2.107","2.279","2.021","-0.71%"
"Jun 19","2.100","2.347","2.373","2.100","-10.79%"
"May 19","2.354","2.441","2.510","2.342","-3.21%"
"Apr 19","2.432","2.417","2.556","2.383","1.33%"
"Mar 19","2.400","2.440","2.492","2.391","-1.64%"
"Feb 19","2.440","2.401","2.464","2.381","1.79%"
"Jan 19","2.397","2.469","2.474","2.363","0.67%"
"Dec 18","2.381","2.358","2.480","2.340","0.76%"
"Nov 18","2.363","2.330","2.425","2.319","1.29%"
"Oct 18","2.333","2.201","2.366","2.201","6.09%"
"Sep 18","2.199","2.112","2.223","2.096","4.52%"
"Aug 18","2.104","2.033","2.130","2.000","3.49%"
"Jul 18","2.033","1.935","2.048","1.920","5.89%"
"Jun 18","1.920","1.915","1.961","1.894","0.26%"
"May 18","1.915","1.874","1.997","1.821","5.98%"
"Apr 18","1.807","1.723","1.880","1.703","5.36%"
"Mar 18","1.715","1.654","1.823","1.621","3.38%"
"Feb 18","1.659","1.450","1.685","1.450","13.24%"
"Jan 18","1.465","1.393","1.478","1.235","5.32%"
"Dec 17","1.391","1.266","1.470","1.258","9.61%"
"Nov 17","1.269","1.144","1.328","1.144","9.97%"
"Oct 17","1.154","1.057","1.174","1.034","9.18%"
"Sep 17","1.057","1.001","1.146","0.996","5.28%"
"Aug 17","1.004","1.078","1.167","0.986","-7.29%"
"Jul 17","1.083","1.024","1.203","1.019","6.07%"
"Jun 17","1.021","0.973","1.072","0.953","4.40%"
"May 17","0.978","0.803","0.996","0.803","21.79%"
"Apr 17","0.803","0.767","0.846","0.762","5.38%"
"Mar 17","0.762","0.553","0.808","0.546","40.85%"
"Feb 17","0.541","0.528","0.624","0.492","4.44%"
"Jan 17","0.518","0.482","0.660","0.482","3.19%"
"Dec 16","0.502","0.508","0.647","0.447","3.51%"
"Nov 16","0.485","0.366","0.683","0.359","56.96%"
"Oct 16","0.309","0.482","0.487","0.282","8.80%"
"Sep 16","0.284","0.345","0.431","0.177","-13.94%"
"Aug 16","0.330","0.276","0.416","0.251","27.41%"
"Jul 16","0.259","0.266","0.382","0.233","-2.63%"
"Jun 16","0.266","0.343","0.353","0.241","-11.92%"
"May 16","0.302","0.206","0.402","0.193","47.32%"
"Apr 16","0.205","0.214","0.295","0.196","-3.76%"
"Mar 16","0.213","0.356","0.392","0.165","-34.06%"
"Feb 16","0.323","0.323","0.377","0.272","2.54%"
"Jan 16","0.315","0.181","0.338","0.168","76.97%"
"Dec 15","0.178","0.224","0.305","0.150","-1.66%"
"Nov 15","0.181","0.076","0.206","0.038","129.11%"
"Oct 15","0.079","-0.002","0.081","-0.023","887.50%"
"Sep 15","0.008","0.079","0.081","-0.015","-20.00%"
"Aug 15","0.010","0.081","0.112","0.002","-84.38%"
"Jul 15","0.064","0.020","0.086","-0.002","220.00%"
"Jun 15","0.020","0.018","0.031","0.002","566.67%"
"May 15","0.003","0.008","0.030","0.002","-40.00%"
"Apr 15","0.005","0.056","0.056","0.002","-86.11%"
"Mar 15","0.036","0.018","0.066","0.005","140.00%"
"Feb 15","0.015","0.013","0.036","0.000","15.38%"
"Jan 15","0.013","0.046","0.048","0.008","-68.29%"
"Dec 14","0.041","0.015","0.056","0.002","215.38%"
"Nov 14","0.013","0.010","0.041","0.002","62.50%"
"Oct 14","0.008","0.018","0.036","0.005","-65.22%"
"Sep 14","0.023","0.028","0.036","0.005","-8.00%"
"Aug 14","0.025","0.025","0.041","0.015","0.00%"
"Jul 14","0.025","0.041","0.056","0.010","-45.65%"
"Jun 14","0.046","0.035","0.046","0.010","31.43%"
"May 14","0.035","0.028","0.056","0.020","40.00%"
"Apr 14","0.025","0.041","0.048","0.010","-45.65%"
"Mar 14","0.046","0.051","0.066","0.035","-9.80%"
"Feb 14","0.051","0.053","0.112","0.015","155.00%"
"Jan 14","0.020","0.073","0.076","0.018","-72.60%"
"Dec 13","0.073","0.061","0.091","0.041","19.67%"
"Nov 13","0.061","0.041","0.094","0.035","60.53%"
"Oct 13","0.038","0.030","0.172","0.013","153.33%"
"Sep 13","0.015","0.030","0.035","0.003","-40.00%"
"Aug 13","0.025","0.041","0.063","0.018","-34.21%"
"Jul 13","0.038","0.041","0.073","0.010","8.57%"
