gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,exchg,cik,costat,fic,mkvaltq
001213,20000331,2000,1,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2000Q1,2000Q1,11,0000003000,I,USA,
001213,20000630,2000,2,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2000Q2,2000Q2,11,0000003000,I,USA,
001213,20000930,2000,3,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2000Q3,2000Q3,11,0000003000,I,USA,
001213,20001231,2000,4,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2000Q4,2000Q4,11,0000003000,I,USA,
001213,20010331,2001,1,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2001Q1,2001Q1,11,0000003000,I,USA,
001213,20010630,2001,2,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2001Q2,2001Q2,11,0000003000,I,USA,
001213,20010930,2001,3,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2001Q3,2001Q3,11,0000003000,I,USA,
001213,20011231,2001,4,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2001Q4,2001Q4,11,0000003000,I,USA,
001213,20020331,2002,1,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2002Q1,2002Q1,11,0000003000,I,USA,
001213,20020630,2002,2,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2002Q2,2002Q2,11,0000003000,I,USA,
001213,20020930,2002,3,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2002Q3,2002Q3,11,0000003000,I,USA,
001213,20021231,2002,4,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2002Q4,2002Q4,11,0000003000,I,USA,
001213,20030331,2003,1,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2003Q1,2003Q1,11,0000003000,I,USA,
001213,20030630,2003,2,12,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,2003Q2,2003Q2,11,0000003000,I,USA,
001266,20000229,2000,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2000Q1,2000Q2,14,0000003545,A,USA,
001266,20000531,2000,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2000Q2,2000Q3,14,0000003545,A,USA,
001266,20000831,2000,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2000Q3,2000Q4,14,0000003545,A,USA,
001266,20001130,2001,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2000Q4,2001Q1,14,0000003545,A,USA,
001266,20010228,2001,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2001Q1,2001Q2,14,0000003545,A,USA,
001266,20010531,2001,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2001Q2,2001Q3,14,0000003545,A,USA,
001266,20010831,2001,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2001Q3,2001Q4,14,0000003545,A,USA,
001266,20011130,2002,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2001Q4,2002Q1,14,0000003545,A,USA,
001266,20020228,2002,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2002Q1,2002Q2,14,0000003545,A,USA,
001266,20020531,2002,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2002Q2,2002Q3,14,0000003545,A,USA,
001266,20020831,2002,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2002Q3,2002Q4,14,0000003545,A,USA,
001266,20021130,2003,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2002Q4,2003Q1,14,0000003545,A,USA,
001266,20030228,2003,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2003Q1,2003Q2,14,0000003545,A,USA,
001266,20030531,2003,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2003Q2,2003Q3,14,0000003545,A,USA,
001266,20030831,2003,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2003Q3,2003Q4,14,0000003545,A,USA,
001266,20031130,2004,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2003Q4,2004Q1,14,0000003545,A,USA,
001266,20040229,2004,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2004Q1,2004Q2,14,0000003545,A,USA,
001266,20040531,2004,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2004Q2,2004Q3,14,0000003545,A,USA,
001266,20040831,2004,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2004Q3,2004Q4,14,0000003545,A,USA,
001266,20041130,2005,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2004Q4,2005Q1,14,0000003545,A,USA,
001266,20050228,2005,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2005Q1,2005Q2,14,0000003545,A,USA,
001266,20050531,2005,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2005Q2,2005Q3,14,0000003545,A,USA,
001266,20050831,2005,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2005Q3,2005Q4,14,0000003545,A,USA,
001266,20051130,2006,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2005Q4,2006Q1,14,0000003545,A,USA,337.5739
001266,20060228,2006,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2006Q1,2006Q2,14,0000003545,A,USA,333.2094
001266,20060531,2006,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2006Q2,2006Q3,14,0000003545,A,USA,405.4600
001266,20060831,2006,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2006Q3,2006Q4,14,0000003545,A,USA,433.2674
001266,20061130,2007,1,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2006Q4,2007Q1,14,0000003545,A,USA,420.3013
001266,20070228,2007,2,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2007Q1,2007Q2,14,0000003545,A,USA,350.7074
001266,20070531,2007,3,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2007Q2,2007Q3,14,0000003545,A,USA,441.3982
001266,20070831,2007,4,8,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2007Q3,2007Q4,14,0000003545,A,USA,376.3106
001266,20071231,2008,1,9,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2007Q4,2008Q1,14,0000003545,A,USA,269.1510
001266,20080331,2008,2,9,INDL,C,D,STD,ALCO,016230104,ALICO INC,USD,2008Q1,2008Q2,14,0000003545,A,USA,325.5621
